milliseconds,Ca_Cyt,IP3_Cyt,Ca_ER,S2a,S4,Oc,O_o,S2,Orai1,h
0,0.0,0.0,0.0,0.05999999999999999,0.0,0.0,0.0,0.54,0.001,0.0
100,9.391596071967802e-05,8.57868260036239e-09,8.046658377463609e-08,0.17378174062202864,0.02206908075006557,1.7382217150803287e-05,1.744906439852049e-07,0.42621825937797114,0.000929773168820846,0.0198012983979623
200,0.0003164743564958889,1.4659788829972975e-07,1.1301097532118848e-06,0.21563969707729538,0.04178964506336312,3.350888058303034e-05,7.445865079725508e-07,0.38436030292268497,0.0008629861316359884,0.03921023854613344
300,0.0007939121432474387,1.1860017206993337e-06,8.585992729443197e-06,0.23103833181097452,0.05966698593069832,4.848373126790658e-05,1.6448780905082565e-06,0.36896166818793746,0.0007994855625663407,0.05823383250068639
400,0.0016209373406795684,6.179400765348188e-06,4.371618418249301e-05,0.23670314580677246,0.07603341851123428,6.242811074665004e-05,2.791282256685458e-06,0.3632968541654556,0.0007391224279866581,0.0768780499605616
500,0.002858266025671619,2.347920920441418e-05,0.00016449221718226913,0.23878696291142604,0.09108887498225783,7.54465186672773e-05,4.11548289706368e-06,0.3612130366976303,0.0006817519937426361,0.09514759707858575
600,0.004532613579084144,7.072287984555132e-05,0.0004931947909980653,0.23955368535580976,0.10496709083180322,8.762665777672716e-05,5.564776070562179e-06,0.3604463111371759,0.0006272342646108427,0.11304587171851767
700,0.006635921272002987,0.0001786848780206856,0.0012432948714637619,0.23983578356999605,0.11777099388158803,9.904300400716725e-05,7.098420405382582e-06,0.36016419416058887,0.0005754343023498007,0.1305750851164383
800,0.009125642493012285,0.00039346723923136984,0.00273533358858865,0.23993956403595118,0.1295877913472765,0.0001097598222246472,8.684577892979928e-06,0.3600603282044759,0.0005262223995294915,0.147736539458804
900,0.011928397885164322,0.0007755584661908385,0.005391983485048938,0.2399776983162425,0.14049507582523413,0.00011983328815976293,1.0298173554385399e-05,0.3600218830001119,0.0004794741531434067,0.16453103372281963
1000,0.014948232943727479,0.0013950716946748236,0.009707633665991684,0.23999156275428243,0.15056339589472179,0.0001293129689130221,1.1919411201927538e-05,0.36000708018964844,0.00043507047954020146,0.1809593413693637
1100,0.018078772571316126,0.002323867591503054,0.016196895026959285,0.23999622782843152,0.15985747284149615,0.00013824289777543414,1.3532701244111486e-05,0.3599999944841437,0.0003928976039218175,0.19702267921862163
1200,0.021216728607078857,0.003626604749387686,0.025335082468741568,0.23999690971261162,0.16843689192692754,0.0001466623879843006,1.512584796785986e-05,0.35999384756913666,0.0003528470561913582,0.21272308355653974
1300,0.024273546723339572,0.005353201814820019,0.03750679285745758,0.23999505980106026,0.17635658239330146,0.00015460666439652272,1.6689407380752364e-05,0.35998468372384185,0.0003148157128908997,0.22806363719426456
1400,0.027182450373221218,0.0075347579277111,0.052976107179075985,0.239990321636824,0.18366719401274442,0.0001621073348497255,1.821617518446723e-05,0.35996926867481654,0.0002787059598632291,0.24304851664324748
1500,0.029900680110369966,0.01018298018344642,0.0718795958822371,0.239981569612176,0.1904154336887379,0.00016919272256117902,1.9700753779605504e-05,0.35994404181375705,0.0002444260946368619,0.25768291060643755
1600,0.03240715646997858,0.013292831899648668,0.0942408487846614,0.23996701122799677,0.19664435903194316,0.00017588797700223056,2.1139203040879966e-05,0.359905131213325,0.0002118912798275579,0.2719728306722521
1700,0.03469803247759072,0.01684649366080142,0.11999464899219932,0.23994446638113942,0.20239365583591618,0.00018221483452084624,2.2528733927288906e-05,0.35984827949474857,0.00018102572620745942,0.28592489556816086
1800,0.036781367268129736,0.020817703176564718,0.14901472281491238,0.23991141830619575,0.20769989108548487,0.00018819053429929532,2.3867436288952652e-05,0.35976902926392834,0.00015176811764700817,0.2995461167627911
1900,0.038672171428863485,0.025175639616546952,0.18113918295022327,0.239865097847597,0.21259675197287162,0.0001938250627134071,2.5154000945629032e-05,0.35966286042147594,0.00012408374536385547,0.3128437111497008
2000,0.04038869520210528,0.02988767572936512,0.2161891963938406,0.23980263356617748,0.21711526635805528,0.00019911201942487985,2.6387347339162227e-05,0.35952523015277477,9.800253294383167e-05,0.32582496838894454
2100,0.041949740569288095,0.03492117466558831,0.2539816738679753,0.23972112688620761,0.22128400483024685,0.00020399868440703766,2.7565857542117802e-05,0.35935164968560396,7.374183220337815e-05,0.3384971604835935
2200,0.04337241306275585,0.04024475010766627,0.2943378953083924,0.23961763169028155,0.22512927300924498,0.0002082805463340554,2.868523576883401e-05,0.3591378150471898,5.2136871588442414e-05,0.35086747694789766
