milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.0005,0.0,2.5e-06,2.5e-07,0.0,1e-05
100,0.0005314708242555845,4.57003674204465e-09,2.2501512802516954e-06,4.649188336004266e-07,1.5685717796853625e-10,8.18946500135507e-06
200,0.0005649857582455059,8.363194623468119e-09,2.0219291150159296e-06,6.709398798810802e-07,3.5357793944007375e-10,6.711079530877302e-06
300,0.000600675964840687,1.1491808047344536e-08,1.8140880146678178e-06,8.690571082110863e-07,5.633254453880881e-10,5.503866466330909e-06
400,0.0006386806700291619,1.4052375741198868e-08,1.6253237861937025e-06,1.0602604205750204e-06,7.689160077953433e-10,4.518133960027598e-06
500,0.0006791479285412282,1.612811392405884e-08,1.4543109243483878e-06,1.2455278067366864e-06,9.598156206270211e-10,3.7131975429228382e-06
600,0.0007222353980312673,1.7790543318050684e-08,1.299731322688569e-06,1.4258178446388353e-06,1.1302356361990594e-09,3.0559245019528516e-06
700,0.0007681108194021784,1.9101363631193355e-08,1.1602968222924202e-06,1.6020646619063722e-06,1.277486654245266e-09,2.5191789535175216e-06
800,0.0008169526959700463,2.0113676318453154e-08,1.0347641182721363e-06,1.7751744482318905e-06,1.4010051124158511e-09,2.080826698136552e-06
900,0.0008689510149675294,2.0873229324738398e-08,9.219465173023463e-07,1.946023108581433e-06,1.501573822048059e-09,1.7227962732843047e-06
1000,0.0009243080513855681,2.1419466256364012e-08,8.207221261326754e-07,2.1154550577446333e-06,1.5807210688000539e-09,1.4302757271256758e-06
1100,0.0009832390968618529,2.17862831192852e-08,7.300368944303384e-07,2.284283385926408e-06,1.6404569613116237e-09,1.1912169209056905e-06
1200,0.0010459733478446944,2.2002850587435928e-08,6.489077172449631e-07,2.453290302329501e-06,1.6829637862044064e-09,9.957722864010442e-07
1300,0.0011127548101217708,2.209427069367682e-08,5.764225720982819e-07,2.623228434003894e-06,1.7104486161808005e-09,8.359029703609096e-07
1400,0.001183843258199066,2.208210667511815e-08,5.117393975383407e-07,2.794822592831147e-06,1.725042960400273e-09,7.050555093262473e-07
1500,0.0012595152605813197,2.1984876458533244e-08,4.5408422925552145e-07,2.9687718322464258e-06,1.7287315490281622e-09,5.978794375088516e-07
1600,0.0013400652770163485,2.18184874664477e-08,4.02748359394111e-07,3.1457518411607407e-06,1.723326194089667e-09,5.100090310528322e-07
1700,0.0014258068232700068,2.1596579719650494e-08,3.570850132798992e-07,3.3264175309141793e-06,1.7104513661424092e-09,4.3788429623475896e-07
1800,0.001517073711734315,2.1330836489406645e-08,3.1650573276707144e-07,3.511405734001509e-06,1.6915444190722154e-09,3.7860462466095236e-07
1900,0.0016142213666911719,2.10312590625193e-08,2.804766607929847e-07,3.7013379423503864e-06,1.6678621373264084e-09,3.2980503119991893e-07
