milliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13
0,0.003,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0
100,0.006491674045931133,1.9675114757195044e-08,0.0013438466079994632,3.5646539266696305e-13,0.001347359062013992,5.805817748514608e-07,9.678479360797143e-09,2.906476050343391e-08,5.0567574953707245e-17,0.005340951472929073,1.0531590381802815e-10,7.06304398061079e-24,8.390015633427969e-14
200,0.009977218856868125,6.295082940052892e-08,0.0016858927508157258,2.469895897775803e-12,0.001693937364888325,1.3197130327450473e-06,4.234090790984338e-08,1.273261806046883e-07,9.970919534879633e-16,0.00568130637956539,6.352708445413369e-10,3.7994327889784814e-22,8.675431740122476e-13
300,0.013456636871076368,1.3750985495003315e-07,0.0020261478536412973,8.839303661970408e-12,0.002039736509610895,2.213588684122679e-06,1.0327931522720468e-07,3.111142097418221e-07,6.182376671669684e-15,0.006021065318543146,2.032006779231779e-09,4.56998710066196e-21,3.647068809729069e-12
400,0.01692993063400461,2.5071104884656855e-07,0.0023646212852677304,2.352112155515547e-11,0.0023847580001065266,3.258589418909935e-06,1.9754256120979712e-07,5.963110573355817e-07,2.363851729363259e-14,0.006360228703990477,4.921626139200233e-09,3.0020934480624107e-20,1.0524640670810867e-11
500,0.020397102772909563,4.095922579322367e-07,0.0027013223660922936,5.2409811873732196e-11,0.0027290032290320184,4.451283424297156e-06,3.29942160041569e-07,9.98409692877284e-07,6.856305825797507e-14,0.006698796749289708,1.0129423845262233e-08,1.3644752140031609e-19,2.4530515172228317e-11
600,0.023858155996055945,6.208523220860333e-07,0.003036260365129954,1.035042298936323e-10,0.003072473463695142,5.788437715088954e-06,5.050426383960878e-07,1.5325257796150052e-06,1.6612029563997547e-13,0.007036769449910554,1.869683379162048e-08,4.8102016949999455e-19,4.974726936011521e-11
700,0.02731309309188189,8.90834394520272e-07,0.003369444498365803,1.8718739854933182e-10,0.003415169831420183,7.267028622383515e-06,7.271535227430492e-07,2.213416923195412e-06,3.547029579686102e-13,0.007374146565957957,3.1898855908381985e-08,1.4285184701330707e-18,9.144599253597632e-11
800,0.030761916928100687,1.2255148840001573e-06,0.0037008839294264653,3.1645897826566485e-10,0.003757093307576154,8.884248863667665e-06,1.000325684009888e-06,3.0555081215851824e-06,6.890937944584884e-13,0.007710927608214017,5.125796150935367e-08,3.73759701677074e-18,1.562070947881347e-10
900,0.03420463045088584,1.630495019219623e-06,0.004030587769917636,5.07119843936845e-10,0.004098244705819703,1.063751267805763e-05,1.3283491999872723e-06,4.072915026146244e-06,1.243593104133235e-12,0.008047111827273534,7.855498837887812e-08,8.843157267917575e-18,2.5202588697890267e-10
1000,0.03764123668385219,2.110991208318303e-06,0.004358565079165515,7.779791288982811e-10,0.0044386246667525555,1.252446140654612e-05,1.7147513690972305e-06,5.2794722397015176e-06,2.115737807504481e-12,0.008382698201468943,1.1584125478615513e-07,1.9394743744397253e-17,3.8844342725935e-10
1100,0.04107173872745684,2.6718310563921563e-06,0.004684824864183323,1.1509517288164465e-09,0.004778233652352091,1.45429656383217e-05,2.1627967645765325e-06,6.688750393404646e-06,3.4284984939362456e-12,0.008717685431380417,1.654440377965961e-07,3.9740196677148004e-17,5.766189497429653e-10
