milliseconds,P1,Target
0,10.011923034119977,9.989058539508113
100,10.074891308355996,10.005607256814448
200,10.13019552873812,10.09353063101917
300,10.135925506491043,10.183321712352909
400,10.266053826813902,10.140171811040398
500,10.18993751987819,10.267383906559571
600,10.354925271312085,10.372732103407277
700,10.34233993067039,10.351604749857106
800,10.348042067073255,10.393915410989836
900,10.454014254516329,10.553654774478636
1000,10.450357196582909,10.45157659132501
1100,10.543908953264708,10.6612671646803
1200,10.702796198607558,10.678632674726419
1300,10.65498700977536,10.765955385987834
1400,10.781138619388928,10.752163756617493
1500,10.754894034840124,10.788881392054478
1600,10.890017546140822,10.777943930773757
1700,10.834334201999685,10.848668320159636
1800,10.903137741824638,11.020185171895927
1900,11.03598819242325,10.967621829814433
2000,11.028441855879779,11.123368873202399
2100,11.149970025818924,11.039816515606393
2200,11.222083581535083,11.127015051892597
2300,11.243964834108606,11.291254033059667
2400,11.225333129631647,11.303129268003937
2500,11.353698256287014,11.31572449636406
2600,11.395722746821747,11.417016734694618
2700,11.511119511652439,11.384552478092575
2800,11.479612190471085,11.428564080004442
2900,11.516257866567692,11.4969582489842
3000,11.600161796532305,11.606549189277814
3100,11.671215981410544,11.61129556843567
3200,11.75488761364628,11.677339930578132
3300,11.725683707839886,11.68730874059439
3400,11.883796834124889,11.797318944911487
3500,11.877747375527663,11.937761125965919
3600,11.985202501941524,11.959423790668946
3700,11.914428933470392,11.921270483424069
3800,11.976971566678944,12.107260188361126
3900,12.03003798885054,12.044854025416441
4000,12.177288273171563,12.082179299780824
4100,12.231400033760202,12.129730344051643
4200,12.245043543687311,12.195811707284973
4300,12.300269842266362,12.330241195386686
4400,12.370595395469724,12.333430926568122
4500,12.48291971201972,12.33909110794587
4600,12.466217006506051,12.395579656385257
4700,12.544542061602357,12.586453440809676
4800,12.497809437326936,12.584380700445635
4900,12.640616415212437,12.649810184664782
5000,12.687879951896651,12.69173482554297
