miliseconds,I,N,T
0,0.9981258594506635,0.9905533443719831,1.219426431418947
100,0.952215995946112,0.874993832775477,1.366709982715961
200,0.9149881160593293,0.7675186320650885,1.5331528060533552
300,0.8885163941574784,0.6681524865564693,1.6575235854203152
400,0.8635706165421813,0.5738677211935802,1.7965657305094993
500,0.8461893448410736,0.49713851771393847,1.9170397767699918
600,0.8301305481106227,0.4047486378132734,2.0064932426662705
700,0.8194509719687995,0.332567677077294,2.090640742619185
800,0.8115153129107757,0.2796116990261234,2.165906877773523
900,0.80354274870457,0.23239333662176462,2.2044369825871386
1000,0.8006881690590836,0.18119476266051984,2.2543018236326735
1100,0.7989726280209035,0.1436650928968525,2.2782022624288176
1200,0.7957722012636066,0.12957737606354808,2.2944136554380385
1300,0.7912949484068621,0.09260254542263964,2.3148628119610835
1400,0.7950622569095773,0.07543125582046499,2.326074946422911
1500,0.7915486568814848,0.0701921114879174,2.3171518826385267
1600,0.7937281980528835,0.05932902090999121,2.3099799323216503
1700,0.7939044507213361,0.04027047301733001,2.3113444791977518
1800,0.79481372742814,0.028908324263635998,2.2928159770401084
1900,0.797303319861183,0.03407631949598478,2.2983838197917175
2000,0.7996879187406005,0.031820005141100144,2.290280338680014
2100,0.803389783351524,0.014458651398006245,2.2775156321090706
2200,0.8048302626054373,0.0058311877564328676,2.269679390166903
2300,0.80924297033362,0.0038673556720691185,2.2343821406400046
2400,0.8139782586571107,0.0111768806789426,2.2302438858138807
2500,0.816470760360857,0.011035500408827469,2.210715245526408
2600,0.8198044385283021,0.011679491908375248,2.208596773654303
2700,0.8219265398820356,-0.004425824416386848,2.1824775707775443
2800,0.8252922863924618,-0.0012491273394526397,2.170715988910145
2900,0.8312175514623167,0.006527489539444869,2.1593861880706653
3000,0.8349413390232586,0.003713326751235611,2.1587299058203926
3100,0.8367941919949083,-0.0005773640314763388,2.1532016248241224
3200,0.8396969420441065,0.005296638503133886,2.1389968271991995
3300,0.8453019293582522,-0.00893431317432259,2.121188638881856
3400,0.8467137335581401,-0.0025956249155863766,2.110856313576211
3500,0.8525405474622766,0.0059787800952392535,2.100142777373101
3600,0.8579135911471633,-0.001980547684903796,2.086435553684858
3700,0.8589941584808296,-0.0076944853701651425,2.078304472740338
3800,0.8623290062014026,-0.0018867306180809105,2.0585323791676586
3900,0.8660204942901888,0.00841166034120288,2.0608947635423576
4000,0.8717144185289017,-0.007941639132620852,2.0476481769526447
4100,0.873044929488259,0.0035218356916266397,2.0362257103860597
4200,0.878483431030487,0.010399519405512012,2.01833890561118
4300,0.8835138207194342,0.0115446275696806,2.018251652256605
4400,0.8853414465430317,-0.004487896874050657,1.9983891487403456
4500,0.8860999491831606,-0.00026532452388671666,2.000585322370215
4600,0.8932774074793333,-0.003352699807080864,1.9868233678228173
4700,0.8968172678544546,-0.008543350912409845,1.9797140613108408
4800,0.8967526371165326,-0.0052767845153104745,1.9874459257324384
4900,0.9005982914770921,0.004443909735955373,1.9716193347115412
5000,0.9032787516774333,-0.005554192154678626,1.9694547047094704
