milliseconds,V,S,I
0,0.0,251000000.0,0.0
100,0.0,253452322.9056721,0.0
200,0.0,255919020.607764,0.0
300,0.0,258400473.3321383,0.0
400,0.0,260896683.30228916,0.0
500,0.0,263407650.20249838,0.0
600,0.0,265933367.77796087,0.0
700,0.0,268473836.2487201,0.0
800,0.0,271029056.9953452,0.0
900,0.0,273599030.01783603,0.0
1000,0.0,276183658.09076625,0.0
1100,0.0,278782993.47023976,0.0
1200,0.0,281397054.11574095,0.0
1300,0.0,284025840.0272699,0.0
1400,0.0,286669351.20482653,0.0
1500,0.0,289327587.64841086,0.0
1600,0.0,292000549.3580229,0.0
1700,0.0,294688236.3336627,0.0
1800,0.0,297390546.400397,0.0
1900,0.0,300107529.9403466,0.0
2000,0.0,302839190.8774691,0.0
2100,0.0,305586026.33855635,0.0
2200,0.0,308347023.57670784,0.0
2300,0.0,311122612.11340034,0.0
2400,0.0,313912778.2297392,0.0
2500,0.0,316717507.9638348,0.0
2600,0.0,319536808.5651755,0.0
2700,0.0,322370584.0414061,0.0
2800,0.0,325218864.06387436,0.0
2900,0.0,328081668.1199693,0.0
3000,0.0,330958996.2096909,0.0
3100,0.0,333850763.7899646,0.0
3200,0.0,336756902.35596824,0.0
3300,0.0,339677489.0850886,0.0
3400,0.0,342612523.9773257,0.0
3500,0.0,345561979.6380873,0.0
3600,0.0,348525647.21589017,0.0
3700,0.0,351503668.709235,0.0
3800,0.0,354496044.11812174,0.0
3900,0.0,357502773.44255036,0.0
4000,0.0,360523635.12258047,0.0
4100,0.0,363559493.0955149,0.0
4200,0.0,366609020.13846874,0.0
4300,0.0,369672687.5133119,0.0
4400,0.0,372750488.1405258,0.0
4500,0.0,375842297.1115539,0.0
4600,0.0,378948188.47064924,0.0
4700,0.0,382068162.2178119,0.0
4800,0.0,385202197.3133719,0.0
4900,0.0,388350073.175888,0.0
5000,0.0,391511929.16008675,0.0
