milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,-3.5627061667499244e-06,0.0,0.0,0.0,1.6827366165688854e-15,0.0,0.06000011139315941,1.033329298381967e-07,1.3569528242794051e-09,5.756378691369031e-19,7.564614438375495e-25,3.571150366276101e-15,-3.884945322394596e-15,2.7554667071157644e-15,-2.721379009321881e-15
100,5.780125212261093e-06,0.0,0.0,0.0,1.078289708384403e-15,0.0,0.05999997018329681,1.8898262531409055e-07,4.5900376809518475e-09,-9.858397682570016e-18,-7.672515280768471e-25,1.8799949945687384e-16,-4.122725035921326e-15,5.377164665628496e-16,2.302486329930269e-15
200,5.502667929412089e-06,0.0,0.0,0.0,-2.8223599373220933e-15,0.0,0.05999993104048678,1.0380537045396261e-07,-4.353182027673231e-09,9.572814713580786e-19,1.5111833485436865e-26,7.28258531522895e-16,4.3270192317909154e-15,-1.4404697363737898e-16,3.4276130408267944e-15
300,7.6103035980629815e-06,0.0,0.0,0.0,-2.1106924489185758e-15,0.0,0.05999968690538763,4.4523303781208477e-07,-7.939763220911049e-10,-1.1602280557871367e-17,1.875523521553989e-25,-3.0860307101371837e-16,-2.728957062602622e-15,-9.552052116279534e-17,-3.2359496879194027e-15
400,6.374923558756593e-06,0.0,0.0,0.0,-4.214342538871739e-17,0.0,0.0599995567079801,5.126639074155002e-07,1.770745964050155e-09,1.457843823198251e-17,3.434518089986017e-25,-2.7864501736111135e-15,2.101608989156622e-16,1.5547595157581481e-15,-1.8612610844096094e-15
500,1.4928494520930843e-05,0.0,0.0,0.0,1.8735826834029305e-15,0.0,0.05999942191729748,4.3981822518505144e-07,-8.441031315510316e-10,1.4809833612205878e-17,3.6457483579058197e-25,3.5831498242761995e-15,4.4894178963235105e-15,-2.6645757528315945e-15,2.0262777447876677e-15
600,1.830923543897572e-05,0.0,0.0,0.0,2.5212184284683887e-16,0.0,0.059999138811468206,6.025597056279262e-07,2.35115583147937e-09,-9.742664301360855e-18,4.2819047887944445e-25,2.8548960736047305e-15,-1.1453994196253768e-15,1.4919403269931293e-15,-2.776665721434169e-16
700,1.781228353896508e-05,0.0,0.0,0.0,-2.8465785289442127e-15,0.0,0.05999899169429845,9.923680537084214e-07,3.769046168092299e-09,1.4193943383101195e-17,8.864873556574204e-25,4.667219035765718e-15,2.858453254947327e-15,-4.2374553695906964e-16,3.226904627971587e-15
800,1.637844951912701e-05,0.0,0.0,0.0,2.4257244152414233e-15,0.0,0.059998980855895015,8.081357799120097e-07,7.031934570164284e-09,-7.804788445931637e-18,-4.654114970081365e-25,4.482179387012625e-16,-3.755994596002557e-15,2.6100914190609324e-15,1.1292196723247844e-15
900,2.5124841645555918e-05,0.0,0.0,0.0,-1.2251401380375781e-15,0.0,0.059998832524109424,1.2081653371374e-06,7.787913099354153e-09,-8.406334787702118e-18,5.362514322011037e-25,5.0061277795401055e-15,9.655097675976989e-16,-1.2126500730972642e-15,2.9606659044726974e-15
1000,2.6202948127295182e-05,0.0,0.0,0.0,9.82281247165105e-16,0.0,0.05999894219258753,1.180309153595929e-06,7.04179857197634e-09,1.2594488727150132e-17,8.473968945791662e-26,3.080732282725554e-15,1.2272554054560497e-15,-1.304840658076615e-15,-3.5548341834027273e-16
