milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,-2.2376752447127153e-06,0.0,0.0,0.0,-5.427575524403833e-16,0.0,0.05999996395625667,-9.723970606322186e-08,-8.143720005282621e-10,-6.864170710091538e-18,-7.983521526970679e-25,-2.3372955056322353e-15,-4.553911521158747e-15,2.0548118721040845e-15,-1.947831811523646e-15
100,5.703656372847196e-06,0.0,0.0,0.0,2.518203658750798e-15,0.0,0.05999978822898141,3.939948874063078e-08,-4.2884853777074146e-10,8.063965228360488e-18,-8.201278797014914e-26,-2.7837120353946924e-15,-5.634125700561933e-16,-6.48923588905328e-16,3.118724623139765e-15
200,2.9233850305094462e-06,0.0,0.0,0.0,1.5437430965265943e-15,0.0,0.05999983703118595,7.923737947951767e-08,-2.0331956328593857e-09,-1.030642140936171e-17,-8.573570810132364e-25,-1.6095264709815581e-15,-2.887535951619689e-15,1.5741139926523585e-15,2.650661971525489e-16
300,7.966880930105616e-06,0.0,0.0,0.0,7.422480482841724e-16,0.0,0.059999639133923144,3.0005807785905257e-07,-2.00720898977277e-09,-1.0979632645255337e-17,5.362231661814928e-25,4.428493233527621e-17,7.600979289439765e-16,6.30580167942939e-17,-1.8567823872005024e-15
400,1.2029883749786208e-05,0.0,0.0,0.0,-1.3569561994563563e-15,0.0,0.05999947210566113,3.597201274956791e-07,8.850478906345851e-10,1.571009368422647e-17,3.833282113954732e-25,-4.151941813491871e-15,2.6379229617418076e-15,3.0480532947541003e-16,-1.5584950016786415e-15
500,1.3823338132039849e-05,0.0,0.0,0.0,-1.4119303956672546e-15,0.0,0.059999251123486586,4.4939982405572205e-07,-3.395831646732772e-09,1.571054666085574e-17,5.352436725062852e-25,-3.706876121787638e-15,3.1976986164148127e-15,5.2639374769686523e-17,-2.1536832690059845e-15
600,1.471419844312782e-05,0.0,0.0,0.0,3.5928860441449365e-16,0.0,0.05999910458120594,6.297651772422639e-07,2.78785104786907e-09,-8.073714939054054e-18,-7.903850666412739e-25,4.124808677494893e-15,-1.2966231615724571e-15,-2.264922118414359e-16,6.505015245447365e-16
700,1.4854230647788419e-05,0.0,0.0,0.0,-2.445848852762459e-15,0.0,0.059998987137405986,9.058266942173822e-07,-1.2448882951000287e-09,-4.482010819090558e-18,7.491460655100249e-25,2.2626377487244653e-16,-1.6265689079213576e-15,8.506382311234175e-16,-5.16189486359467e-16
800,1.9617746660602933e-05,0.0,0.0,0.0,2.5218442013991714e-15,0.0,0.05999892580852736,1.05491631345931e-06,3.090817139454016e-09,-9.959942191721696e-18,5.101816341740857e-25,6.512010587812192e-16,-2.9582223976093008e-15,-2.533201925751818e-16,2.9327920251269448e-15
900,1.90416756894316e-05,0.0,0.0,0.0,-2.279705038920475e-15,0.0,0.05999876707146488,1.1188812902575782e-06,8.615527600408152e-09,-1.2503761578918116e-17,3.988984948784048e-26,3.1258606646896646e-15,3.0558849977761535e-15,1.4255652256492776e-15,1.2270077108816246e-15
1000,2.752180609177091e-05,0.0,0.0,0.0,2.496634257690112e-15,0.0,0.05999884726028427,1.1699112297579903e-06,7.686800000727406e-09,-1.4145293097587088e-18,3.7631980459877063e-25,3.6097240293218674e-15,-4.392256833354986e-16,-8.283863563455278e-16,-3.253970443813144e-17
