milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,-3.007143451348385e-06,0.0,0.0,0.0,-1.67635048203677e-15,0.0,0.060000087086161495,-9.371110308023111e-08,-3.134305312240322e-09,-1.0270443177473641e-17,8.016117730340433e-25,-3.827565824091064e-15,2.4893811219684454e-15,-1.799865152005801e-15,-9.725474479042118e-16
100,5.068038846262754e-06,0.0,0.0,0.0,1.3871580099149174e-15,0.0,0.05999979759686001,2.3576795421939852e-07,1.1903933621581625e-09,7.236893008100673e-18,-6.456259212996092e-25,3.56137787150425e-15,3.2214609206407467e-15,9.879541760258772e-16,-4.198474068624736e-15
200,5.182019690191383e-06,0.0,0.0,0.0,-9.24406675647712e-16,0.0,0.05999978309661065,3.207406487995351e-07,3.732847100736105e-09,6.71358576813331e-18,-7.171937344087972e-25,-3.146138366916413e-15,-3.5522989640344815e-15,2.3636446529399054e-15,-4.6645832084723345e-15
300,9.934730551262366e-06,0.0,0.0,0.0,-1.764568924423788e-15,0.0,0.05999952207936288,2.6502195250525284e-07,2.8351323452268732e-09,-1.1001773433511326e-18,3.498360198783381e-25,4.125027707695266e-16,6.413321714881617e-16,9.610717881732548e-16,-6.84084551743833e-16
400,1.0506790274096257e-05,0.0,0.0,0.0,1.698967018148896e-16,0.0,0.059999408099836636,3.5207708717890107e-07,3.795580800091308e-09,-5.723486191550826e-18,-5.662773035081792e-25,-1.3331487437388745e-15,-3.401482617537997e-15,-7.987744716377527e-16,-1.4540442909937846e-15
500,1.1567401261690847e-05,0.0,0.0,0.0,-2.5151419751646275e-15,0.0,0.05999923549418847,5.797362014282872e-07,3.0018344383703683e-09,9.39680919263038e-18,3.678204047263185e-25,2.267524738266738e-15,-8.571581071047209e-16,-1.56641846653237e-15,-2.711754584048384e-15
600,1.3684218795957934e-05,0.0,0.0,0.0,2.1585563090787315e-15,0.0,0.05999938682357125,8.236639939804776e-07,5.7539741913678656e-09,1.5633345734976568e-17,-7.83035903348024e-25,-7.587569721770438e-16,2.0477767980489483e-15,2.6645994422035654e-15,-3.787112665401368e-15
700,1.589710001988645e-05,0.0,0.0,0.0,-2.3883820769057428e-15,0.0,0.059999225821006835,7.82463159929093e-07,7.07039579051539e-09,-1.1550887353349157e-17,5.188987803620264e-25,4.4381368303175044e-15,3.63571123069191e-15,1.128950222904393e-15,1.8802609591665662e-15
800,2.1372942976000847e-05,0.0,0.0,0.0,3.072990881454086e-15,0.0,0.05999907086915875,9.622847576180318e-07,5.4988874143666845e-09,7.271067651276074e-18,1.952111850342038e-25,2.449249980956107e-15,3.4707395396129807e-15,3.721847677355085e-16,-2.963446256869312e-15
900,2.6210615012885635e-05,0.0,0.0,0.0,2.8196379180765423e-15,0.0,0.05999894090837744,1.093712388629858e-06,6.800229101182575e-09,1.3236124010693121e-17,3.9488507496185693e-25,2.3297606704164847e-15,5.320967676453724e-15,2.4695588367028936e-15,4.566590334140099e-16
