milliseconds,IKK_neutral,IKK_active,IKK_inact,IKKactive_IkB,IkB,IKKactive_IkB_NFKB,IkB_NFKB,NFKB,NFKB_nuc,IkB_nuc,IkB_NFKB_nuc,IkB_mRNA,A20_mRNA,A20,cgen_mRNA
0,2.6875252321841015e-06,0.0,0.0,0.0,8.754356155956618e-16,0.0,0.0599999482843594,1.4294968786832428e-07,5.437761692376637e-09,-1.5604794804082514e-17,5.130428824362086e-25,-3.991136583049952e-15,4.231619178770539e-15,-3.82151669081925e-16,3.064943383033447e-15
100,3.529170273246849e-06,0.0,0.0,0.0,9.563508790907675e-16,0.0,0.05999975536087462,1.199451839100111e-07,-2.4231553205395335e-09,2.668043973345704e-18,-7.790566648453525e-25,-4.794386449681301e-16,3.805289016770486e-15,-1.6431373030234956e-15,3.3032882700331176e-15
200,1.6595943570589483e-06,0.0,0.0,0.0,2.2465782224540195e-15,0.0,0.05999986554226932,3.948095733727452e-07,-2.010595234173063e-09,5.679821591112711e-18,-4.152401816325212e-26,-2.373263425722175e-16,-1.1636582550278509e-17,2.5973641537452017e-15,-1.9971966271542935e-15
300,5.278626908715426e-06,0.0,0.0,0.0,-5.340636115489041e-16,0.0,0.05999949053787663,4.365517333180685e-07,4.626380213287914e-09,4.261226978659612e-18,4.1848040968490585e-25,-2.2119254837944273e-15,-6.54026677292089e-16,1.9147353507845936e-15,-3.888649812996431e-15
400,1.0795244467874886e-05,0.0,0.0,0.0,2.374136345142431e-15,0.0,0.05999969344692238,4.938835023049798e-07,2.0445659301817233e-09,1.4787539690529435e-18,-7.948269849880461e-26,-4.0589739589950226e-15,-1.7460186159974876e-15,-2.4640508378784837e-15,-9.348516809675893e-17
500,1.4196906962689666e-05,0.0,0.0,0.0,-2.4081030550938966e-15,0.0,0.059999492212823295,7.62608021341269e-07,-2.49572739465046e-09,-1.3678025355369932e-17,-8.880285006456071e-25,-3.852089397851049e-15,-3.080218857952576e-15,-3.8225226676721915e-16,8.864121341790847e-16
600,1.3880842608344805e-05,0.0,0.0,0.0,-2.520912831270332e-15,0.0,0.05999936987216549,7.621416445875958e-07,7.85123743956084e-09,1.1816571330010895e-17,7.389798918623032e-25,4.612863690459544e-15,-3.34894453370183e-15,2.0660120392572573e-15,-1.3133421972706998e-15
700,1.9243810983845595e-05,0.0,0.0,0.0,1.3749117318256904e-15,0.0,0.05999909425887243,9.567824388116603e-07,9.274940875648319e-10,1.385415825607368e-17,-7.00989187115649e-25,2.7802214888706125e-15,4.723935496945735e-15,5.436284998576463e-16,4.817512427572439e-15
800,1.7095693892636815e-05,0.0,0.0,0.0,-1.6792212235884031e-15,0.0,0.05999899578735805,8.450499718943714e-07,1.268874941284365e-09,-3.335411096118969e-18,8.642501080711007e-25,5.0206466204344035e-15,4.546792804735846e-15,2.150694959330242e-15,1.672972405381416e-15
900,2.2466624154420322e-05,0.0,0.0,0.0,1.8996131593186092e-17,0.0,0.05999907824694569,1.1398004091437307e-06,1.8713843875806035e-09,5.870519478717073e-18,2.2915487126565297e-25,3.620914915215285e-15,-3.590195406994254e-15,-2.456014333298667e-15,-2.5854185457000943e-15
1000,2.2212587527000785e-05,0.0,0.0,0.0,1.1303795774953015e-16,0.0,0.05999888604027127,1.3011144599686594e-06,8.889334655375845e-09,1.5138128962050282e-17,5.994061800135938e-25,3.1413430775403752e-15,-1.4734053155211074e-15,1.1918750831952328e-15,-8.721911347521031e-16
1100,2.5663489560147024e-05,0.0,0.0,0.0,1.8629292819373708e-16,0.0,0.05999878920157867,1.2047469764578453e-06,1.1714912155099764e-08,9.973261932377843e-19,-5.245341000742938e-25,-2.5082678609103743e-15,1.9872598238012366e-15,1.83661168220513e-15,-2.0804648257203316e-15
1200,3.080034517814224e-05,0.0,0.0,0.0,2.3960273501878744e-15,0.0,0.05999869148552959,1.539075670788201e-06,7.54714053594304e-09,6.349005636910599e-18,4.8552463825319653e-26,5.609507744449757e-15,-1.416575204982426e-15,3.1981124361091335e-15,3.493535476636282e-15
1300,3.3189070872980516e-05,0.0,0.0,0.0,3.5472894446997866e-15,0.0,0.05999830123535707,1.5977144411152218e-06,7.952274202897823e-09,1.0291621939034983e-17,-8.2363999387869e-26,3.787420913449019e-15,3.658055406789922e-15,-3.5270794270560964e-16,7.445442836009398e-15
1400,3.80418033555186e-05,0.0,0.0,0.0,3.729992528190708e-15,0.0,0.05999826632566551,1.762881674614851e-06,2.0023344701784496e-08,1.3705204445787773e-17,2.1978609511162176e-25,7.127717910313412e-15,7.099377235782276e-15,-1.80977732465341e-15,6.820167595793837e-15
