milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,-6.988382913970416e-05,-2.451418933237963e-13,-7.127456177597035e-18,1.3440863377647127e-10,-3.573507273249555e-21,2.2717391208414904e-18,-2.1167018618900016e-14,-8.363081867442757e-17,1.58120927199172e-06,-4.06553182353565e-08,-1.2988829951165811e-08,0.09980295619335598
100,0.00023518877310980577,5.4262043800785344e-14,-1.576792157975627e-17,8.754245348921024e-09,-1.7884958942478944e-21,-7.253936578218851e-18,2.856311058387099e-14,2.572753308084832e-16,1.9379376486331706e-05,-4.407593896868148e-07,1.0478370159375597e-07,0.09950854339993172
200,0.0005092114034503257,-9.569526250529754e-15,1.1957135313146383e-17,1.645330042110753e-08,-1.8638039953171805e-21,6.679785200320382e-18,-2.4226076660744723e-14,-5.680577885995126e-16,4.795169178563062e-05,2.661796336015407e-07,1.8731668260653877e-07,0.09884847042268707
300,0.0008765744360966676,2.380399687383113e-13,4.6432910904971704e-18,2.3736206084576036e-08,4.959757078713306e-22,-8.865835382267979e-19,-1.1797567484164016e-15,-7.458063074658168e-17,6.8706193481516e-05,8.218316544570566e-07,2.7868188216158324e-07,0.09866394627580337
400,0.0011214054885382704,1.6239620652335994e-13,-3.256256737904027e-18,3.064519755147174e-08,2.2503183644748325e-21,-5.553323472005299e-18,2.9514843711296804e-14,-1.1160488785350027e-15,9.28153710844358e-05,4.840106716320989e-07,3.3862949291928286e-07,0.09834030503466307
500,0.0013178082089357378,1.750389836884578e-14,1.93206440475687e-17,3.523407150013996e-08,-8.303416364951256e-22,9.584209299082193e-18,1.0195387537733996e-14,7.124122020570488e-16,0.00011070936744007464,4.5325527188089015e-07,4.3329859891296953e-07,0.09761574493564228
600,0.001596811157641671,6.737804258157625e-13,-8.672395694987596e-18,3.868345932449444e-08,-1.1967889016902246e-21,7.736369062113468e-18,-1.4566860289981434e-14,6.529631884414809e-16,0.00012868928307617264,1.5907297133115597e-06,4.77813780706941e-07,0.09730060917278989
700,0.0019738720947290703,4.2591731205766863e-13,2.805232715095949e-17,4.345531272988596e-08,2.0650961314876706e-21,-3.2324171450777593e-18,-1.4375409073289344e-14,-7.472740441088354e-16,0.00015652072228165557,1.02509010231574e-06,5.662402904522578e-07,0.09689859367290611
800,0.0020952010182209713,5.285658054793126e-13,3.548050587900371e-18,4.72467664954228e-08,3.633746258202703e-21,8.619410158695782e-18,3.110655447041271e-14,9.179443724534354e-16,0.00017658621011505492,2.8843293451458647e-06,6.183635909799253e-07,0.09656861482001579
900,0.0023925758405941183,8.088295579792364e-13,1.5268234661831545e-17,5.023121704079852e-08,5.273258787131562e-21,-6.2540059469131726e-18,-1.5099629397842472e-14,-3.400923794029918e-17,0.00019535393990673648,3.545195741822237e-06,6.691916639509603e-07,0.09588383120529263
1000,0.0026995420479142846,1.3976803122669854e-12,1.5453527136845623e-17,5.1157628485448804e-08,-1.0837794330743804e-21,-5.829674487499846e-19,-2.1648467741001534e-14,-9.947421292236986e-16,0.00021298639005432228,2.641318525061347e-06,7.200190456107238e-07,0.09536834331554425
1100,0.002897154179919245,1.1023142276086457e-12,2.6603825418342212e-17,5.369719801738971e-08,5.767797682016332e-21,-2.4070035789764446e-18,-2.168502433751359e-14,7.435597895302166e-16,0.00023278757108724128,3.918670269559217e-06,7.733437397498632e-07,0.09501325804344703
1200,0.003117345765620916,1.5426145362697005e-12,5.033570825051009e-17,5.5417313351645625e-08,2.1097512881779655e-21,8.790280211769356e-18,-1.6980169772977918e-14,3.5212402618677083e-16,0.00024706217469025357,4.997356186594064e-06,8.094510180675213e-07,0.09502064293517679
1300,0.003358492732674533,2.037994288306045e-12,3.733679872751795e-17,5.739421162203183e-08,6.259263827696031e-21,-2.205987062420871e-19,2.6544665892546014e-14,1.1093044623139212e-15,0.0002663086010533185,5.467340941055144e-06,8.468039283175717e-07,0.09411827013667155
1400,0.0034254625446594154,2.3014779270643993e-12,6.045288067191027e-17,5.741902866539989e-08,7.369086657165299e-21,1.136885922363964e-17,3.2756493061706326e-14,3.110456294631554e-16,0.00027491721983201816,6.708819631238247e-06,8.792369807583472e-07,0.09418486008782503
1500,0.0036478961399370327,2.3828818811278044e-12,7.388914381133879e-17,5.9394311309300975e-08,1.0660795241028077e-20,1.8037229143700817e-17,3.0277185622861353e-14,1.1723715995059114e-15,0.00029199839626297856,7.019630113735371e-06,9.177104757123238e-07,0.09381819240259315
