miliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,-7.808472714856775e-05,4.714922351690475e-14,-6.201392029484737e-19,-2.879358969765053e-10,-8.578784487239588e-22,6.607565124944133e-18,-1.476113416520588e-14,-4.593883289104028e-16,-2.611024277685106e-06,5.174742806749526e-07,-1.2866119318097091e-08,0.09998321151346776
100,0.00036178364922350597,2.595589751370007e-13,2.591862556409985e-18,8.79307318586463e-09,-2.6059104606114044e-21,5.020977854878318e-19,-2.946958861095278e-14,-1.094663365165973e-15,2.9579802618600653e-05,-1.4689362682293532e-07,9.719714062144032e-08,0.09964361345249084
200,0.0005527456289144624,-1.4288119066818457e-13,1.2671221383764862e-17,1.7108499931964352e-08,-2.1569739893952402e-21,4.88885459662241e-18,2.919473183401174e-14,7.557841590172085e-16,5.539317116354811e-05,-4.4804809382376745e-07,1.7120490037896605e-07,0.09882758888309781
300,0.0008591531090740168,2.807797272723365e-13,-1.7069006260007323e-17,2.3523307958977136e-08,2.1132554556130905e-21,3.813683077762375e-18,5.537751773149189e-15,-1.0377443161688808e-15,7.792327711815044e-05,3.1631868480829724e-07,2.6243341706426445e-07,0.09837326779142637
400,0.001148766697609013,-1.8515735361236294e-14,-1.368369529508266e-17,2.9674076676540332e-08,-3.686611813590045e-21,8.207542025092055e-18,-2.3762800659065845e-14,-1.1111887233445204e-15,8.706548141456013e-05,9.991627229400829e-07,3.4938316048446563e-07,0.09840502923935812
500,0.0014476704700331336,4.681115514016145e-13,1.7290583687156314e-17,3.4857907375064336e-08,3.3494206334634e-22,-9.146281910961262e-18,2.1332373825873118e-14,7.164030409279311e-16,0.00011653560778200233,9.74164697947704e-07,4.061585138753758e-07,0.09758256182467132
600,0.0015847508073282184,2.4568144669414436e-13,-8.914922369109959e-18,3.942347902094282e-08,3.6955367500803875e-21,-5.589500378894513e-18,-2.861616605566936e-14,1.1658872057625675e-16,0.00013580875436537687,8.92938863714845e-07,4.896110397892933e-07,0.09710465376875169
700,0.0019402758235656302,4.823305295983471e-13,1.7863739610933186e-17,4.374253539177621e-08,-1.0378325195525097e-21,6.453859402373017e-18,-1.9415395069774473e-14,-2.808936639438179e-17,0.0001522587338868995,1.67383016279927e-06,5.606755061214315e-07,0.09690335071920621
800,0.0021715392902036013,8.205743522641497e-13,2.6495100748479963e-17,4.671919474528027e-08,3.515089738141135e-21,2.0718116798626767e-18,2.9189342491478396e-15,8.707207113532929e-16,0.0001702076639168358,3.0256760144869687e-06,6.147707737512817e-07,0.09621442694831042
900,0.002390102054736402,1.0707539026647218e-12,3.872568249241265e-17,5.012611813152185e-08,-5.789065873258337e-22,3.3939994497191815e-18,1.939314208195068e-14,5.161412704892893e-16,0.00018781869282374065,2.561222969259254e-06,6.840538160143863e-07,0.09628642575658279
