miliseconds,c3,c2,c1,o,i,ik
0,0.999973325273678,7.299899534938032e-05,-0.00014016550936046473,0.06002556740375426,-0.0003893341385747578,0.10355166732114467
100,0.9998356857579345,0.00028251422169086904,0.00010449196468822293,0.05673830475260024,0.0035268324184461455,0.09750756109012625
200,0.9993718441790598,0.0005202392346369323,0.00032736643284849543,0.05368716409469649,0.006124586934533261,0.09219864830715256
300,0.9992213309854823,0.0007592478200689671,0.00030495751177624987,0.05037541666270564,0.008827918206134884,0.08668811466043991
400,0.9988725404219846,0.0009708656608369486,0.0004262281554170001,0.04827402676391657,0.011629520227135369,0.08286426003059232
500,0.9984289179615834,0.001081329310213804,0.0007165996256215187,0.046075192191847525,0.013773147973383696,0.07922289149990273
600,0.9981928026469579,0.001126306745021449,0.0008023129120155875,0.044440797291585385,0.015975328674936153,0.07632804463833777
700,0.9979870477661186,0.0013210635855183664,0.0010495491346056392,0.042011217875577815,0.017603257782271564,0.07322541286721222
800,0.9977519962506338,0.0015039564360791245,0.001269804691369821,0.04075349686974975,0.0190058127315951,0.07066070828502999
900,0.997098775339012,0.0015165817081009094,0.0016834247383793737,0.03923674998722498,0.020132239017726657,0.06809471435615225
1000,0.9971344093643123,0.0016619021364590795,0.0017905195629376186,0.0382109143517952,0.021665576548242454,0.06538411175082894
1100,0.996723141339352,0.0017646201308431449,0.0019925839291729543,0.03724677150774257,0.02217931881128005,0.06340758832616047
1200,0.9962581512811843,0.001927396864986243,0.002108395721138056,0.03578707057308729,0.023229856370134826,0.06152516884496591
1300,0.9960810627156412,0.002025507539356026,0.002369627195279434,0.03486277276737928,0.024460885666321826,0.06088321836344202
1400,0.9956158062534747,0.0022584965978656966,0.002588053138334905,0.034060993586685726,0.025442344831534902,0.058193404895115326
1500,0.9953201101426892,0.0023399733040307524,0.0027495737097333185,0.03390396623859262,0.025961155950145837,0.0577089346546818
