milliseconds,V,n,c,cer,g6p,fbp,adp
0,-64.96477996206812,0.011950413822808505,0.23522792318293026,185.27954256533673,199.97370148147294,39.99381952338519,780.0381131535866
100,-64.92275238304191,0.011715609815231069,0.23513875010214563,185.28259543329784,199.97335308971898,39.993781551244,780.0379663514136
200,-64.94176444310065,0.011664397419370785,0.23502847194718696,185.28439696783866,199.97313677888778,39.9938179239014,780.0382650136255
300,-65.00795779492013,0.011686847260530393,0.23508139463988484,185.2830626146867,199.97339323865057,39.99373495935761,780.0386879605164
400,-65.04725925216269,0.011523720073719428,0.2349706102706991,185.28490620924163,199.9728699440024,39.993756939261665,780.0384849476918
500,-65.01646761444275,0.011530869535525297,0.23480693390907262,185.28735435836046,199.97282892244584,39.99373189984617,780.0388417663943
600,-65.09057408290587,0.011516674795064324,0.23472794169365752,185.28858522129505,199.9728413517901,39.99361260614102,780.0390105899224
700,-65.09861225271182,0.01143998371650014,0.2346348152037773,185.29356341339593,199.97268656633827,39.99363783057404,780.039408754991
800,-65.11510245261303,0.011317694136190522,0.2346590237078224,185.29292869519415,199.97211622196062,39.99360124649311,780.0396970846788
900,-65.08338694887031,0.011268167484590016,0.23445815503362458,185.29595577943957,199.97195769705326,39.99354632868687,780.0401272037886
1000,-65.16895033843161,0.011229720101794323,0.2343200906807363,185.29705820485898,199.97167497541815,39.99343962441352,780.0403685662494
1100,-65.16901700317408,0.01126628417808571,0.2343367826520667,185.298605634569,199.97175575330672,39.99339404482403,780.0403012065551
1200,-65.20542349832306,0.011179695101421765,0.23424211512296958,185.29979374578556,199.97157315786995,39.993399108742594,780.0410344501084
1300,-65.23404091191587,0.011177956389105313,0.23412968553850785,185.30315805643914,199.97146921932446,39.99340337809325,780.0410172017274
1400,-65.2541604494793,0.011112122675558141,0.23395651155771421,185.3064577051585,199.97131392548832,39.99324974349568,780.0410760381501
1500,-65.20737781977834,0.010987045971679592,0.23400012624116287,185.3060850750889,199.97116392280614,39.99322491274554,780.0415023673984
1600,-65.27126258079888,0.010890475388663926,0.23370211760880422,185.30797450484104,199.97074297523147,39.993275628946186,780.0414242036828
1700,-65.29667043119653,0.010836914424424424,0.23384020508433928,185.30819244575977,199.9707177370122,39.99320859445415,780.0421366650385
1800,-65.30413841261596,0.010816017022819566,0.23366103761646057,185.3113365298987,199.9706476309627,39.993172725954665,780.0418221008764
1900,-65.33658301474306,0.010815169416931338,0.23359321185025622,185.3149348374982,199.9702103936339,39.993154453851616,780.0422790831557
2000,-65.32885309339933,0.01071963661861007,0.23352185353105104,185.31572832472705,199.96994161311733,39.99308581142522,780.0427713429286
2100,-65.32367547085104,0.010633575043140773,0.23331484846732775,185.3171444655907,199.97019394650164,39.99296278228564,780.0426085173276
2200,-65.34313649595062,0.010696065830011495,0.2333486831259136,185.31956112354735,199.9700306667611,39.992964579802894,780.0429294130975
2300,-65.40387130714488,0.010572672118350904,0.233138542350095,185.31930912721003,199.96964746025708,39.99292986956709,780.0433334928297
2400,-65.38959166383756,0.01059635550946008,0.23320986695467133,185.3237739502813,199.96951063765565,39.9928473569193,780.0436415144877
2500,-65.4141878470299,0.010433813266971785,0.23306849732566323,185.324243423274,199.9694045971063,39.99280611707445,780.0434486536622
2600,-65.45630766259882,0.010434373558181874,0.23277597465566283,185.3252032711048,199.96927226119584,39.992802482975094,780.0438328712411
2700,-65.46994515885756,0.01039328223562298,0.23270259825019687,185.32612472872546,199.96920936701343,39.99281175530919,780.043955704887
2800,-65.50813227470333,0.010302283624632399,0.23280443254242544,185.32717935505065,199.96886934124845,39.9927916195895,780.0447752583764
2900,-65.4735516212122,0.010311733136296696,0.2325112240408238,185.3323450548046,199.96845471295825,39.9927270769298,780.0446453599736
3000,-65.48986782751706,0.010187859711670853,0.23257481116485076,185.33390200026537,199.96827046010384,39.992601956088556,780.0453397806187
3100,-65.53962406208882,0.010165630938377733,0.2323515129401487,185.3314797370466,199.96827008538438,39.99263303866375,780.0455854191551
3200,-65.54966916964054,0.01019679269159959,0.23231245613416762,185.33521517398117,199.9681482170891,39.99253781116001,780.0451857456115
3300,-65.56828873903048,0.010153256915939483,0.2322597594039105,185.33945640514773,199.9677869866319,39.99247332947382,780.0455665561695
3400,-65.6023801038084,0.009912900290800854,0.2320317772536537,185.34088291293142,199.96753012208637,39.992531672990374,780.0456320825785
3500,-65.63102039731358,0.009920953148679437,0.23199863588926492,185.33834528418222,199.96735928017932,39.99247851048375,780.0459244322642
3600,-65.64585523221827,0.009947558432928971,0.23200708544613868,185.3404126580027,199.96722970364158,39.992351547884546,780.0462080947469
3700,-65.6204528624873,0.009827987174334361,0.2317625795024114,185.3430929778551,199.96719080220544,39.99238994657953,780.0465371019345
3800,-65.64690873107521,0.009749553901738536,0.23177760923275006,185.34356927505752,199.9670210870255,39.992352456273494,780.0469184057387
3900,-65.69198331929572,0.0098480030578883,0.2315947607869615,185.34585585074453,199.96676767024582,39.99223190962253,780.0469511597266
4000,-65.72108679103872,0.00966538541461438,0.23153133224798317,185.34662133073792,199.9665960588303,39.992298418166186,780.047151601355
4100,-65.72884096159513,0.009582644839533947,0.23160986765240577,185.35355728387037,199.96629785033215,39.99222035877023,780.0477667516493
4200,-65.76387072849751,0.009578886485343129,0.23150004421936443,185.35223761614662,199.96608700564522,39.99222491027336,780.0477499987137
4300,-65.74795550848344,0.009667630054639432,0.23125311142743946,185.3554199032335,199.9658945814893,39.992103354868675,780.0479397649416
4400,-65.80603187411575,0.009614870108659088,0.23134341680369838,185.35821437347357,199.96622452400248,39.99212645538289,780.0482585632608
4500,-65.7953593063443,0.00942662548045851,0.2310299478890383,185.357856490476,199.96576273781614,39.992062785611395,780.0484315545145
4600,-65.81241019702819,0.009448035879304453,0.23112540408775253,185.36187464665088,199.96581092922347,39.99196779203958,780.0486360196707
4700,-65.78830979231917,0.0093833108710894,0.2308583011845154,185.3594038260787,199.96518892047283,39.991967900327836,780.0493831864511
4800,-65.81901591002766,0.009292789865440014,0.23092724068731976,185.3622173740574,199.9651656291669,39.99194522659361,780.0493042380851
4900,-65.84027187395486,0.00925711565411893,0.23087271027391632,185.36640179366105,199.96495517280917,39.991922947005456,780.0496652405793
5000,-65.83327565642762,0.00923891234027577,0.23074238437731345,185.36791192316292,199.96486020470664,39.991859797067896,780.0496014210474
