milliseconds,H,D,M,C,N,R
0,103.01244350027129,0.023359376032528925,-2566.812215441388,1.0878546940093736,99.64067906019713,-1.6919381659036392
100,-27.31266178394434,0.1569157900511331,3065.309802828433,-6.955363210615206,100.10865688496334,-1.468244442068255
200,76.83237026740991,0.5532043279165805,1080.500624142677,8.708792407681425,101.27959014470333,-1.555446815656307
300,-121.85912788170795,0.6332696132858032,-1786.6107579550478,6.180699953681945,101.2601205637228,0.11484121742810036
400,-0.7789027772325618,0.8691488526012775,-2459.7219611872288,5.828309717240783,96.70678750145662,0.37704119016633875
500,-19.627393378782372,1.1363482182412914,1619.0100207754467,5.199543963288525,99.63906103767712,-1.4875290191438113
600,42.423102081327485,1.1446908559988311,3331.5365092907514,8.023938635125951,97.21389699253021,-0.1606591318959978
700,16.001727478720113,1.2396458188890103,105.45962601487781,-7.317089421502902,98.18809001974991,1.0806344318240528
800,-38.176902628120004,1.4780311019140593,-2095.486754393659,7.221087715610737,98.80589499134469,0.04065553478398909
900,109.71565527471343,1.472532266603618,2074.685725599808,-8.802846973733995,97.45729293600542,-0.7951252393460595
1000,94.84355627745572,1.6130055803082994,-1932.205096361241,2.610926492854131,96.66984126396082,0.12138738518669157
1100,4.819223221638529,1.5781899594566542,-908.2383917937553,2.697009199214869,95.3390851700818,0.5560795711019708
1200,-49.33503982994861,1.6501280683085042,2818.1164578415983,17.88715578108399,96.08368221458608,-0.24465561980174444
1300,91.1567544331713,1.844822832344033,-1087.18526800694,14.416675991176211,96.01764247527541,2.925060311296372
1400,138.53719990920854,1.8140337620909046,4027.0285591082775,6.7984985125214505,94.87937881101067,2.1626780871150375
1500,153.2800375758896,1.9216320236327955,2110.5593689856205,8.450536642702792,94.76888632756227,2.3449513541965468
1600,-42.4075376739014,1.848527467251606,3597.9842309321466,18.987470923819437,94.58925035992642,4.326640723104601
1700,-66.06744609572897,1.9714735473856002,1559.628664794688,3.55415856156153,93.91120440441527,5.148459270970409
1800,38.62647700013224,1.9464271015357424,3124.3469949235755,16.796722000112585,94.06483475236398,5.25953482269852
1900,59.22186896426837,1.919493632478806,-401.46214181039477,-1.2234168019555405,92.1994588573139,3.4911818333733664
2000,30.439650506597737,2.0971571918073924,2867.390925518755,-2.83233207384621,93.92986634764009,2.2406715522371385
2100,94.55093606372347,2.074422322076975,588.0565761697089,9.71858735676914,93.89529968493675,3.9839681770597366
2200,129.84528151915896,2.162191339725417,4004.156361160515,10.46580009946122,91.3809734445581,5.239138337680464
2300,47.103112859676855,2.098822035027265,1141.0650404033136,-0.2823573332527385,93.29169003100218,6.835094018577588
2400,105.5126922483489,2.3114552204217373,4746.114069261779,24.51140744188766,93.12774637145468,7.80943727017517
2500,47.44302574686145,2.3705825678040755,4872.701202492324,12.943096198823032,89.35555232821147,4.465190977286294
2600,212.1200173862846,2.2918393697056985,2406.5002295346817,6.357845968668896,91.61016975199884,5.628114123448816
2700,56.65327887274768,2.4806528897432814,3869.5478157618763,15.235726919810649,88.77005586829834,6.611374519206756
2800,103.49735533104146,2.445182101998406,1114.4871392058276,28.851269781577088,90.61651261340984,5.684739483686693
2900,130.58345265062718,2.647010062883732,2055.1961822633007,10.887621482472191,90.64636727758642,9.705487330989133
3000,145.3952217322679,2.614556988238868,4839.606026764145,22.712900828279416,90.44703409214179,10.762445800645668
3100,172.5228378198971,2.7376421883878885,3267.4209662284075,22.000752199004836,89.3171080294937,9.687590400518163
3200,364.938322579,2.913487383150977,5450.395819797284,20.82572963657452,85.87181929829242,11.732562685323476
3300,440.5902087928596,3.00506912150025,10113.052182003674,28.283982886499516,87.20883546671304,9.664397173930313
3400,505.01931477182353,3.1224332432491884,8414.237589817021,30.80893949103954,84.61519159705891,12.440681821484596
3500,356.9902509583509,3.2916962408746584,11781.044333223626,46.09789560882591,83.85239834898589,16.021081127556656
3600,446.31239593182454,3.4543287322321294,13924.35339756407,53.623084162966684,82.1224364994289,14.67615238200706
3700,593.9220038556375,3.600661685070839,18093.995691370827,82.0416511913106,79.17348782533064,18.396679009790603
3800,808.2980743983213,3.628671598014903,21663.8938696749,84.16437450807302,76.46691671858007,20.76037601649584
3900,1155.3504087495721,3.836227514705063,25085.81539576787,111.65894261322602,72.36748629393482,25.547962280037602
4000,1418.6041364560085,3.749883580532633,33137.262147769536,157.5599205854113,70.82935831254372,26.5755341055285
4100,1496.3247682529156,3.71412582751912,40767.56968141913,198.9282541541329,64.54050481431445,33.0157490535875
4200,2014.2132124692478,3.525664876473374,49621.70681862535,213.8054055884709,60.97360590754101,37.81931570036745
4300,2310.5041347155093,3.2915424059100635,56211.216116994925,272.8818655521889,52.61233023586238,41.092998574137795
4400,2619.267507578243,2.9729005176997942,67596.71167330607,308.9498004826283,47.064155122405545,46.89653753047933
4500,3026.4253390053877,2.5235622602887187,79298.84252165342,351.29140039419593,42.76665686768215,52.241965875855634
4600,3425.961588280782,2.26271691879469,84574.91237431896,372.00683537729907,39.57004886730637,59.041273074075725
4700,3600.162587380493,1.8126370007725114,91800.82661553832,412.95048801916823,32.16660516602457,63.48163970930684
4800,3830.2209412685293,1.5749742467224774,94682.27283794862,420.98378496559457,28.280018337856518,69.59125807474807
4900,3941.5333092820256,1.368069103433689,101394.85205993705,399.9658439074732,25.064163248582208,73.03391177517423
5000,4059.256387906341,1.0966212353970024,101934.2057897206,389.690934929501,20.95109402094531,78.41343829929495
