milliseconds,PA_D_Cytosol,PABCa_D_Cytosol,h_D_ERM,PABMg_D_Cytosol,CG_D_Cytosol,D28kB_D_Cytosol,PA_Cytosol,CG_Cytosol,PABCa_Cytosol,D28k_high_Cytosol,D28k_high_D_Cytosol,D28kB_high_D_Cytosol,CGB_D_Cytosol,Ca_D_Cytosol,CGB_Cytosol,D28k_Cytosol,D28kB_high_Cytosol,PABMg_Cytosol,IP3_Cytosol,D28k_D_Cytosol,IP3_D_Cytosol,Ca_Cytosol,h_ERM,D28kB_Cytosol
0,1928.2185228796263,9826.322912992193,0.7999651248516949,36404.228554633955,84568.01457885029,2510.0816244469916,1928.2329932713499,84565.56209978701,9826.367765881158,43953.37068747999,43952.80046813476,4207.0471270360995,11753.238416053366,27.095613754321334,11755.083471847774,45649.739651144344,4207.239032717115,36403.12496723501,96.32,45650.27300191481,96.32,27.083918341767703,0.7996975831384379,2510.3606525640967
100,1928.1460205890317,9827.140087241787,0.8007176813934676,36404.16487501813,84564.15123208417,2511.024173213287,1928.2144182426657,84563.62502909351,9828.15525974436,43953.090679249435,43952.31079731566,4207.13761622682,11758.447950375432,27.256140061446903,11755.872994919622,45649.301422635785,4207.069372972807,36404.99904708914,96.32,45649.4456439498,96.32,27.256091382934773,0.8006812419936995,2511.127869370275
200,1928.1152902507213,9828.944404436284,0.801556964707039,36403.307905894326,84561.64691888995,2511.1779962365617,1928.182476613652,84559.64561029838,9827.277515723212,43952.38616437777,43951.86686819634,4207.863793504742,11758.859849036318,27.262488062197725,11761.905113614821,45648.6278335201,4208.094328257089,36404.615226557056,96.32000000000002,45648.43502625289,96.32000000000002,27.25371907185792,0.8020421937191657,2511.739936725059
300,1928.099559235766,9828.811741984144,0.8025415050914843,36402.28880798865,84555.90877080239,2511.6965973917854,1928.1006917204859,84557.75072026308,9827.934329884625,43951.209185326414,43951.14716549656,4208.532543802371,11761.48349713335,27.26002986416505,11762.545401711115,45647.8470041703,4208.012979162003,36404.2223957772,96.32000000000004,45647.84435907741,96.32000000000004,27.260837988946527,0.8029094327611975,2511.5993896575133
400,1928.1279585205752,9828.813687893697,0.8035213357755164,36402.789666382974,84554.72548298251,2512.471767039387,1928.0963165082528,84555.6976367887,9829.37186680752,43951.44709318426,43951.21634738635,4209.732618677901,11765.226787969612,27.274593293586733,11765.693126254522,45647.560275663025,4209.2710256203245,36401.95175926802,96.32000000000006,45647.089289690426,96.32000000000006,27.277347047157654,0.803474901874491,2512.811478951337
500,1928.0323136268091,9829.249381603786,0.8040449160477863,36402.77048540664,84553.24499143111,2512.636329015767,1928.0566752966113,84550.94202079737,9830.89964528597,43949.56314953034,43950.539844848085,4209.430450975008,11768.256266854423,27.271481251794274,11768.40364169173,45646.71174067021,4209.949768572091,36400.823382089606,96.32000000000006,45646.575803266685,96.32000000000006,27.28124395776127,0.8046317239706648,2513.390038177869
600,1927.9760954139444,9830.016452684964,0.8048526604193791,36399.83914447197,84551.52311979875,2513.474563197476,1927.9683342455396,84549.03871233723,9832.355381425803,43949.727272667646,43948.816505668074,4210.604080246927,11768.787699836808,27.28866868337206,11767.53506255368,45646.5477539495,4210.254725406197,36400.31299401908,96.32000000000006,45646.76605874998,96.32000000000008,27.27910199120633,0.8050253458967812,2513.432782461803
700,1927.902811110002,9830.992449092528,0.8058573277348512,36399.42388327873,84549.03636573403,2514.254926207171,1927.935802836563,84547.19198642074,9832.240712046743,43948.93049229657,43949.067205073,4210.55411210832,11772.879063933131,27.294203278842097,11769.525870959895,45646.2443842896,4210.992872647188,36399.40986201468,96.32000000000008,45646.13897454279,96.3200000000001,27.291188295217093,0.8058448258877401,2513.9863719811533
800,1927.941236332451,9832.703278315726,0.806457602364015,36398.302598019545,84545.51879103883,2514.383763592325,1927.8404378639175,84546.41921612558,9831.97737139892,43947.681464149624,43948.05695534896,4211.751875729105,11773.242844709226,27.290503774433617,11773.349645055412,45645.75296887223,4212.062131452504,36398.44932117348,96.3200000000001,45645.6981257748,96.3200000000001,27.300225245879393,0.8066798533065097,2514.877341889723
900,1927.8443178882023,9832.89743872592,0.8069319506215961,36397.549862904605,84544.27146417687,2514.580081886895,1927.8463977439753,84544.66564683351,9834.611965382766,43947.44664381949,43948.02490900748,4212.162001157306,11775.34927743322,27.302604490512664,11775.200257901193,45644.95004342016,4212.450244818792,36397.87117916439,96.32000000000012,45645.53590511106,96.3200000000001,27.293336405170773,0.8071907706731595,2514.534124679446
