milliseconds,APC,Va,Va_APC,Va3,Va3_APC,Va5,Va5_APC,Va53,Va53_APC,Va56,Va56_APC,Va36,Va36_APC,Va536,Va536_APC,HC,LC,HC5,HC3,HC56,HC36,HC536,LC_APC,HC53,VaA3,VaA53,VaA36,VaA536,VaLCA1,VaLCA1_APC
0,1e-08,2e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6345906045874116e-09,1.916193385522991e-07,7.815003493928655e-09,8.723421942134907e-13,3.184028144688593e-11,1.3999904662848538e-11,5.160252215524032e-10,4.8171119655476755e-14,2.4940913895978988e-12,1.9765773409231954e-16,1.0254268851293925e-14,1.2136866982696248e-17,6.2286558856457e-16,1.0634904935494691e-18,7.046829126017581e-17,3.3448475940240286e-13,3.293851192322457e-13,6.633001576370071e-18,4.157201531538393e-19,7.322227325050886e-23,4.5283951598662674e-24,3.2644595151333973e-25,5.106704233885886e-15,1.787556889386958e-20,3.5834646253929245e-14,1.966535378078699e-15,4.955321327062839e-19,4.325707325495324e-20,1.3996435599070542e-15,3.640207686130685e-14
200,5.300422354767327e-10,1.904481103150463e-07,8.120281101876154e-09,4.60744538900518e-12,7.464133403751417e-11,7.610358701323778e-11,1.2617645225664656e-09,5.416330286549986e-13,1.3060787612131942e-11,2.2454276156956873e-15,5.438980795625849e-14,1.3203524818640285e-16,3.120234058885796e-15,2.4512581816158717e-17,7.743962730799567e-16,6.62776731057525e-13,6.540532034353876e-13,7.662775493107286e-17,4.6996474558761245e-18,1.731863874228552e-21,1.0346540311932079e-22,1.5422065476370347e-23,8.805249344998613e-15,4.193200068454102e-19,1.932746302648926e-13,2.245383909102963e-14,5.476060386577436e-18,1.0092590744711063e-18,1.641644369499382e-14,1.993185109803894e-13
300,3.785013600706708e-10,1.9017663199418772e-07,7.55606470993791e-09,1.1034602801253399e-11,1.0892152014180839e-10,1.8772960289382482e-10,1.9249704339850484e-09,2.0387789008943645e-12,3.101241796318445e-11,8.540623885819806e-15,1.3084109922606008e-13,4.803447760878607e-16,7.070962694631763e-15,1.4108573661476378e-16,2.849115303235971e-15,9.900819160372933e-13,9.788166806704531e-13,2.969117542143572e-16,1.7813028960822076e-17,1.024203270077526e-20,5.906213957382579e-22,1.3723504935816217e-22,1.1582383957528561e-14,2.45918943819954e-18,4.738510139180633e-13,8.599141023270436e-14,2.028058568361572e-17,5.890121163521501e-18,6.451155466771014e-14,4.953570401899044e-13
400,3.568660351421535e-10,1.8998925544524427e-07,6.971023042970722e-09,1.9496742047112508e-11,1.3428331421492007e-10,3.416278745397683e-10,2.482473148040649e-09,4.978324103318506e-12,5.432883515457295e-11,2.1071121409055087e-14,2.3219354375956924e-13,1.1332191806717354e-15,1.1808351544902172e-14,4.650342381904822e-16,6.801411468907451e-15,1.3170272126176605e-12,1.302993800634959e-12,7.466443995421671e-16,4.3823806613991325e-17,3.4693650479831926e-20,1.9310394082719203e-21,6.193113646018165e-22,1.483213753876675e-14,8.261588968500667e-18,8.585813484759729e-13,2.1388892351493413e-13,4.877865519826623e-17,1.9704973260058577e-17,1.6439863736540963e-13,9.081401182539554e-13
500,3.553322069512095e-10,1.8978361675485425e-07,6.462530772035485e-09,2.9414166082149994e-11,1.5243861436121445e-10,5.306067629465308e-10,2.946889245415705e-09,9.660545238949349e-12,8.124401893206708e-11,4.130576218945404e-14,3.516378599826742e-13,2.1245745563149338e-15,1.6824386080851443e-14,1.13683097710112e-15,1.2903458019821714e-14,1.6436364350752267e-12,1.6263264003895951e-12,1.4921440890368575e-15,8.571009880360209e-17,8.715732328508615e-20,4.683108860739016e-21,1.938085059926162e-21,1.8908492006408228e-14,2.0586365344130984e-17,1.3296861987616102e-12,4.230716389615851e-13,9.332185306037992e-17,4.891905123145373e-17,3.327412638589001e-13,1.4201588147685873e-12
600,3.553396692862505e-10,1.8954747780619525e-07,6.034229309030011e-09,4.033702851966475e-11,1.649922600914802e-10,7.486000554749355e-10,3.332785639014342e-09,1.627219775590569e-11,1.1038216117462634e-10,7.026753234327406e-14,4.836320033706692e-13,3.45823216982655e-15,2.177729904402361e-14,2.308386079843372e-15,2.1247504013113745e-14,1.969864968716041e-12,1.948870045143542e-12,2.5879611258598286e-15,1.4554190878843764e-16,1.818811832468368e-19,9.435069792999716e-21,4.8333135199739775e-21,2.3771147603488442e-14,4.261562805475311e-17,1.8728552687139175e-12,7.266407409344581e-13,1.551032100792235e-16,1.0092151351309433e-16,5.841688452891563e-13,2.015583189082812e-12
700,3.547254739065377e-10,1.8928403773660787e-07,5.674995174059709e-09,5.191215037648066e-11,1.732813902140948e-10,9.904531662172434e-10,3.65321888507353e-09,2.4921282902883187e-11,1.406659320327298e-10,1.0865601249766459e-13,6.236509730626904e-13,5.120179259161807e-15,2.6439838071007733e-14,4.1324879897595e-15,3.181102518312691e-14,2.2956638545752577e-12,2.270696044102297e-12,4.079786095087122e-15,2.247586799436219e-16,3.344549360778731e-19,1.676489120977276e-20,1.0288602922283054e-20,2.935039093758651e-14,7.77583665720116e-17,2.4765362535865575e-12,1.1349300651272613e-12,2.345804920166713e-16,1.835673619672074e-16,9.31653646734775e-13,2.680230819833028e-12
800,3.5454917147299775e-10,1.8899881425360569e-07,5.372812048437692e-09,6.38800959643405e-11,1.7833717281736927e-10,1.2519369950410725e-09,3.919008147417962e-09,3.564087190845903e-11,1.713113213494201e-10,1.568476264326533e-13,7.682096919837075e-13,7.082569410780295e-15,3.068648794170922e-14,6.754862973399129e-15,4.447727237069833e-14,2.6209915069845275e-12,2.5917795120473555e-12,6.004341166396621e-15,3.2421776257688207e-16,5.614747425237434e-19,2.7208685190677236e-20,1.9575249343059125e-20,3.567050983106632e-14,1.295521872118197e-16,3.131895709066449e-12,1.6556046614579095e-12,3.3160555046355635e-16,3.0494520559616317e-16,1.3862847148898297e-12,3.4018522063905904e-12
900,3.545884094215436e-10,1.8869534799292296e-07,5.1185377588244365e-09,7.60434215645498e-11,1.8098060686293622e-10,1.5295025643514216e-09,4.139275347829633e-09,4.842071899623772e-11,2.0172316512894948e-10,2.1502028467318406e-13,9.145171449615494e-13,9.311875183016412e-15,3.445064809058622e-14,1.0311148972039245e-14,5.907958506125493e-14,2.945813219183813e-12,2.912172866103891e-12,8.392193129736024e-15,4.44416291372686e-16,8.79965494390895e-19,4.125340470169235e-20,3.418802085177083e-20,4.267893834047341e-14,2.015501223369975e-16,3.831894672299113e-12,2.2945848907191374e-12,4.45706784164159e-16,4.731342788720624e-16,1.9578374539732185e-12,4.169560950108071e-12
