milliseconds,GP,pGP,mRNA,PEPCK,IRS,p1IRS,p2IRS,p1p2IRS,Akt,pAkt,mTOR,pmTOR,Foxo,pFoxo,PYRout,GLCex,F16P,PYRin,LAC,OAA,GLY,G1P,G6P
0,0.4726,0.1723,2.905,0.7686,888.77,0.0,0.0,0.0,1.1182,0.0,880.25,0.0,1.069e-05,0.0,34375.0,28725.0,362537.8787878788,37393.93939393939,37916666.666666664,83.33333333333333,182757.57575757575,200871.2121212121,19651.515151515152
100,0.6433649936146633,0.001535006385336453,2.904180783574178,0.7684889407134334,20.296898489336765,1332.5134877214377,0.002993974577933535,6.707864606489014e-05,1.113061283495557,0.005138716504443826,880.2499936230619,6.376937310940228e-06,1.0689698302582388e-05,3.016974176144818e-10,34375.00117764333,28696.490126094897,362216.1806233594,37393.05979750246,37916666.68619356,89.08621655916454,182758.0408633456,200856.72278978713,24301.844161754292
200,0.6434967366135229,0.001403263386476749,2.9033619109622912,0.7683778930988721,20.336813544763167,1816.1921067517328,0.027450493098986877,0.0008296582589167991,1.1056289018126138,0.012571098187386739,880.2499696510675,3.0348931078922496e-05,1.0688564028776531e-05,1.4359712234731209e-09,34375.00235495756,28683.569082592094,361894.69224861264,37392.180251455495,37916666.70571973,94.81943540164333,182758.50615653166,200843.93773598594,26588.334581269963
300,0.643557132909074,0.0013428670909255156,2.902543334885838,0.7682668571576656,20.375445549119814,2299.797270251713,0.10168048806444979,0.003884793801040381,1.0961936322810895,0.022006367718910368,880.2499223846186,7.761537976194536e-05,1.0686327444656078e-05,3.6725553439235467e-09,34375.00353194262,28677.82435161723,361573.33281738276,37391.300755796736,37916666.725245334,100.53523488767377,182758.9714945249,200831.8636932327,27786.682340836236
400,0.6435876363260181,0.0013123636739813985,2.901724995418304,0.7681558328905762,20.412572528937876,2783.292920673812,0.2596257441521751,0.01206429225327998,1.0848822410924297,0.0333177589075697,880.2498464888403,0.00015351115817378549,1.068273643649085e-05,7.263563509152097e-09,34375.00470859846,28675.71496341964,361252.06489640323,37390.42131052441,37916666.74477037,106.23550043496874,182759.4368395995,200820.13535271454,28433.798903121493
500,0.6436037916497005,0.0012962083502989989,2.9009068208339195,0.7680448202976434,20.44801090625782,3266.6367632694887,0.5398799346029355,0.029699272161107928,1.0718278164253139,0.04637218357468561,880.2497369930657,0.0002630069327605704,1.0677556774694306e-05,1.2443225305694872e-08,34375.005884925136,28675.53151917245,360930.87049972377,37389.54191563675,37916666.76429484,111.92183146290895,182759.90217492034,200808.58734507018,28788.865863108786
600,0.6436125738213218,0.001287426178677617,2.9000887285084103,0.7679338193780605,20.481613564955527,3749.780940154399,0.9847368426255783,0.06285696878387893,1.0571683818529924,0.061031618147006826,880.2495893060401,0.0004106939583764083,1.0670573133971429e-05,1.9426866028571367e-08,34375.007060922646,28676.391774037074,360609.7412545891,37388.662571131965,37916666.78381874,117.59559699825219,182760.36749214883,200797.13716504033,28985.646198515016
700,0.6436174331271091,0.0012825668728901223,2.8992706258642182,0.7678228301300601,20.513267836296723,4232.672682103675,1.6392942831152668,0.11954848475817569,1.0410455163313774,0.07715448366862229,880.2493992272736,0.0006007727249986891,1.0661589937428893e-05,2.841006257110867e-08,34375.00823659101,28677.824498966722,360288.6737523908,37387.78327700826,37916666.803342074,123.2579782797083,182760.8327869319,200785.741580761,29095.583713350246
800,0.6436201509195214,0.0012798490804779652,2.898452411351613,0.7677118525508106,20.542893408387688,4715.254937567906,2.550614365494465,0.20990719974278962,1.023602997105074,0.09459700289492567,880.2491629546196,0.0008370453790033398,1.0650432013790155e-05,3.956798620984551e-08,34375.00941193022,28679.57324901251,359967.66716553294,37386.904033263854,37916666.82286486,128.9100018894575,182761.29805693091,200774.37734266932,29157.556755816287
900,0.643621699004073,0.001278300995926508,2.8976339754500438,0.7676008866363228,20.57044017898272,5197.466974676363,3.766941580493993,0.3463402110553922,1.0049854807330387,0.11321451926696104,880.2488770885932,0.0011229114053195486,1.0636945081067719e-05,5.3054918932280296e-08,34375.01058694031,28681.49706741899,359646.72197119956,37386.02483989697,37916666.84238707,134.5525657357325,182761.76330087287,200763.0317819256,29192.93370509245
1000,0.6436225991620805,0.0012774008379189384,2.8968152017133324,0.7674899323813694,20.595885921605596,5679.244968966075,5.336978890044009,0.5436410207212446,0.9853372409974278,0.1328627590025722,880.248538631578,0.0014613684204085587,1.0620995947061955e-05,6.900405293804341e-08,34375.011761621274,28683.517911616433,359325.83924733923,37385.14569690583,37916666.861908704,140.18646011814366,182762.2285180591,200751.69794052737,29213.54428340612
