milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
0,3.0000498532405632e-05,0.0003000005585685683,0.0029990197585077535,-1.3482530785154042e-08,1.2005345754254262,0.001336693903550269,1.5904309632074875e-05,1.199066949603053,-0.0001342807549634394,-1.5445576920388268e-05,0.11983272726453899,0.0002986178327481419,-8.492929734612143e-10,-2.1062798212882977e-10,1.920912931175525e-07,-7.408596372159988e-08,7.315379730110152e-05,-6.3044787970329415e-06,-1.0028373100860543e-08,3.6180711290786457e-07,1.5291353123053598e-05,-0.00012891569022161875,4.993789020187291e-07,2.0926120795737873e-05,-0.001204732197964498,3.752018709352534e-05
100,2.972687899151801e-05,0.0002999994679466888,0.00299857315876718,1.1282624645062083e-06,1.1991379257152734,0.00010233036048987019,-1.0183643513574198e-06,1.2009449249189663,0.0003116692680360765,-2.0824694041773857e-05,0.11988801340151868,0.0002987296818730858,2.760850193561352e-07,1.3807982275150398e-09,5.195935246618391e-06,1.5782458790778547e-07,0.00011416470473319004,-3.921904672607857e-06,2.492994844865528e-09,-6.548172328668936e-07,-1.1171644920970487e-05,-0.0001554095373047601,3.0803931104387185e-05,-2.4898618546388755e-05,0.002056534418846628,-5.0618504349189835e-05
200,2.971466117306173e-05,0.00029999756765618034,0.002996462079138982,9.728769529413116e-07,1.20040895127923,-0.0008819142051689321,1.8350747874371358e-05,1.1992864339564024,-0.0004105307204598239,1.34653021705059e-05,0.11985659107596981,0.0003004470383261366,2.802983045696718e-07,1.5194086098193285e-09,5.59923349444218e-06,5.961878637115314e-08,-0.00014165476899919718,6.66252340300462e-06,-2.6968765001867866e-08,1.2299418623005755e-06,1.5121859909292364e-05,-8.308981776266725e-05,-4.237772650058031e-05,0.00015528371591523585,0.0017622401105277133,-4.394512766491491e-05
300,2.9712156219397664e-05,0.00029999760224790946,0.002987266697910865,1.96582831127499e-06,1.19858996156783,-0.0005288585425578895,3.9855447582159897e-05,1.1998493477011378,-0.00025902600914286863,1.0981018763426699e-05,0.12012962002956622,0.0002988577362753706,2.925753880043209e-07,2.062311584795029e-09,1.3998980129831475e-05,9.116310791898428e-08,9.091059694670222e-05,-1.1199723977589112e-05,-1.2483293847061444e-08,8.257333792880031e-07,-5.829869629104636e-06,7.665125634024251e-05,-6.432085637618519e-06,2.417139702987231e-06,0.00585156344596577,-1.5941535432886686e-05
400,2.9702721188065912e-05,0.0002999959832053065,0.0029815506561917202,3.46976714686811e-06,1.2009418715757745,0.0009822178230467246,-3.386270481646848e-06,1.199797643609994,-0.0003281039135103066,3.5963238603150795e-05,0.12009299511213707,0.00029891652214116156,2.967552501843261e-07,2.6805751673658467e-09,1.3456713574388957e-05,1.0336421387997295e-07,0.00010683346921051416,1.0770552133348519e-05,-1.7245903993298527e-08,2.5709037196372174e-07,4.790312355529511e-06,-5.964107103626627e-05,-2.8961945774329905e-05,-0.0001315637060364834,0.00481973909437003,-4.1138232603814246e-05
500,2.9708633685749474e-05,0.0002999957402412038,0.0029758650083443116,5.061527552854555e-06,1.1990367184340824,0.0002648362798074351,-3.7210183927168226e-05,1.2005707558114203,0.00018767494953517353,-3.746462251292902e-05,0.12001303541931828,0.0002987373762182231,2.9885916366715957e-07,3.5709316722292356e-09,1.282775283822937e-05,1.4390380299406065e-07,-7.801430554866927e-05,1.0805332440649574e-05,1.812488686916215e-08,2.3001924050516143e-06,3.725250062218339e-06,6.415460844443136e-05,-3.5587819161062804e-06,0.00012197189127621978,0.0074705003594097204,3.8037832961472084e-05
600,2.970661908908385e-05,0.00029999479340044505,0.0029734758549178255,5.84267323361678e-06,1.1969670698741806,0.0022152055795680685,2.9980705226060205e-05,1.199742083265854,-0.0002483694391909634,3.696066981470713e-05,0.11987628675061002,0.00029825331859363125,2.9671967420039524e-07,4.9174536757027335e-09,1.9213829611774427e-05,7.190472140647805e-08,6.357424067527062e-05,1.3844645377802106e-05,3.4490442277169484e-08,4.225813191985057e-06,2.9548112947639654e-06,7.03880385172399e-05,-1.831924511666123e-05,-1.0722687731567604e-05,0.0068395491186437115,1.662920092519798e-05
700,2.970639099023212e-05,0.0002999947823938711,0.0029719367935947868,5.234549253869246e-06,1.1959409390483935,0.003590118740238789,3.7288277697076176e-05,1.1995192896720166,0.0001283719539787127,1.4132780466835584e-06,0.11998308531583378,0.0002951865365976221,2.970239515000964e-07,4.677894328881959e-09,2.0545288460384553e-05,-3.4890596435565803e-08,0.00016305643720126298,4.32713580278146e-07,-1.5110105683391047e-08,3.0539336965622032e-06,-5.336069600713995e-06,3.491192627091641e-05,2.8801117597353815e-05,0.00015168636470322373,0.00820548863156183,4.9982205433145176e-05
800,2.9706909198310857e-05,0.00029999366570779333,0.0029655921608307094,7.59702671455181e-06,1.196050668804237,0.0050465961213306335,5.159507669316853e-05,1.2007302387910443,1.798202186934453e-05,2.6530521062873098e-05,0.12008421643112792,0.00029409557285437854,2.965668928312666e-07,7.1949268684176825e-09,2.8799513133237825e-05,-2.8650444565150816e-08,1.3383900823868184e-05,-1.403721914737898e-05,-1.0744437158671202e-08,6.176088535710137e-06,-1.1374142299692525e-05,0.00013625459898579262,3.9573072681317306e-05,0.00020284329168491206,0.011808461103215604,3.4252684937418553e-05
900,2.9708169886341432e-05,0.0002999923441931616,0.0029653892675072283,7.070328774484922e-06,1.1928271218518192,0.008332669991019583,-2.4698615655941964e-05,1.199316202148418,-0.0003986956508018067,-1.01612812356576e-06,0.11984975165170686,0.00029500697583818023,2.973381591218824e-07,8.2425820055066e-09,2.6681253687360704e-05,9.448612718558923e-09,0.00011075611058676939,9.860213580646493e-06,-9.470606649642812e-09,6.999583320071695e-06,-1.1048199310351052e-05,0.00010531585844948267,-3.793804697686776e-05,-0.00013962025597407535,0.013750996984221768,5.368026766288606e-06
