milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
0,3.000301809099737e-05,0.00030000029835160734,0.0029975681916015024,7.211224495536604e-07,1.199025814785282,0.0016902401393142168,-4.7090711633381195e-05,1.2004515223325944,-0.0005327451029418042,1.5881844342416553e-05,0.12004464891949883,0.000299240736529035,5.779611863072693e-10,9.43584509323286e-10,-2.6853557533616878e-06,-1.6678247991908012e-07,-0.0001229903526096713,1.5513591265563923e-05,5.9120994600977094e-09,1.313120484511343e-06,6.9259463611582876e-06,-0.00011256103736054408,-3.836266068417364e-05,0.00011749649057413427,0.0012075810545717914,-1.1924008802669178e-05
100,2.9726563823340622e-05,0.0003000000001697812,0.0029964075349270185,-8.617206036769498e-08,1.1984687958223403,0.0005269466504160434,4.372364262572935e-06,1.2000437036251708,-0.00010832725852063358,1.6815823562985538e-06,0.12009168308807308,0.00029953931081227244,2.7652658000642245e-07,1.348673666224535e-09,1.1175564044558625e-06,1.3624181596445297e-07,1.5049714395167446e-05,7.206274320564772e-06,-2.4129509922883594e-08,5.533950681471997e-07,-1.4687595321968917e-05,-2.5090821203925873e-05,-4.177992255620082e-05,-8.663839486475371e-05,0.0030246110812392852,-2.940764787244355e-05
200,2.9720604427098382e-05,0.00029999792942163875,0.0029887612613136156,1.042642315409522e-06,1.2016063737976153,-0.00139547171781551,-4.731736198837386e-07,1.200773144657167,0.00040669924034770707,3.8638311615886386e-05,0.12008623046346242,0.00030081311123563825,2.8624092026835815e-07,1.3609543971180075e-09,4.355399078549697e-06,-2.391531776549569e-08,-0.00011224087641496454,1.599769494603341e-05,7.910047754518928e-09,-1.1550177051044732e-06,1.0071617670679739e-05,0.0001347488271476616,2.5980547542750877e-05,3.089755814741944e-05,0.0031228840550300892,3.704731582074922e-05
300,2.971192860414536e-05,0.00029999711576769245,0.00298228328404022,3.454341998889562e-06,1.19917690993556,0.002181189459152238,-2.6117155326509403e-05,1.1995683613728396,0.00047006511747948304,-2.6527673371083067e-05,0.12006422737805128,0.00030057809948022557,2.9143906435565623e-07,3.106469275823698e-09,1.3428290842906112e-05,-1.5034932924062858e-08,-3.554158297360935e-05,1.2272485066894838e-06,-1.1689306399306369e-08,-7.40134220496871e-07,2.805892233354508e-06,-3.9965333613004205e-06,-3.28983795859238e-05,-3.940258275836107e-05,0.0033589553942224414,4.138696888150838e-05
400,2.9701552655887775e-05,0.0002999957510096766,0.0029794524181648396,3.4669851899798794e-06,1.2000686183607352,-0.0001481526995667548,-2.2135913690984584e-05,1.2000539124695362,-5.5254956995959105e-05,1.6294804031872037e-05,0.11989964303986794,0.00029822769903232354,2.967016786166606e-07,3.284736724577043e-09,1.6942328071923857e-05,4.493680525335421e-08,1.8837203438708072e-05,5.189194395817243e-06,3.791817255266174e-09,1.3944737872610389e-06,-6.435390224194299e-06,0.0001248185038076162,2.4209143899212063e-05,0.00017536997099280174,0.004771382524692952,3.5030992504772814e-05
500,2.9701213380627067e-05,0.0002999954499724744,0.0029805115991141796,4.245281140487502e-06,1.1964683294743808,0.0015662008523657403,1.81885933464541e-05,1.1992157385683626,0.0005113283504020635,2.7990538944118874e-05,0.1200387750037735,0.0002972683417604871,2.9170416033993227e-07,3.772005522414709e-09,1.792749329590318e-05,-1.4697708252172127e-08,-5.835412908289875e-05,1.5546983247197545e-05,9.558126083117263e-09,1.7864314047380026e-06,-8.978585219652653e-06,7.315163095227096e-05,-7.102939690313738e-08,-8.776622323879985e-05,0.0074012919804993214,4.005827638317725e-05
600,2.970583019053741e-05,0.00029999477848266954,0.00297090923637966,5.7331164400180364e-06,1.1987224281276858,0.004263262078506302,5.207132151559476e-06,1.2004672350537082,0.0003542611547008135,2.3516453213257847e-05,0.12008771300820685,0.00029791503552094957,2.9165288757899296e-07,5.915288538539571e-09,2.1464467341911297e-05,5.9394153097279e-08,0.00017679447939606132,1.3023438354474668e-05,-7.201575071760157e-10,2.4565706404998144e-06,2.639551832025863e-06,-3.489967640116547e-05,-1.4837465021276508e-05,-9.564377258762873e-05,0.008033744485559184,2.5790079463105118e-05
700,2.9704530573792535e-05,0.00029999437815363686,0.0029743628304976497,5.983913616719617e-06,1.194585682811296,0.0056629878222368675,-2.1866772225427e-05,1.2006455065922708,-0.0003169037813646042,-2.8955633104019513e-05,0.11985263090743115,0.0002965280793479611,2.9111612824428484e-07,5.058198897866374e-09,2.0491343774735906e-05,1.0437894634624542e-07,9.981942815454799e-05,-6.553365566275566e-06,2.214263518211051e-08,3.2612170667444717e-06,3.2566376319302405e-07,3.2643517762977287e-06,-2.5664357135395184e-05,2.587924722633153e-05,0.009566800085973002,-2.7414547878787472e-05
800,2.9705562911153147e-05,0.00029999432861915087,0.0029675188534113214,6.8490505805217055e-06,1.195440819697435,0.006182771049768679,3.723449510848796e-05,1.1991464973348924,0.0003056495985007197,2.4214075848119254e-05,0.11978742014590696,0.00029513292183721147,2.9346763540280397e-07,6.524812940653737e-09,2.8190800297456803e-05,3.0324978969991706e-08,0.00016148584708691385,9.271369536690686e-06,2.2930253379377582e-08,6.1567157612747146e-06,1.5342622929954757e-05,0.00011795342094098458,4.67211288404775e-06,1.822454408986949e-05,0.010256927338088754,-3.671127707837748e-05
900,2.9710494467619012e-05,0.00029999365486630157,0.002968354922928772,6.764545443996296e-06,1.1931742968800454,0.005525226040404976,1.7386152186808246e-05,1.199998473925716,-8.950883113686025e-05,-2.6144546011413833e-05,0.12006927727915113,0.00029345041487415256,2.9465034438029925e-07,7.501780260855563e-09,2.913513432712606e-05,2.704354970456822e-07,-0.00010059815109387133,-2.205586750473016e-06,4.0177263813517175e-08,6.206655758411082e-06,-1.142620863434596e-05,0.00014341422975813875,1.9088201500178296e-05,-4.2164025669381034e-05,0.012488756915375423,2.4048053596117854e-05
