milliseconds,U,I,M,E,V
0,1000000.0,0.0,1.0,0.0,1.0
100,1096542.4211097562,0.0003286004986591862,1.0000227484066535,0.03941407970247257,0.8313938504254242
200,1202333.870395585,0.0005759989736668887,1.0000420345994485,0.07844624287222936,0.719629721188404
300,1318247.106196261,0.0007672443527008012,1.0000590592594734,0.11709313609325672,0.648102294960258
400,1445234.6211113166,0.0009199607466941257,1.0000746737334296,0.1553511679563398,0.6051740562546689
500,1584335.464654049,0.001046572544619743,1.0000894850488127,0.1932164148065331,0.582688904170299
600,1736682.4520771063,0.0011558437643875055,1.0001039285438753,0.23068452716315493,0.5749436193095031
700,1903509.8953579522,0.0012539785529373003,1.0001183199100627,0.26775063335982974,0.5779533530497907
800,2086161.8355269027,0.0013453856231852113,1.0001328912422123,0.3044092398695821,0.5889407010659864
900,2286100.7173489844,0.001433213112895442,1.000147816395628,0.34065412769693243,0.6059791554107046
1000,2504916.5695923916,0.0015197296405595748,1.0001632290063862,0.3764782431099394,0.6277387679264871
1100,2744336.6250405777,0.0016065883431259193,1.000179235013254,0.41187358260226087,0.6533101672636076
1200,3006235.3614465497,0.0016950137835187104,1.000195921556368,0.44683107121935234,0.682080227974817
1300,3292644.909451431,0.0017859325536985187,1.000213363202037,0.48134043383283104,0.7136452411157385
1400,3605765.7483167774,0.0018800657264933288,1.0002316263888031,0.5153900592136202,0.7477497272444484
1500,3947977.589439585,0.0019779949628512777,1.000250772625244,0.5489668569992129,0.784242815235251
1600,4321850.3627124475,0.002080205645321614,1.0002708606051727,0.5820561063203451,0.8230499810225174
1700,4730155.097272284,0.002187120196922532,1.0002919478700585,0.6146412981705031,0.8641514159854466
1800,5175874.507038635,0.0022991215213225297,1.0003140920085067,0.6467039710622258,0.9075670175678084
1900,5662213.075508898,0.002416569103908394,1.000337351511988,0.6782235413470534,0.9533463009788735
2000,6192606.206433021,0.002539809985676963,1.0003617863952325,0.7091771288276709,1.0015617823002296
2100,6770728.357462628,0.0026691877210821163,1.000387458726032,0.7395393809234525,1.0523037401164308
2200,7400499.728549113,0.00280504894095551,1.000414433046752,0.7692822971206329,1.1056766101810238
2300,8086090.613171654,0.0029477474115252255,1.0004427766848443,0.7983750556219394,1.1617971027648837
2400,8831923.02881364,0.0030976470792804115,1.0004725600218036,0.8267838467869086,1.2207930413744543
2500,9642669.235750332,0.003255124972483353,1.0005038567610194,0.8544717207498861,1.2828023376677098
2600,10523246.304547647,0.003420573766877285,1.0005367441861142,0.88139845114187,1.347972234430003
2700,11478805.891081763,0.003594403754678951,1.0005713033983081,0.9075204237428757,1.4164589979813151
2800,12514718.298517859,0.0037770443566577986,1.0006076195399138,0.932790557354673,1.4884279699629235
2900,13636549.918263055,0.003968945495135309,1.0006457820191779,0.9571582660724123,1.5640537677057451
3000,14850033.103740025,0.004170579013270917,1.0006858847454476,0.9805694730820843,1.643520510981715
3100,16161027.492313122,0.0043824401334697175,1.0007280263747267,1.0029666871582061,1.7270220828045257
3200,17575471.789450224,0.004605048882875458,1.0007723105627548,1.0242891539427528,1.8147624761949588
3300,19099325.09305067,0.0048389514742713125,1.0008188462256111,1.0444730947360301,1.906956238548578
3400,20738496.77761229,0.005084721703236726,1.0008677478113936,1.0634520476429135,2.0038289776518523
3500,22498765.35461474,0.005342962415475079,1.000919135585133,1.0811573145918938,2.105617890450194
3600,24385683.96441112,0.005614307065020972,1.000973135930279,1.0975185443977338,2.2125723171831893
3700,26404474.595599342,0.005899421337850041,1.0010298816643424,1.1124644444093674,2.324954329137554
3800,28559910.586404186,0.006199004823867618,1.0010895123694512,1.1259236364300658,2.4430393719897636
3900,30856188.666733574,0.0065137927644909575,1.0011521747396281,1.1378256594591427,2.567116949797637
4000,33296792.320216697,0.006844557895815681,1.0012180229464342,1.1481021180230353,2.6974913406044547
4100,35884347.884451546,0.007192112414058608,1.00128721902879,1.1566880008722142,2.834482356392202
4200,38620479.642169036,0.007557309987916713,1.0013599332930017,1.1635230593953527,2.9784261260450426
4300,41505667.62888355,0.007941047947567491,1.001436344750143,1.1685533700587742,3.129675956100879
4400,44539110.60846242,0.008344269255864732,1.001516641508086,1.1717326184317853,3.288603098561391
4500,47718598.628989324,0.008767965325937519,1.0016010213390665,1.1730242127069443,3.4555978687878675
4600,51040397.79125631,0.009213177936588001,1.0016896920607472,1.1724023019577252,3.631070389416977
4700,54499157.17302044,0.009681002323151321,1.0017828721609205,1.1698538656119162,3.815451817678883
4800,58087906.392494515,0.010172589798080328,1.0018807913257328,1.165379720570918,4.009195372864337
4900,61797927.64609297,0.010689150262427945,1.0019836909447766,1.15899609982362,4.2127773283863394
5000,65618897.722923025,0.011231955737497667,1.0020918248328694,1.1507348976396128,4.426698409362271
