miliseconds,x1,x,c0,z0,z1,z2,w0,w1,u,i,ix,ixp,y,c,totalCyclin
0,0.41022115998685293,-0.022052281622644956,200.0,-0.31493617370135213,-0.025227891561754485,0.5367023284812046,-0.009956378113158644,-0.11833433615123022,-0.000990188377845909,0.0,0.0,0.0,0.14448562489977415,0.9966708413142372,-0.12725613886050496
100,10.801239071715278,0.4239976600359061,200.0,9.649079088896166,-0.3806571766327449,0.2572197286520968,0.915578757586792,0.02431093326209145,0.0019857557947977815,0.0,0.0,0.0,15.236918051511573,0.9474984586399097,24.993742267978284
200,20.730341867159616,-0.16022269146800527,200.0,17.56411793649905,-0.32672562890577594,0.1831321701425295,1.8113008752078195,0.0748900916163838,0.0014277342657283399,0.0,0.0,0.0,25.81365299383348,0.8974853459184382,44.351245871822755
300,26.872891793077876,0.15660982489932926,200.0,25.998839015624544,0.8912589897736728,-0.9109406352762145,2.609984835210313,-0.05361726468771841,-0.0006961585270052716,0.0,0.0,0.0,32.599365110274896,0.8635419770861148,59.95501183415354
400,32.58746484672253,0.0068640162090531365,200.0,32.07860155261808,1.1690123053388959,-0.9283027375681303,3.182337958820854,0.038735635630284114,0.0021121768368575866,0.0,0.0,0.0,39.977910970358515,0.8408853716224385,72.78905721826068
500,35.694014854066005,0.4948669832630642,200.0,38.2292487228691,1.146815803808398,0.22799685755671575,3.900243131762052,0.06267769054919786,-0.0012342582874796245,0.0,0.0,0.0,44.651937086959485,0.8220895166936187,81.37014628598709
600,37.54463732464856,0.38079243827386305,200.0,44.4472639051323,1.2908242753520962,0.7780649004477405,4.402311753511497,0.25276091416330915,0.0005852653266191313,0.0,0.0,0.0,48.39272859798756,0.8050548083923932,88.03300391254565
700,39.4017834126784,0.13173075458293265,200.0,48.36388191777533,1.98888902463212,-0.9182406995075172,4.918958320944316,0.12458637057440489,-0.0015105236818090519,0.0,0.0,0.0,51.97565393652414,0.798785164791193,92.81121559644058
800,41.87477225442071,0.47146494807208944,200.0,53.84183533960397,1.8835236816326335,-0.5758470789880661,5.334818018785736,0.1409339685165581,0.002232400866864522,0.0,0.0,0.0,52.47985133535473,0.790013773829957,95.87612793830327
900,42.22775084590025,0.7076012722753806,200.0,56.727109990046266,2.1575821428466733,0.5013818601221198,5.717848116154732,0.21036895450262663,0.0009143299849403226,0.0,0.0,0.0,55.16154819565525,0.7868581507561657,97.2679460232044
1000,43.35630341716052,0.6268240670601415,200.0,59.4533197352572,2.4172394072951797,0.00840428212394298,6.058237464818045,0.1676413010094779,-0.001771826339948275,0.0,0.0,0.0,54.910273530163735,0.7791029060074418,100.09894420979455
1100,43.91447810682411,0.1652531804814265,200.0,62.15691184936662,3.1062198605211804,0.7531474346912432,6.316904219842111,0.3131442738844145,-0.001131085369074571,0.0,0.0,0.0,56.44468540539866,0.7777350458342249,101.60358098511573
1200,44.418437648346874,0.38751393960116104,200.0,64.36507860259681,4.183197442197153,1.2427503814850165,6.498934873400011,0.5185880690435266,-0.0012531493276391086,0.0,0.0,0.0,56.88880250997685,0.7791087725851562,102.09609557187855
1300,44.006900462755844,0.8144500217622095,200.0,66.35078433950041,5.214415590869,0.63867857187022,6.724988810184875,0.6131132994216472,0.001664037983807165,0.0,0.0,0.0,56.760593512082394,0.7765616182853817,100.70502524056424
1400,43.9178556447439,1.859296235839376,200.0,66.61465529627645,6.987605038779152,1.4488931322552594,6.70370119086113,0.7953871072092634,0.0015095968243122072,0.0,0.0,0.0,56.306316014393296,0.77376884728075,101.67789443136013
1500,41.65547431714582,2.68984622652302,200.0,64.1910173910875,11.598487368025046,0.6125788779527768,6.630573235925959,1.2450404623977238,0.003432858052389745,0.0,0.0,0.0,55.441172636341896,0.7715849880103515,101.88646060969889
1600,37.57707230947903,6.9380553279296455,200.0,56.018539515355855,18.96978353950264,4.673154894438323,5.688414198328322,2.392385331527099,0.005651042142982215,0.0,0.0,0.0,52.95649489017759,0.772929125807859,98.64859381854339
1700,22.02573447165649,25.13747892696195,200.0,27.500701723332604,27.803016430768906,28.41719261839807,3.2120012823280573,4.891109295184888,0.005488055698506741,0.0,0.0,0.0,40.60990410206564,0.7627301520192106,88.3109495055418
1800,8.092918302055383,37.16702951669501,200.0,9.665670128523997,18.752670090189607,55.93649849273847,2.0364772351629514,6.283473122068161,0.009673760009871576,0.0,0.0,0.0,23.46034400364822,0.7742101967085228,67.18559489935481
1900,6.608293688169576,30.218850148705155,200.0,8.91790972911519,19.58484859083347,56.27395313551239,2.214007110177087,6.243050786190846,0.013701968399722052,0.0,0.0,0.0,15.748880832337754,0.8199160270757744,54.12321456622388
