milliseconds,glc,g1p,g6p,trh,t6p,udg
0,0.09765,0.1,2.675,0.05,0.02,0.7
100,0.09762648333441652,0.0999981833837733,2.674901277523393,0.049999364872188326,0.019998938696562017,0.7000044900153047
200,0.09762608892895754,0.09999691822804185,2.674901369287323,0.04999840871169859,0.019998665640804433,0.7000084995687094
300,0.09762601710956612,0.09999607750430714,2.6749013596987505,0.04999771459767538,0.019998623112213586,0.7000121035283255
400,0.09762603488888934,0.09999554217516897,2.674901309618049,0.04999729687815417,0.01999864227654009,0.7000153942629193
500,0.09762608182578336,0.09999521824439982,2.674901261856367,0.049997059170737906,0.01999868029635805,0.7000184454265307
600,0.09762614193461565,0.09999506111145649,2.674901220215888,0.04999695418411569,0.019998726171455185,0.7000212924185022
700,0.09762620478199795,0.09999502780927269,2.674901185362649,0.04999693706726349,0.01999877289871005,0.7000239696850011
800,0.09762626626791569,0.09999507785014908,2.6749011556071185,0.04999696902602373,0.019998817986157522,0.700026510463326
900,0.09762632506699327,0.09999520126243144,2.674901130695336,0.04999704031533953,0.019998860593816177,0.700028922897775
1000,0.09762638173560308,0.09999537122985881,2.6749011086838355,0.04999713097643372,0.01999890138315816,0.7000312301737726
1100,0.09762643468711786,0.09999557069862293,2.6749010889302522,0.04999722537421598,0.019998939399603247,0.7000334464317391
1200,0.09762648558238425,0.09999579264889069,2.6749010707205563,0.04999732399118511,0.01999897584345633,0.7000355792239384
1300,0.09762653424387617,0.09999602152268038,2.6749010531625723,0.04999741557623618,0.019999010729006412,0.7000376421683228
1400,0.09762658119448875,0.09999625677888949,2.6749010363270385,0.049997504222574506,0.019999044386384293,0.7000396374908808
1500,0.09762662680762302,0.09999649129030759,2.6749010198219354,0.04999758762321427,0.01999907711740523,0.7000415724589458
1600,0.09762667108102796,0.09999672451273091,2.674901003752913,0.04999766734196638,0.019999108901571864,0.7000434491502397
1700,0.09762671415193276,0.0999969548626756,2.6749009881393624,0.04999774468388864,0.019999139823189342,0.7000452704847713
1800,0.09762675603325936,0.09999718136245032,2.6749009729689948,0.049997819725827834,0.019999169891669492,0.7000470387997901
