milliseconds,EGF,NGF,freeEGFReceptor,boundEGFReceptor,freeNGFReceptor,boundNGFReceptor,SosInactive,SosActive,P90RskInactive,P90RskActive,RasInactive,RasActive,RasGapActive,Raf1Inactive,Raf1Active,BRafInactive,BRafActive,MekInactive,MekActive,ErkInactive,ErkActive,PI3KInactive,PI3KActive,AktInactive,AktActive,C3GInactive,C3GActive,Rap1Inactive,Rap1Active,RapGapActive,PP2AActive,Raf1PPtase
0,10002000.0,456000.0,80000.0,0.0,10000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,120000.0,0.0,120000.0,0.0,600000.0,0.0,600000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,0.0,120000.0,120000.0,120000.0
100,9922004.465072447,455937.2019001705,4.465072442198337,79995.53492755794,9937.201900170388,62.7980998296069,49889.3296079634,70110.67039203658,119999.99908580941,0.0009141905070880721,107220.03240497217,12779.967595027743,120000.0,119739.441422611,260.55857738902205,119999.92363202869,0.07636797130813347,599817.7333995219,182.266600477611,599983.6299764278,16.370023573414795,90556.30195510991,29443.69804489018,119987.27023483455,12.729765165442927,119582.98398262971,417.01601737035156,119986.15762956487,13.842370434861715,120000.0,120000.0,120000.0
200,9922004.465015711,455874.8519920252,4.4650157040989775,79995.534984296,9874.851992025104,125.14800797488893,17780.914617988976,102219.08538201105,119999.97135089009,0.02864910978158495,100793.83275159863,19206.16724840131,120000.0,119259.42448579919,740.57551420084,119999.07372849392,0.9262715060965522,598822.4044922926,1177.5955077071433,599765.3666040922,234.6333959090342,65362.34309929297,54637.65690070709,119949.94409668448,50.055903315499116,118336.75343490539,1663.2465650946424,119911.0810452464,88.91895475331411,120000.0,120000.0,120000.0
300,9922004.465015916,455812.9469701166,4.465015907353179,79995.53498409277,9812.946970116438,187.05302988355172,3955.5634725428804,116044.43652745713,119999.81213840948,0.18786159040422018,98079.75296465404,21920.247035345907,120000.0,118781.67627441921,1218.3237255808353,119996.35754457187,3.642455428153415,596903.6159545776,3096.384045422109,599023.7061469622,976.2938530390064,45765.53384624193,74234.46615375813,119893.00738256235,106.99261743762312,116269.79910945283,3730.200890547233,119751.63437136337,248.36562863638355,120000.0,120000.0,120000.0
400,9922004.465015888,455751.4835548661,4.465015881551585,79995.53498411855,9751.483554865987,248.51644513400478,102.01674985681709,119897.9832501432,119999.32470558002,0.6752944198662426,97264.50983623418,22735.49016376574,120000.0,118354.19633379496,1645.803666205078,119990.86529788263,9.134702117417111,594163.8442619856,5836.155738013944,597458.0411544895,2541.958845511587,31185.337727679213,88814.66227232084,119821.16201448548,178.8379855144792,113392.40512239296,6607.594877607085,119500.78980898036,499.2101910194146,120000.0,120000.0,120000.0
500,9922004.465015888,455690.45849234145,4.465015881560162,79995.53498411852,9690.458492341468,309.54150765852813,4.831482189255788,119995.16851781073,119998.23347940306,1.766520596899154,97235.78680967713,22764.21319032273,120000.0,118001.22991586891,1998.7700841311175,119981.97147348849,18.028526511546687,590763.0436498773,9236.956350121867,594829.2795515211,5170.7204484805025,20776.233765038178,99223.76623496183,119738.46994434713,261.53005565280546,109716.88536644634,10283.114633553725,119156.91100241522,843.0889975845427,120000.0,120000.0,120000.0
600,9922004.465015888,455629.86855403567,4.465015881560159,79995.53498411852,9629.868554035764,370.13144596422984,8.719584094262258,119991.28041590573,119996.2039817565,3.7960182434652414,97236.42435956327,22763.575640436593,120000.0,117708.44720209754,2291.5527979024696,119969.28367458482,30.71632541519011,586852.931302552,13147.068697447236,590969.9111516646,9030.088848337073,13601.603224379698,106398.39677562029,119648.19335969651,351.80664030339364,105257.97064623382,14742.029353766202,118720.23084301795,1279.76915698185,120000.0,120000.0,120000.0
700,9922004.465015888,455569.7105366481,4.465015881560159,79995.53498411852,9569.710536648168,430.28946335182343,14.658410651121539,119985.34158934884,119992.8620145358,7.137985464145898,97237.47338677262,22762.52661322728,120000.0,117459.56093175853,2540.4390682414705,119952.57430714504,47.42569285494647,582535.142248947,17464.857751052117,585770.3146468448,14229.68535315671,8791.491175168967,111208.50882483099,119552.7878961162,447.2121038836987,100033.40019965003,19966.599800350017,118191.73086055488,1808.2691394449057,120000.0,120000.0,120000.0
800,9922004.465015888,455509.98126186745,4.46501588156016,79995.53498411852,9509.981261867533,490.0187381324579,22.62306264314158,119977.37693735684,119987.80801023994,12.191989760025368,97238.88646124495,22761.11353875493,120000.0,117244.82487463356,2755.1751253664283,119931.72739384124,68.27260615874258,577876.5958272653,22123.404172734,579162.6413432695,20837.358656731943,5631.950934291821,114368.04906570814,119454.00712645585,545.9928735440498,94064.80878533251,25935.19121466755,117572.83765827434,2427.162341725456,120000.0,120000.0,120000.0
900,9922004.465015888,455450.6775761582,4.465015881560159,79995.53498411852,9450.677576158345,549.3224238416469,32.806383167261714,119967.19361683274,119980.62759979402,19.37240020594161,97240.6987845235,22759.30121547638,120000.0,117057.9385778337,2942.0614221662927,119906.70377511405,93.29622488594937,572922.4333320298,27077.566667969375,571110.7629648411,28889.23703516048,3586.2207725773173,116413.77922742264,119353.05361798995,646.9463820099547,87379.05103082705,32620.94896917301,116865.42086493524,3134.5791350645827,120000.0,120000.0,120000.0
