milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2750023.7064717556,200364.73128833756,7202066.4438432455
100,2751224.0671075443,198659.793721294,7202879.079918553
200,2756717.103487649,198461.49279978545,7210906.349260063
300,2755612.9807463475,197187.33705339275,7214729.495006991
400,2761283.0898126424,196095.15736494408,7216615.661967104
500,2763695.900129012,196323.39661147352,7225131.336584458
600,2764808.96845691,195263.4486483502,7232276.649915181
700,2765968.7074313,194611.58542166415,7237937.215340309
800,2769895.7096205535,192869.16282188473,7236028.201696414
900,2771206.0841786675,192992.33314174367,7242713.885169901
1000,2775737.253444649,191727.55985997606,7247487.409773919
1100,2777963.9461196577,190789.73478500918,7254629.104801416
1200,2778228.234057485,189598.0215552599,7258950.88543165
1300,2783988.0294281077,189419.77524285484,7265290.7172062425
1400,2786542.739801145,188611.46677744482,7265575.134872643
1500,2788382.621550526,187208.67135854517,7273729.0670614
1600,2791361.7555519147,187265.05488626953,7279537.078185284
1700,2792703.1539860703,186031.8547036491,7280764.374404947
1800,2795723.0444433433,185158.4182234581,7286291.410149878
1900,2795507.9128916007,184182.1255058417,7290466.076185537
2000,2799036.979074586,183369.73427259785,7299046.8893716335
2100,2800860.005532322,183221.02647085345,7304831.0850431435
2200,2805033.808198398,182620.2263610245,7303920.155718456
2300,2808858.165803212,181234.33920258153,7315553.045312287
2400,2809353.311224086,180775.60450926202,7317449.543405572
2500,2812298.316634796,180463.3245096899,7319406.100518431
2600,2814660.2343508275,179577.42574304115,7323410.162953339
2700,2817371.327431798,178579.34763314537,7331338.387040656
2800,2820563.513011347,177753.6644498851,7337719.44810612
2900,2823620.9723950047,177180.1535474023,7344508.425894285
3000,2823152.7702711523,175951.59093588174,7346633.19619262
3100,2828410.608665123,175769.67439293157,7353846.947634102
3200,2829805.0743707214,175167.2551612032,7352000.619390627
3300,2833075.664137927,173825.42262964795,7359665.642944862
3400,2833224.7171824793,173639.7426397263,7363498.674166365
3500,2837810.8203459405,172761.65989345356,7370241.514464117
3600,2840871.4475470395,171314.8379424553,7374906.974360818
3700,2843573.3856347483,170723.71106720454,7379168.2578752125
3800,2844421.0622743424,170782.53971734658,7384857.683797669
3900,2846901.8939483236,169646.45203339827,7391189.495769093
4000,2848564.9743920704,169443.9265928284,7390482.926066509
4100,2854390.0577692864,168568.0775698104,7400026.366375963
4200,2853363.6116018808,167335.06311747534,7406094.803088154
4300,2856917.5305360756,166372.96533492775,7409695.427548546
4400,2860951.0675476114,166469.96345831308,7414801.455440367
4500,2861602.0763533805,165793.85970561387,7419331.670922758
4600,2863614.551756049,164499.27224028122,7423037.731325062
4700,2868222.874650188,163931.8788676606,7423390.565607578
4800,2871157.994784081,163345.660451728,7429610.740197928
4900,2873784.311355599,162371.39543576687,7436312.345096912
5000,2873632.305440994,162493.92113382192,7441350.202618126
