miliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2749506.050380051,199597.53430678084,7201500.017498164
100,2752818.607178923,198962.47644215618,7203913.627477085
200,2756330.19031726,198791.38331302843,7213084.510863704
300,2756330.314613498,197160.68170322248,7217078.894507219
400,2758978.4216525457,196304.16282659906,7220998.529334443
500,2764126.7828497468,195577.08340903698,7227091.438655555
600,2766231.8897467125,195201.1184558955,7227724.237125031
700,2768882.3229489373,194299.38859543245,7237843.180596545
800,2769337.052786765,193387.55924452763,7239354.255698886
900,2771811.4329127125,192113.34440496407,7247688.799085549
1000,2774993.7733161817,191249.31644501386,7246733.712899202
1100,2776286.2940807636,190667.4653367764,7257186.303652789
1200,2779288.3761180136,189828.829267325,7257986.939809968
1300,2780862.786886727,189536.03366119496,7264712.416626206
1400,2783465.413291029,188100.41840106528,7268710.766443428
1500,2786667.9594012112,187738.12498226992,7272034.422509333
1600,2789165.5902576675,187373.80904082177,7280734.338617986
1700,2791394.869804346,186161.07808638504,7285273.122017627
1800,2794422.7868395355,185474.84526326827,7286229.225214099
1900,2796635.158643261,184887.8760135066,7295096.096223958
2000,2799471.9988159314,184345.10017336026,7301015.56024085
2100,2803378.8336895187,183095.86336105075,7304020.5987995835
2200,2803969.906154376,182279.44791878617,7309798.069355203
2300,2808221.1101431116,181188.50656227488,7314221.51287509
2400,2808667.446377842,181092.90909227886,7313600.265949516
2500,2813239.176684527,180296.8802523486,7319144.011121216
2600,2816630.07102183,179094.75803817177,7326699.339510486
2700,2816694.771668966,178913.77461481988,7334430.976732492
2800,2818501.302595252,177240.16062540244,7333438.158213381
2900,2822710.5483018854,176767.221593523,7340459.313842847
3000,2824735.1318821856,176565.2778870185,7347606.57135946
3100,2827161.607355704,175903.65999205306,7350862.462866693
3200,2830081.3904348444,174499.42357460567,7355825.93564158
3300,2833880.907118316,173507.56507415668,7358561.746488829
3400,2836230.438221007,173255.12148779965,7368263.802064549
3500,2836663.2215365134,172454.82851561255,7369503.908553439
3600,2839458.908902661,172366.60377018,7374451.034299854
3700,2843173.5326581523,171541.30661635898,7376038.871675046
3800,2846802.309575873,170470.75025511414,7385272.042561774
3900,2847594.4981395034,169773.7178406119,7387177.404095504
4000,2848654.5762072215,168509.8136812746,7396310.487788396
4100,2852122.4205340673,168523.94692860218,7394508.983523852
4200,2854785.822544973,167799.82040947245,7399657.167144111
4300,2855768.856496617,167363.88042404372,7406841.520756252
4400,2860043.4637199687,166331.05145408426,7410390.359222179
4500,2862037.6161146164,165509.7103445313,7415201.298037098
4600,2864965.4313328257,164386.1501347629,7419953.249826031
4700,2869435.3748419187,164404.1259464682,7427710.426508513
4800,2869997.7905135253,163631.91506012593,7430952.122321155
4900,2874081.5520378994,162648.5878921546,7437772.68955793
5000,2874615.2866242104,161921.57228534608,7440850.271132376
