miliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2748657.8354958924,200214.37574429915,7201487.801674663
100,2752918.73388787,198791.1150968562,7204948.283140644
200,2756567.2308301385,198123.3543830619,7209168.629787712
300,2756739.5841015363,197811.7395145552,7214670.9875498675
400,2758206.5256100716,196176.3853511144,7220419.099711048
500,2760974.559748649,195291.14200642228,7222203.599107327
600,2763577.7960991967,194509.08246715696,7231921.680602387
700,2768113.480557523,193663.37760883034,7233014.2613577405
800,2770512.831799547,193465.786052328,7235840.2553420095
900,2773258.207715026,192397.14371789386,7246387.418224358
1000,2773486.9684413257,192240.34546497732,7248961.452414013
1100,2775652.0614756322,191209.37669671339,7256074.103466049
1200,2778887.0624405174,189871.21338532201,7256723.640654751
1300,2783469.709011487,189340.6629623524,7261178.441347522
1400,2786406.474359333,187988.83078006766,7270285.1386440825
1500,2786586.137700902,187632.6491856085,7273027.686488746
1600,2789437.0640349886,186562.2895376976,7276495.202742207
1700,2791539.591271072,186101.75078743338,7285526.71074248
1800,2793011.947214574,185896.57336992354,7290878.085903304
1900,2798098.2301894915,184718.7023911489,7296063.815837161
2000,2799974.9249735605,184237.00686028536,7298198.037313271
2100,2802144.2436014703,182773.4433468975,7304844.902858955
2200,2804487.8262301562,182249.21162236037,7303972.5286642
2300,2807686.9872854226,181719.05164236497,7313482.641672918
2400,2810287.031845928,181045.2915423525,7318907.664567941
2500,2812692.7161191157,180481.53028585884,7318993.7404138055
2600,2815751.8070438653,179617.73921366723,7325746.594272882
2700,2819205.3385772672,177920.46682597089,7329921.101551723
2800,2819483.0897256387,177853.0001359089,7333715.158565845
2900,2822536.923284796,177134.5393248116,7342448.70573563
3000,2826084.4093282353,176698.06444452217,7346297.4395307675
3100,2826944.9522814928,175815.2322637152,7348417.753624705
3200,2831515.1944737667,174599.27120623368,7353155.230636794
3300,2830675.8244923432,173617.16180436432,7359239.607543745
3400,2833643.550182021,172900.06278989144,7366995.631025096
3500,2838002.201353745,172603.016718749,7369164.638844544
3600,2841220.1264660633,171774.84621184252,7373671.032969428
3700,2842376.3706795992,170805.64368814434,7377132.139489983
3800,2843555.70243022,170320.3305219091,7381905.168298606
3900,2848108.7170210388,169485.25566062002,7390217.425841562
4000,2851333.7132516797,169023.06045929194,7390186.486673021
4100,2852453.065206672,167849.68822622093,7398159.866382542
4200,2854807.1900130645,167699.06253258983,7405987.012655836
4300,2857578.318310385,167240.1913450884,7409030.190719176
4400,2858442.117763802,165579.13793370358,7414154.38642077
4500,2863842.930540182,165004.6341057726,7416619.257884223
4600,2864116.474358729,165293.40477458795,7418554.288141416
4700,2869350.965864026,164102.85438611434,7428585.41688883
4800,2870643.7752459906,163080.0991507655,7429942.349592185
4900,2872458.2461075806,162631.26471753605,7436803.749108253
5000,2875618.730564643,161924.4374755924,7437407.559849512
