milliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2748958.816598799,199817.72476401052,7197874.711544638
100,2752687.8518435294,199034.7831894735,7205487.080140967
200,2754141.3434659946,198815.20951289806,7208794.769375933
300,2757441.042064998,197762.90634513609,7215283.857536534
400,2759916.0685685654,196735.13133683108,7216788.282218211
500,2763549.3058604426,195952.04921491575,7221344.120680055
600,2764319.922132588,195460.61080436685,7232775.279969093
700,2767674.696424737,194690.45776984782,7237961.576557236
800,2771674.439513052,193660.72257101248,7239530.239544874
900,2772988.6801001816,193107.61609410128,7243118.728343503
1000,2776521.9044625955,191299.91921220507,7250668.995949058
1100,2778991.620326448,190484.75468916347,7250650.242136225
1200,2778279.280628004,190082.18098148855,7261764.798131553
1300,2781012.8437592834,188782.12000546494,7261239.364442422
1400,2783876.289916791,188774.52758178074,7269508.699673962
1500,2786086.471163565,187837.08524926606,7276391.0829416895
1600,2790440.709714478,186802.3407864877,7275119.112998122
1700,2791834.9533760254,185718.48838729173,7284051.14244298
1800,2794566.940824643,185629.99913654354,7285691.504868322
1900,2798761.1830783333,184216.7404127192,7290062.665863069
2000,2799940.0994887264,184132.23024879614,7294776.437447957
2100,2803020.68484252,182565.39621965573,7305805.079798585
2200,2803362.0251448895,182312.11005234232,7308092.711779906
2300,2808666.5352193383,181465.1857274125,7314208.460807094
2400,2808753.031964374,181259.6187803398,7316608.767841117
2500,2813888.956454678,179755.75675627892,7320504.582659258
2600,2816482.2269596774,178835.51914927413,7326706.565049349
2700,2817003.6168144858,178704.3072248748,7330175.5927088
2800,2820878.505126559,178163.72458591688,7338821.209878179
2900,2823608.4634896456,176502.17966351574,7344005.340033017
3000,2825343.2654908015,176778.2083919248,7348914.7426151745
3100,2829263.305313506,175242.01657961222,7347479.904024443
3200,2829074.303926094,174816.48888736902,7354291.927744366
3300,2832845.980660269,173502.52042622096,7361945.03169857
3400,2836155.7890949384,173214.64635754633,7365088.230542802
3500,2837357.183303177,172904.71019807353,7366439.412267131
3600,2839834.790432319,171302.1118069746,7376659.919879762
3700,2843722.726192494,170714.22081492926,7380708.929584992
3800,2844394.2017342956,169962.899278153,7386284.581550947
3900,2848481.4722021045,169385.244193186,7386137.552017259
4000,2848705.986121245,169160.02731210826,7394437.579980012
4100,2852239.833274953,167987.57611583307,7396086.478181967
4200,2854002.8006722634,167184.95484329408,7401124.448372334
4300,2857332.140365293,166408.12537741763,7408489.453635405
4400,2861353.0698316353,165620.0429703898,7413223.639068141
4500,2860877.148786437,165490.87755019517,7418082.470492281
4600,2866240.0952697876,165112.3601239014,7424838.081126064
4700,2869094.7942405455,163996.5991522725,7426632.569962135
4800,2870634.1060355753,163527.17858805857,7434411.135692581
4900,2871563.0709923594,162573.34346288536,7435991.089204592
5000,2876890.9191379454,162213.17919029182,7437467.206134105
