miliseconds,M_Tumor_Cells,N_CTL,Z_THL
0,2748308.0032237857,199835.2492583368,7201188.207286268
100,2753522.4016505037,199362.347442796,7207838.7730492875
200,2755554.766722867,198504.4205050825,7207475.980819464
300,2758329.487471315,197030.93674444596,7217852.90520498
400,2760291.5654202574,196806.1913800797,7219582.093543318
500,2761559.731744925,195612.50869267646,7226370.583173894
600,2765770.8003927427,194936.00624968263,7229563.672599614
700,2766062.2883933294,194071.0873504343,7231016.800881769
800,2768308.0805265936,193260.65645908375,7242519.274870135
900,2774026.1457004324,192261.36261296904,7247628.105808379
1000,2776272.342913782,191364.20941561757,7246199.351762015
1100,2776985.8998792483,190712.1255315956,7255510.896934843
1200,2780844.5466344752,190594.2788059975,7255632.250560169
1300,2782935.5448741675,188910.6817655156,7262893.539541093
1400,2785060.1963657658,188172.28925803403,7269710.055172859
1500,2786530.0499818106,188287.04888169433,7275842.940356378
1600,2788765.765752263,187166.7533305506,7278149.473162749
1700,2793690.657998935,186623.70159332777,7281599.196354484
1800,2793400.3139833906,185214.76395639422,7288069.553364938
1900,2796954.066208384,184282.6354590906,7295497.672291497
2000,2801651.405373377,184242.12684064446,7296251.757722796
2100,2800784.3711480666,182638.25135045554,7304103.801569399
2200,2804664.4846299514,181876.78343790173,7308692.521000887
2300,2807180.4021638855,181936.16495339718,7309529.88006292
2400,2808469.0152106322,180367.86860437968,7319091.826655433
2500,2810923.954657764,179781.75969698757,7319867.568783508
2600,2815765.336986296,179462.889577151,7323631.0523086125
2700,2818205.924890588,178974.09465465322,7334025.735395164
2800,2819702.8029738567,177226.6889766852,7339021.483352848
2900,2821142.6314256205,177127.12383925932,7338779.832089102
3000,2825254.19378896,175759.6183773706,7347036.650264633
3100,2826380.1310851593,175906.57823910622,7347528.6575800795
3200,2829640.964756289,174460.40270388016,7358858.74637713
3300,2831736.702372664,174500.3934644381,7362296.462567747
3400,2836549.718561451,173226.7801730748,7362697.31635223
3500,2838783.440557985,172250.24808193836,7368215.706433258
3600,2840063.1518453397,172218.18420553778,7371605.765590078
3700,2841242.136906594,171281.61312898903,7376710.61314989
3800,2843950.9407056114,170327.6495155197,7383179.858351722
3900,2849138.6417371873,169746.2603994578,7386983.901363643
4000,2851369.2501092935,169086.40282953484,7390284.932693057
4100,2852291.4270281256,167708.74316149662,7396716.977782679
4200,2853860.3519152673,167299.03562315746,7400155.121457121
4300,2857928.871344806,166974.05980646977,7407353.073838781
4400,2860432.681750142,166296.64918858776,7411466.361199868
4500,2861606.5907097016,165551.53601084626,7417612.9995252
4600,2863677.3767001373,164282.11296970255,7422405.5157141825
4700,2867059.590768736,163787.9792601547,7427888.988470546
4800,2868895.3817903376,163340.11094451929,7430609.412018497
4900,2871816.5694939685,162199.3071544901,7435315.165469701
5000,2875017.68639418,162167.35023763642,7440615.554308128
