milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,4.9991027080224416e-08,1.2992044094061547e-07,-1.0175996474609489e-11,2.1985982943923995e-07,-1.3529360684766443e-12,1.3011003176902015e-07,2.7079191222355067e-11,-1.863243174275923e-11
100,4.989274503822848e-08,1.3003802791092145e-07,1.0950904341137928e-10,2.1993847665170646e-07,1.2707668626500827e-11,1.3002792321037402e-07,-2.9925404670429785e-12,5.275157875230519e-11
200,4.9786121721233006e-08,1.2963084902204254e-07,1.9726332377341556e-10,2.197134769315148e-07,4.3250092008234855e-11,1.2990446020749215e-07,1.0260145708918987e-10,7.515828043198938e-11
300,4.9730014575118365e-08,1.2957306507203445e-07,2.6860596372164063e-10,2.1969913054287642e-07,8.48410331071665e-11,1.297493736480898e-07,1.8003135015371035e-11,9.746653831782138e-11
400,4.967659387822585e-08,1.294903169160639e-07,3.2654619559479557e-10,2.1977264474625815e-07,1.2098266595329028e-10,1.3000506759005732e-07,1.6570490868234713e-10,9.55311276629094e-11
500,4.962100201983629e-08,1.2924564038593162e-07,3.836397094055596e-10,2.1969673689124683e-07,2.3254708955564106e-10,1.2980594776007642e-07,-3.050749689082974e-11,1.4549332672696804e-10
600,4.958133388264369e-08,1.290914516314141e-07,4.028391745026827e-10,2.1964696434861955e-07,2.7089729980486394e-10,1.2965299427396032e-07,1.3408090591139046e-10,1.5455344702747078e-10
700,4.955562768538682e-08,1.292135406328889e-07,4.4839487728033966e-10,2.193802776965633e-07,3.390445585338303e-10,1.2957651640388692e-07,-1.980579373555599e-12,1.7705682581262648e-10
800,4.953573383654567e-08,1.290520544752068e-07,4.5836010904564717e-10,2.1942537849879577e-07,4.031006790574243e-10,1.2946951409136343e-07,3.531514773668055e-11,1.8866227943369586e-10
900,4.9533983723510003e-08,1.287331080301702e-07,4.68481867786469e-10,2.1904513515031081e-07,4.148370514225209e-10,1.2957863931037935e-07,1.5992948461568231e-10,2.177742213763161e-10
