milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5.000081576872993e-08,1.3005733585648028e-07,5.3229168432190095e-12,2.201179692239529e-07,1.9773522842755045e-12,1.3014265132845167e-07,6.684709685299827e-11,-4.881755502686655e-12
100,4.989343714293399e-08,1.2986683669291456e-07,1.2124407128105924e-10,2.1982653866897843e-07,8.575541483013643e-12,1.2990154480218177e-07,8.809283596064932e-11,4.79797765404769e-11
200,4.979759028984813e-08,1.2979803510528665e-07,1.99640057938983e-10,2.1978054696121875e-07,7.668052668377648e-11,1.2993867826342318e-07,-3.7098757577604124e-11,4.3751902393285326e-11
300,4.971562227396397e-08,1.29782115570632e-07,2.851472143836335e-10,2.1973347634015393e-07,7.072504043522053e-11,1.2974654667125437e-07,5.0734082683867464e-12,9.803574550475528e-11
400,4.967631973434818e-08,1.2946332025717548e-07,3.3911469129208257e-10,2.1974040281609288e-07,1.2624561982718895e-10,1.298503421630102e-07,1.3883492174438383e-10,1.3067234065535853e-10
500,4.961900872883994e-08,1.2943647118064265e-07,3.8078435385310226e-10,2.1969708586590696e-07,2.1397568408796366e-10,1.2978902596885999e-07,-2.6425384395206557e-12,1.2106635958719688e-10
600,4.959899408222405e-08,1.2907287444574238e-07,4.096650197656455e-10,2.1956771263204956e-07,2.5803168886030504e-10,1.2959688138983859e-07,6.287918331371118e-11,1.786060244399624e-10
700,4.9560072139063254e-08,1.29048898365978e-07,4.402497699367501e-10,2.194261544362015e-07,3.179220209523717e-10,1.2977023334848897e-07,2.1167062819998413e-10,1.9636285830504683e-10
800,4.9543040573044446e-08,1.2898038203449014e-07,4.5353976520396274e-10,2.1918451486431395e-07,3.502065411118465e-10,1.2962361717118042e-07,2.34521091770091e-10,2.3082618075334338e-10
900,4.953594082810361e-08,1.2882045922294702e-07,4.646349291231093e-10,2.1912318724809517e-07,4.546990549142208e-10,1.2939353829375605e-07,3.23489852277986e-10,2.3807413802877884e-10
1000,4.952160981922303e-08,1.286326198552838e-07,4.908470345803727e-10,2.1902009781500972e-07,4.779954149930872e-10,1.2960332424277082e-07,1.5625136757476552e-10,2.679237723917687e-10
1100,4.94938953165302e-08,1.2853539786363902e-07,4.955418364465649e-10,2.1894953843838625e-07,5.113631302834746e-10,1.294975894024529e-07,3.038488881331615e-10,2.866819142172129e-10
1200,4.9493847206530165e-08,1.2834862042301151e-07,4.936056608190636e-10,2.1879827172021475e-07,5.565207338804381e-10,1.2914007361457638e-07,3.182237463185722e-10,3.2648866319877785e-10
1300,4.9482971709141226e-08,1.2826924422764472e-07,5.019016965660151e-10,2.1865517326063316e-07,6.102533462159712e-10,1.2921025507711256e-07,3.890826205349453e-10,3.214298617903975e-10
1400,4.947672512843459e-08,1.2815566268387467e-07,5.12138220185443e-10,2.1828518800562122e-07,6.295960723872771e-10,1.2906618161595632e-07,5.110497828252988e-10,3.240037505669042e-10
1500,4.947288424011281e-08,1.2830449524572164e-07,5.152207552073231e-10,2.1812512339563522e-07,6.771219357688752e-10,1.289456736825707e-07,7.492900312665818e-10,3.794070515954613e-10
1600,4.947530635281167e-08,1.2798114732772416e-07,5.293968574494017e-10,2.1826189364707908e-07,6.953641003430543e-10,1.2886413420384601e-07,8.252060824094917e-10,3.9874747889238266e-10
1700,4.947844539068931e-08,1.2775737849665413e-07,5.127810853100682e-10,2.181087608823676e-07,7.455939792392874e-10,1.2866629085914233e-07,9.212754482398208e-10,3.9227065672718357e-10
1800,4.94716316731932e-08,1.2772604460259537e-07,5.320491616064913e-10,2.1785949079221729e-07,7.491783490796293e-10,1.2863011149089743e-07,9.10294687670559e-10,4.4131795126526865e-10
1900,4.9467653800213534e-08,1.2772693657109256e-07,5.32455073276159e-10,2.1761024715529528e-07,7.74837871024626e-10,1.285050634499835e-07,9.097344364226489e-10,4.2516568808984643e-10
2000,4.946307617697481e-08,1.2743307240847547e-07,5.369888486263611e-10,2.176978969261897e-07,7.683632536396992e-10,1.285154907787827e-07,1.2087501872696263e-09,4.762577421706649e-10
2100,4.9472124642109804e-08,1.2742814991733923e-07,5.333581188279615e-10,2.1732150329528714e-07,8.258167022476131e-10,1.281829249218353e-07,1.181826152684262e-09,4.671547227346645e-10
2200,4.947915586718295e-08,1.272763608586246e-07,5.269882068350631e-10,2.1750046284869768e-07,8.391071897474277e-10,1.2815898911620775e-07,1.4078787149198446e-09,5.131798532074116e-10
2300,4.947144955131471e-08,1.2709706331572982e-07,5.270742926014565e-10,2.1740431733224313e-07,8.286017603168357e-10,1.2790098614442402e-07,1.4061339869464818e-09,5.322014826946496e-10
2400,4.946475717627234e-08,1.271043056677937e-07,5.304060198664459e-10,2.169794198876468e-07,8.345654808099984e-10,1.280223675674373e-07,1.5963754761487614e-09,5.529559817127498e-10
2500,4.946668147019657e-08,1.2708711701429612e-07,5.186864238124148e-10,2.1697131604374486e-07,8.788879667473939e-10,1.277227438865817e-07,1.6413944438265755e-09,5.336646503161431e-10
2600,4.947897147286162e-08,1.2675635213365614e-07,5.277185834524581e-10,2.167777851637754e-07,8.87946174168432e-10,1.2781864094117736e-07,1.8118195267529664e-09,5.743514867291078e-10
2700,4.947843719243527e-08,1.2670573192912598e-07,5.387358321883462e-10,2.1652277501744246e-07,8.647448991113592e-10,1.2745631011857653e-07,1.7147771693658645e-09,5.780897145308703e-10
2800,4.9461075566782286e-08,1.2650293733766814e-07,5.394002393039425e-10,2.166550255031816e-07,9.062606511023246e-10,1.2757087615769112e-07,2.0844063222802255e-09,5.864049212195456e-10
2900,4.9461560499469e-08,1.265898270277382e-07,5.400696569805243e-10,2.1626741473443416e-07,8.637801533286105e-10,1.2722834711862852e-07,2.0972488307846903e-09,6.055317195827397e-10
3000,4.947818485699702e-08,1.2647567623381293e-07,5.213095268246181e-10,2.1627359025199883e-07,8.870671174266831e-10,1.2707632263619953e-07,2.047101516284361e-09,6.266811758531753e-10
3100,4.946778994439486e-08,1.2644839154659432e-07,5.350979031692267e-10,2.1606898481061934e-07,9.124623960750298e-10,1.2695377520040137e-07,2.2578265281949495e-09,6.590931979564468e-10
3200,4.9474024239251336e-08,1.2624994363728333e-07,5.202176333730254e-10,2.160736601085722e-07,8.927345248236881e-10,1.2685133124763584e-07,2.5049646319114404e-09,6.80126684152108e-10
3300,4.946572388749621e-08,1.2594199395558197e-07,5.312813636470685e-10,2.1591837125498996e-07,9.312104628163215e-10,1.2681235082774543e-07,2.4589661473266245e-09,7.002489152148968e-10
3400,4.946225924458504e-08,1.2583224520357058e-07,5.353481008167376e-10,2.1568202936839402e-07,9.434116293179106e-10,1.2678883716952541e-07,2.4854850699139877e-09,6.827718902417041e-10
3500,4.946938348831807e-08,1.2576942829473127e-07,5.239544453482664e-10,2.158273644080495e-07,8.985884845744874e-10,1.2646770133183084e-07,2.7185941292719953e-09,7.10262355946988e-10
3600,4.947282564992907e-08,1.2557379770374614e-07,5.291957944408101e-10,2.1568943026767723e-07,9.531023969972966e-10,1.2658780658538845e-07,2.7969439735431663e-09,6.91240263685123e-10
3700,4.9479855739325806e-08,1.2552219112299795e-07,5.224124418045656e-10,2.1525563374233102e-07,9.46305067157969e-10,1.263915067939154e-07,2.828481935702461e-09,7.422534613588104e-10
3800,4.9481283625273275e-08,1.2552104045966542e-07,5.37366774472872e-10,2.1507048641938499e-07,9.598040061943503e-10,1.2612036399152447e-07,3.0489198933586597e-09,7.60918060845354e-10
3900,4.947315141247777e-08,1.2549768770398492e-07,5.351480727894159e-10,2.1525312399296553e-07,9.133610848190779e-10,1.2623012494577477e-07,3.2310069260436114e-09,7.41835644710592e-10
