milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5.001079397288732e-08,1.2998595591622572e-07,-9.601725079412139e-12,2.201697568924311e-07,1.682174386744809e-11,1.3013341284178172e-07,7.074931707187799e-11,-9.051780768328328e-12
100,4.987613804838289e-08,1.2998573552731017e-07,1.229107787159409e-10,2.197801639742123e-07,4.317902001074782e-11,1.2989893130560994e-07,-3.776287736811332e-12,5.3169160730898e-11
200,4.978429618579047e-08,1.2987750997524013e-07,1.9598664672780898e-10,2.1970280051498212e-07,2.0848998711158665e-11,1.3000298176398363e-07,-1.1183336019754074e-10,4.57542574066482e-11
300,4.9713600871984575e-08,1.295433819813703e-07,2.8450026404177494e-10,2.1997344151444135e-07,1.1906920894150198e-10,1.299883183199687e-07,1.341931284327871e-10,1.026394502525288e-10
400,4.965734537407087e-08,1.2933050120825305e-07,3.2710011699443977e-10,2.198463987580482e-07,1.459092370505667e-10,1.2995199844381055e-07,4.367745149971189e-11,1.0156508515254017e-10
500,4.9630497892530447e-08,1.2935042232034053e-07,3.8488238227503514e-10,2.1967754056504953e-07,2.130018947235473e-10,1.296693714321706e-07,7.523501367592103e-11,1.4280554046260617e-10
600,4.9581468002860234e-08,1.2913500903082623e-07,4.220551779826607e-10,2.1937699730411732e-07,2.602444828841399e-10,1.2983094086487275e-07,2.2653089517515203e-10,1.7528176120482883e-10
700,4.955770757497545e-08,1.290916193410064e-07,4.434399862712132e-10,2.195027713376452e-07,3.0869707483514257e-10,1.2971013810825053e-07,7.016878712133006e-11,2.087973703611269e-10
800,4.953622267598483e-08,1.2888242254085182e-07,4.607589884125771e-10,2.190671748357749e-07,3.8417172358926364e-10,1.2968832336366584e-07,2.689798450970412e-10,2.3163081843050447e-10
900,4.9535513187659714e-08,1.2893191704903325e-07,4.794121486846559e-10,2.1902904280897715e-07,4.0690340026166805e-10,1.2961282283225527e-07,2.273708527925416e-10,2.469808503167688e-10
1000,4.950250273394546e-08,1.2884607504509659e-07,4.871470478833941e-10,2.1883338621291167e-07,4.770533111806125e-10,1.2952581348256237e-07,2.780666924025093e-10,2.6905172044806815e-10
1100,4.9503945037471934e-08,1.286093127018552e-07,4.861139242395568e-10,2.18944984418972e-07,5.180167461587346e-10,1.292984985485882e-07,2.2533146573883671e-10,2.740950739992275e-10
1200,4.9497593240501324e-08,1.2847333951488184e-07,5.090184549853929e-10,2.1882478485127006e-07,5.880983019902139e-10,1.2918208000295005e-07,3.1883726849268326e-10,3.107402771038758e-10
1300,4.9480240135820146e-08,1.2850310770652205e-07,5.031040970045714e-10,2.1862357814293137e-07,6.146086201154186e-10,1.2906816414388177e-07,3.9290533431044693e-10,3.3851442919682064e-10
1400,4.948765869061957e-08,1.2839732524616508e-07,5.246134627378379e-10,2.1838657263893955e-07,6.510640834655964e-10,1.2921455208572916e-07,4.3528713063607303e-10,3.349439883290373e-10
1500,4.947663950398569e-08,1.2813535630515277e-07,5.203873282308369e-10,2.1820265637835793e-07,6.525795851802671e-10,1.289216888168498e-07,6.653703133980424e-10,3.7612442397136364e-10
1600,4.948578550548864e-08,1.2790174863775389e-07,5.139941022328194e-10,2.1803598327705945e-07,7.053837021496583e-10,1.28801573281369e-07,7.246006711836719e-10,3.7155422142111563e-10
1700,4.948548433774888e-08,1.2808328169261139e-07,5.141559705092556e-10,2.1789356696245534e-07,7.289364276964627e-10,1.287819973658097e-07,9.069373266904816e-10,4.0042656633147353e-10
1800,4.9471943640529795e-08,1.278784872161481e-07,5.204643591683599e-10,2.1791635895359248e-07,7.373637607264448e-10,1.2855140077601426e-07,1.0385724302051672e-09,4.393562065790533e-10
1900,4.94806167869537e-08,1.2766576671373802e-07,5.220056967729619e-10,2.1788468660232123e-07,7.969915069056677e-10,1.2869870767658353e-07,9.874583986859894e-10,4.671006803644444e-10
2000,4.946754805388702e-08,1.2762845374530372e-07,5.212968235629877e-10,2.1750145903578593e-07,7.918994724170914e-10,1.2839808797545596e-07,1.1862231684486527e-09,4.761626793280276e-10
2100,4.9480131833979107e-08,1.2749274773061676e-07,5.235327730294492e-10,2.1750238362005612e-07,7.971877114874389e-10,1.281926033186039e-07,1.1380997317037326e-09,4.75004646498296e-10
2200,4.9469027012780486e-08,1.2733597681241404e-07,5.182304250694683e-10,2.1734552519175316e-07,8.326001372465829e-10,1.2833369041614488e-07,1.2111399591708969e-09,4.994873321871189e-10
2300,4.946869212493528e-08,1.2725551905531238e-07,5.354427963382438e-10,2.1719324497355226e-07,8.101320700574483e-10,1.281378311279718e-07,1.3490075806959538e-09,5.095183531673991e-10
2400,4.9463821670572523e-08,1.2701742887393278e-07,5.31166918391023e-10,2.17205247261273e-07,8.350024801441008e-10,1.279617069991888e-07,1.642068092176575e-09,5.148116687891691e-10
2500,4.9477351840681275e-08,1.2702889381793948e-07,5.331224643641696e-10,2.1696267156819918e-07,8.643207513744747e-10,1.278239121202619e-07,1.5011877439497175e-09,5.299269643494174e-10
2600,4.9481207163236234e-08,1.2690079183652308e-07,5.188909943868572e-10,2.168844215471813e-07,8.578163727751174e-10,1.2762481803115258e-07,1.8243928276956609e-09,5.694867752426184e-10
2700,4.9477398042264795e-08,1.2688701673056594e-07,5.215393601750397e-10,2.165335377762338e-07,8.930571752632351e-10,1.2743509388749883e-07,1.7397974066645234e-09,6.115035085631672e-10
2800,4.946329856498811e-08,1.2652994848888892e-07,5.250887383616439e-10,2.1649290297336425e-07,8.60659918546775e-10,1.2757452165101527e-07,1.973782970800323e-09,5.96699202634458e-10
2900,4.948012067116858e-08,1.2641087243115183e-07,5.348118111348523e-10,2.164017530025893e-07,9.149349301385527e-10,1.274000095282261e-07,2.028195643205471e-09,6.259951809941932e-10
3000,4.94758213836772e-08,1.2630355400793317e-07,5.295580513152963e-10,2.163393478726085e-07,8.721337666459978e-10,1.2712605148301132e-07,2.1550659012695895e-09,6.481678890305664e-10
3100,4.946407492493371e-08,1.264435504911598e-07,5.258593682961238e-10,2.163301467179734e-07,8.853699903096375e-10,1.2696699376269526e-07,2.2585295716933616e-09,6.62631163388838e-10
3200,4.947438145907359e-08,1.2607080135498773e-07,5.306066938968352e-10,2.1621577540751437e-07,9.316744148712566e-10,1.270861109339384e-07,2.326600160710456e-09,6.780439670722448e-10
3300,4.9475507690359934e-08,1.2601233627338987e-07,5.18655380413351e-10,2.158412342816238e-07,9.062051454992095e-10,1.2681405336577603e-07,2.571510003853516e-09,7.012893000651301e-10
3400,4.9480710920033454e-08,1.2601715384294877e-07,5.283549215601826e-10,2.159129609885418e-07,9.140960683295522e-10,1.2682372375688813e-07,2.7553094181970457e-09,6.981277873639473e-10
3500,4.946620965701152e-08,1.257386175363104e-07,5.189707612752719e-10,2.1577334736055916e-07,9.43610826183789e-10,1.2667811589850702e-07,2.730380330625015e-09,6.935562135030028e-10
3600,4.947874860044289e-08,1.25694726087786e-07,5.231239839827784e-10,2.1548141459359403e-07,9.436359645918449e-10,1.2652248504547126e-07,2.841680873453645e-09,7.05196233198259e-10
3700,4.948117197495088e-08,1.2555007903981908e-07,5.176295563145185e-10,2.1535619257342113e-07,9.435372821268339e-10,1.2621642425091223e-07,2.9990211001683616e-09,7.036899100358245e-10
3800,4.9478156853268974e-08,1.254991660143764e-07,5.328664945160622e-10,2.1535709985752745e-07,9.532804351338426e-10,1.262724475723376e-07,2.924803140647486e-09,7.397354457225439e-10
3900,4.9463549422896046e-08,1.2548947936951178e-07,5.39227382681442e-10,2.150585832019604e-07,9.278694554297896e-10,1.2608949599317443e-07,3.2511904111517586e-09,7.721680799562211e-10
4000,4.947679794871021e-08,1.2535912806338199e-07,5.177961620638365e-10,2.149369851953396e-07,9.69172547789587e-10,1.2578768757551168e-07,3.146749294538518e-09,7.75646666966281e-10
4100,4.9463843590762664e-08,1.2529252742557017e-07,5.225847600568547e-10,2.1504695009141014e-07,9.723189529177097e-10,1.2584933263749758e-07,3.406144134812879e-09,7.844657082239355e-10
4200,4.9474961271475154e-08,1.2504991960088392e-07,5.229857123682482e-10,2.145744262889641e-07,9.38037875146021e-10,1.257838005123315e-07,3.6315384098458696e-09,8.12949639447896e-10
4300,4.9478895226829863e-08,1.2488566847422882e-07,5.219346932479011e-10,2.146735164061743e-07,9.471394603603877e-10,1.2566732320009003e-07,3.6294365001539643e-09,7.993373014433162e-10
4400,4.946979710894847e-08,1.2468970326388747e-07,5.211072685552548e-10,2.14542774339179e-07,9.799445695823932e-10,1.254379621822396e-07,3.8108291190891285e-09,8.233415415200006e-10
4500,4.946290955601792e-08,1.2457331572907153e-07,5.192890234749768e-10,2.1431642891900233e-07,9.78200018433756e-10,1.2524507795903487e-07,3.9403686142571784e-09,8.162286543672925e-10
4600,4.9482434847576496e-08,1.246962840432488e-07,5.16912895434248e-10,2.1434803449359384e-07,9.597210544168215e-10,1.2536468666670642e-07,4.0381230797828115e-09,8.157143678485262e-10
4700,4.9469324363100587e-08,1.2448977394800578e-07,5.164380759271022e-10,2.1412440230339505e-07,9.627513461775753e-10,1.2521837245801113e-07,3.966272649179782e-09,8.276299930078832e-10
4800,4.9482829283335554e-08,1.242724347734803e-07,5.216067809406791e-10,2.1387077590294858e-07,9.614166502069316e-10,1.250409079438994e-07,4.1709200218483545e-09,8.604130759960076e-10
4900,4.948155899889442e-08,1.2420407934979802e-07,5.208935347394616e-10,2.1372694445638826e-07,9.384527845074713e-10,1.2485748958158774e-07,4.233510977359103e-09,8.536343667721569e-10
5000,4.9468986808900914e-08,1.2407954311285422e-07,5.332339530038591e-10,2.138924421874126e-07,9.779216667245065e-10,1.246137271299579e-07,4.378263114839851e-09,8.94297191850698e-10
