milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,4.999124310011533e-08,1.3016252796867128e-07,7.734569408725602e-12,2.200423588567172e-07,2.653680228662779e-11,1.3003592901204324e-07,-9.534383960898932e-11,-1.9428964091915386e-11
100,4.9877965073900856e-08,1.3003291893900945e-07,1.1464315554760187e-10,2.1981490970510241e-07,2.5015521428680317e-11,1.3013282793577304e-07,9.578280713821488e-11,7.935202557385962e-12
200,4.9790482431497045e-08,1.297586384192383e-07,2.1428885559151128e-10,2.199586821566115e-07,3.5810029688784844e-11,1.298190409789728e-07,-5.152182631780459e-11,3.674813518226509e-11
300,4.9714499369978977e-08,1.2945706729444908e-07,2.7645201133720035e-10,2.1970351100216334e-07,1.0597099912302311e-10,1.2980478777849852e-07,-9.260658724305037e-11,1.0338391119482722e-10
400,4.9660741588176824e-08,1.2962418010868797e-07,3.336477959673009e-10,2.196185158711508e-07,1.2402910454841075e-10,1.3000839739415558e-07,1.1561697636218117e-10,1.1420680888620935e-10
500,4.9622195108552274e-08,1.294256652489665e-07,3.797377128449073e-10,2.1961180130452734e-07,2.240417779373621e-10,1.298243507527937e-07,1.0242024493222542e-10,1.1540243866222845e-10
600,4.958323211970204e-08,1.291476299812859e-07,4.120009650046563e-10,2.1968172033870863e-07,2.664179101107818e-10,1.2989240502370906e-07,4.116389021968923e-11,1.5282103717029304e-10
700,4.9567975756277125e-08,1.2913703857228776e-07,4.383087513631841e-10,2.1943022635419667e-07,3.1883189907515723e-10,1.2978575177313646e-07,1.1796711295954034e-10,1.856668434481826e-10
800,4.954072735517007e-08,1.291145731305834e-07,4.646700447975692e-10,2.1936641556544354e-07,3.8558437249688496e-10,1.296296558828714e-07,1.5491129138375275e-10,2.117584489228489e-10
900,4.9534283810719036e-08,1.2895277594017918e-07,4.644452850257589e-10,2.1905559538018855e-07,4.0901196461996446e-10,1.2953752882553233e-07,2.653714471096827e-10,2.4359309524522976e-10
1000,4.950685764310948e-08,1.287413116934686e-07,4.876627474339893e-10,2.1913522456977037e-07,4.787377698187106e-10,1.296046693367999e-07,4.1361021772945584e-10,2.6396123281820045e-10
1100,4.950899320068126e-08,1.286504452518896e-07,4.875032696148123e-10,2.1883511502295214e-07,5.318077162076496e-10,1.2938762221268775e-07,2.7252864675804826e-10,2.6645015061118684e-10
1200,4.9495930337741834e-08,1.2835313228810138e-07,5.092234718837123e-10,2.1866627179224607e-07,5.683002609338594e-10,1.294348731064903e-07,4.1889235931277277e-10,3.205132917921871e-10
1300,4.9496783996056996e-08,1.28546942882733e-07,5.071066953078806e-10,2.1848119858853883e-07,6.012807164934715e-10,1.2928670592045358e-07,4.831555867721976e-10,3.281136704538321e-10
1400,4.9486664380090455e-08,1.2825105017674663e-07,5.158527561956097e-10,2.183374635650129e-07,6.469092361392558e-10,1.2896491423671775e-07,5.367048074776682e-10,3.4714342856187385e-10
1500,4.9484441803841136e-08,1.2809527373678673e-07,5.262332969526933e-10,2.1827619472939095e-07,6.844205957138191e-10,1.2892175277285753e-07,6.27449576086825e-10,3.5334134907123665e-10
