milliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20
0,5.000114459252416e-08,1.2996521341089345e-07,-4.898368126603279e-12,2.2002624203029442e-07,3.664460938011666e-12,1.3014673818980921e-07,-9.395951011630006e-11,3.358731087758577e-12
100,4.989039075154008e-08,1.299193447174063e-07,1.1612353015463794e-10,2.198539863980774e-07,9.612036704633416e-12,1.2984042447687333e-07,-2.1198817087376013e-11,2.2516093383214574e-11
200,4.9794442585252986e-08,1.2983550085153976e-07,1.9522829077878208e-10,2.1994514438014677e-07,7.422501695641403e-11,1.2990435607064913e-07,4.409534563402938e-11,6.051921089879587e-11
300,4.971992826740185e-08,1.294957904893746e-07,2.750047208196331e-10,2.1965095434860883e-07,7.402001338246779e-11,1.3004398494335684e-07,5.428329413236492e-11,8.801773789291525e-11
400,4.9656420250357574e-08,1.2955660624334889e-07,3.397810426294859e-10,2.197026820776226e-07,1.667469746945273e-10,1.298756658186222e-07,-8.139394901401875e-11,1.3029783656131437e-10
500,4.961463739511371e-08,1.2925625160903378e-07,3.7352733658995283e-10,2.196339166969655e-07,2.1497331465992508e-10,1.298393739098266e-07,-6.22785543563438e-11,1.3157368888963608e-10
600,4.958933629237012e-08,1.29124765594283e-07,4.1886612662216175e-10,2.1931979464948321e-07,2.781847755406618e-10,1.2969619095038648e-07,4.38061931574751e-12,1.4048790178482986e-10
700,4.9563540509718724e-08,1.2896063792104453e-07,4.432484198708758e-10,2.192049405095988e-07,3.1129051944382827e-10,1.2960544934763443e-07,1.6674607640968643e-10,1.9915634703898306e-10
800,4.9534024282741285e-08,1.2895786117695472e-07,4.5098380422198253e-10,2.191392467931841e-07,3.618271562022145e-10,1.2961111968017467e-07,1.4666848760287312e-10,2.1095896337063538e-10
900,4.952891083638728e-08,1.2878281853345423e-07,4.823518240157694e-10,2.189765634682552e-07,4.0598962796961376e-10,1.2968887938081813e-07,1.6592415738990298e-10,2.359790466649398e-10
1000,4.9519970220215636e-08,1.2890652714467964e-07,4.901062614068832e-10,2.1897426355768076e-07,4.635418233012571e-10,1.2955979812555118e-07,2.627543115873308e-10,2.375932789820864e-10
1100,4.950779057689542e-08,1.2872637529161173e-07,5.001355555002199e-10,2.1888055332712852e-07,4.969730437326829e-10,1.2937678649883006e-07,2.842396579580145e-10,3.046079329453202e-10
1200,4.948740969101808e-08,1.285739165856213e-07,4.960488194280937e-10,2.188027914638915e-07,5.646833269030197e-10,1.2940535395217303e-07,4.834644357283105e-10,2.8453298675578345e-10
1300,4.9483137349964455e-08,1.2830581668112196e-07,5.081609260694656e-10,2.1860079067097995e-07,6.067980086949826e-10,1.2915052712678836e-07,5.876864123948235e-10,3.498019145528003e-10
1400,4.949500776176104e-08,1.2815919123030848e-07,5.112680407787744e-10,2.1856375063223872e-07,6.364232818756007e-10,1.289268680022516e-07,5.314235619330794e-10,3.3498723509720953e-10
1500,4.949157308784937e-08,1.2811924036666752e-07,5.176436180742102e-10,2.183804834144059e-07,6.86093076180488e-10,1.2898074177752852e-07,6.698993453319376e-10,3.710214720593616e-10
1600,4.9478348509296506e-08,1.2812524157940332e-07,5.309658757003495e-10,2.1822259030945674e-07,7.217826001737523e-10,1.2877567603732708e-07,6.5707212954785e-10,3.8696528920188834e-10
1700,4.947634851708552e-08,1.2803108864382264e-07,5.147166932608693e-10,2.1821039834975847e-07,7.456236661108955e-10,1.288524542306384e-07,8.178884537031585e-10,4.13476825914283e-10
1800,4.946993570254315e-08,1.2785001968794596e-07,5.340780376120812e-10,2.1783986229888947e-07,7.61878024343469e-10,1.2861402448588822e-07,8.447718840052801e-10,4.436787977560624e-10
1900,4.9484025881497195e-08,1.2763449090423972e-07,5.169783037934231e-10,2.1782939222193402e-07,7.538926212106727e-10,1.28572324843814e-07,9.847927573993584e-10,4.2708646231732076e-10
2000,4.9479568833263174e-08,1.274336846430766e-07,5.376276694859162e-10,2.174577256951484e-07,8.132570441049588e-10,1.2830172612721288e-07,9.928330862679442e-10,4.6426027214703834e-10
2100,4.9470508168975015e-08,1.2753983074990522e-07,5.330751087232576e-10,2.1765558636079208e-07,7.991057388165888e-10,1.2846306895071673e-07,1.2382777703206311e-09,4.922245623919662e-10
