milliseconds,CDK1_active,APC_active,Plk1_active
0,-0.004870928327596246,0.0009266071014246836,-0.005655350046688397
100,0.003489786728523339,-5.959568423949447e-06,0.001745392874407079
200,0.025166508459050274,0.0008143437256751896,-0.004650449501446266
300,0.032264190693833864,-0.0008135324710121802,-0.004434740462888835
400,0.034238841377601865,-2.7783137798075256e-05,-0.00019860266299488
500,0.05449541629999832,0.00029148100733811905,0.0037652527746772513
600,0.057394246816284064,0.0005369035347818823,0.001244907888641915
700,0.06868929718338287,0.00046751024860367104,0.003239734281670145
800,0.08628858261827167,-5.5140136197868925e-05,0.006155293229045593
900,0.08442897643083444,0.0005895519786755538,0.004345547103306098
1000,0.10444078115568387,-0.00014163015656715828,-0.005797975979972428
1100,0.10591523487515535,0.0010888685275693441,0.0026542661753001504
1200,0.11901606820587088,0.0003581413437958035,0.0031755618033804684
1300,0.12310502823137873,-9.059306563947972e-05,-0.003278801965856762
1400,0.13855691718091762,-0.0001893556621837467,0.00585651226180401
1500,0.14729950552464813,-0.0007395744164889445,0.0022196975550234986
1600,0.15350801869889957,-0.00041618547752195645,-0.0038262844079088873
1700,0.1743045313611864,-0.00036743046655179733,-0.002977332050110235
1800,0.18391143467743193,-0.00028695643571770415,0.00505872208455536
1900,0.1965628172952598,0.001035864050774135,0.002399125249383579
2000,0.20459185745807998,-0.0006641087052171028,0.00022969920560355963
2100,0.20978055182343502,0.000333078743976354,0.0065353301297045975
2200,0.2171103168621366,0.0002876134329646406,0.004642907986446591
2300,0.22392122437995984,0.00035937365576801873,-0.0017364045223845633
2400,0.2455972148552776,0.00033379208157751386,0.004851276396165476
2500,0.25587348355904027,-0.0008772997136653005,0.0002348187333494618
2600,0.2595821552369447,0.0011316948773041583,0.000505838036289842
2700,0.27015043090005575,-0.0011325806063602873,0.003784098795153971
2800,0.2829468195896548,0.0008093239418762352,0.010576443834796391
2900,0.2937970792914239,0.0003154667575653759,0.004167762377848518
3000,0.3067902306351472,-0.0007707097236588169,0.010167601548254515
3100,0.31405995854284774,0.00022916010740509985,0.010409364778041231
3200,0.317228173777931,0.0002613902736542253,0.01881682997772674
3300,0.33251469559392755,-0.0002761814434436891,0.03322830144652311
3400,0.33949099919533643,-0.0010275408158021988,0.038988194702534264
3500,0.3445677693102175,-0.00016196910230749826,0.045537720548212965
3600,0.35397246513922115,-0.0005346543614073566,0.05990884256775159
3700,0.36570921918941396,0.00041395616510374843,0.07884348413734299
3800,0.3732407932705719,0.00013652342289188817,0.08426589080767252
3900,0.3943709335738789,8.648735374776571e-05,0.10345611444514269
4000,0.4000227082475288,0.00039978578351303586,0.13513387564674623
4100,0.40256820769010004,-0.0012190864637723516,0.1622279534158579
4200,0.41280192486081735,0.0005210106671250055,0.18818443314427763
4300,0.4255607429923837,0.0005880046291713455,0.22051018946256795
4400,0.43635723259181153,-0.00031425585618683003,0.24618445356085344
4500,0.4477964963268768,0.0027086209429936095,0.2901616309648894
4600,0.4664634286568969,0.00755837192527285,0.3173297580296605
4700,0.47488821524584857,0.02098521226850168,0.36081352777363235
4800,0.4837355849089702,0.046190064628676086,0.39495337524260077
4900,0.493838288425971,0.08951247792976616,0.43786411423923033
5000,0.5035254973258027,0.15707316933282828,0.46841632469926014
