milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999963,3.33333333e-06,3.33333333e-07,1.66666666e-08,3.33333333e-08,0.0,0.0,0.0
100,0.9999961573823207,3.365424442245904e-06,3.8489575330002914e-07,5.7036530979302647e-08,3.9034718860698694e-08,1.599273502294001e-10,1.2732894990075347e-08,7.445903176056432e-14
200,0.9999960122128236,3.398983112855507e-06,4.3620256868954464e-07,9.620828543632426e-08,4.682257693517332e-08,4.0519820888397257e-10,2.5831743680567097e-08,3.5356304805314794e-13
300,0.9999958644624601,3.433991675501343e-06,4.872814539222918e-07,1.3424466822187282e-07,5.664417550747763e-08,7.390601682547671e-10,3.9302248223420044e-08,9.21425986380918e-13
400,0.9999957141015007,3.470433273889108e-06,5.381598854753667e-07,1.7120715643397036e-07,6.844808622479328e-08,1.1647457736285151e-09,5.3150148424204294e-08,1.86630589326369e-12
500,0.9999955610978428,3.5082920511885275e-06,5.888657197978544e-07,2.0715691053218e-07,8.218378680334249e-08,1.6855768565451904e-09,6.738149149187021e-08,3.2837485383602884e-12
600,0.9999954054188125,3.5475537197447885e-06,6.394258717176299e-07,2.421520555459701e-07,9.780381745864473e-08,2.304801692425431e-09,8.200231353858309e-08,5.27114029989624e-12
700,0.999995247030914,3.588205573467899e-06,6.898664220897872e-07,2.762478543492346e-07,1.1526368195437321e-07,3.025610499359101e-09,9.701867844946684e-08,7.928449708110897e-12
800,0.999995085899656,3.630236429898924e-06,7.402127432885501e-07,3.0949697742586684e-07,1.345216373686108e-07,3.85115082364719e-09,1.1243670960961135e-07,1.1358737855526397e-11
900,0.9999949219895168,3.6736364999433167e-06,7.904896127936624e-07,3.419498207227141e-07,1.5553840171098977e-07,4.784538641064495e-09,1.2826260421341692e-07,1.566823901792892e-11
1000,0.9999947552639485,3.7183973084014257e-06,8.407212690587016e-07,3.736546794300698e-07,1.782769897680511e-07,5.828863369679124e-09,1.4450263817930985e-07,2.096632949252386e-11
1100,0.99999458568506,3.7645120356860283e-06,8.909312884583603e-07,4.0465724197274224e-07,2.0270329154615674e-07,6.987183596116321e-09,1.6116319533166096e-07,2.7366470289160437e-11
1200,0.999994413214701,3.8119741696892674e-06,9.411431276683299e-07,4.3500272047588035e-07,2.2878372742791012e-07,8.26255266964812e-09,1.7825068124265954e-07,3.49829047893689e-11
1300,0.9999942378129898,3.860779255637264e-06,9.91379441768017e-07,4.647331381306502e-07,2.564882673121469e-07,9.6579887826874e-09,1.9577164654006686e-07,4.3935105576580705e-11
1400,0.9999940594398444,3.910923035063538e-06,1.04166282187492e-06,4.938902421019489e-07,2.8578720602053176e-07,1.1176508644060657e-08,2.1373266175554101e-07,5.434313179482257e-11
1500,0.9999938780534818,3.962403194018498e-06,1.0920151246531358e-06,5.225128176845326e-07,3.1665416776980694e-07,1.282109919741348e-08,2.3214044571384304e-07,6.633214697168383e-11
1600,0.9999936936113917,4.0152181484764665e-06,1.1424579632579583e-06,5.506386096360475e-07,3.4906399123041377e-07,1.4594741150828928e-08,2.510017880400158e-07,8.002945196975745e-11
1700,0.99999350606987,4.069367621585417e-06,1.1930124754440827e-06,5.783034122381087e-07,3.8299373310062794e-07,1.6500397985443375e-08,2.7032358668753515e-07,9.55659048978891e-11
1800,0.9999933153842829,4.124852160994157e-06,1.2436995638183616e-06,6.055419318153338e-07,4.1842177811816274e-07,1.854103188594612e-08,2.9011283833031624e-07,1.1307504725434088e-10
1900,0.9999931215089239,4.181673464147132e-06,1.294539721271282e-06,6.323871773085546e-07,4.5532845274841066e-07,2.0719591178411802e-08,3.1037663878592453e-07,1.3269360509009283e-10
2000,0.9999929243971631,4.239833968949039e-06,1.3455532624940626e-06,6.588712519277516e-07,4.936952399814494e-07,2.3039027998571265e-08,3.3112218764793823e-07,1.5456093135568524e-10
2100,0.9999927240013174,4.299337135505985e-06,1.396760174810241e-06,6.850248299859999e-07,5.335053086235129e-07,2.5502287683162907e-08,3.5235678967725923e-07,1.7881945471497161e-10
2200,0.9999925202727221,4.360187247315234e-06,1.448180231178148e-06,7.108775421612624e-07,5.74743131331507e-07,2.811231746159252e-08,3.7408785717606865e-07,2.056144097992134e-10
2300,0.9999923131616549,4.422389467435433e-06,1.499832979813218e-06,7.36457911941912e-07,6.173945689367781e-07,3.087206727846036e-08,3.9632291883945125e-07,2.350940469540929e-10
2400,0.9999921026173815,4.4859498308303695e-06,1.5517377320383483e-06,7.617933355420379e-07,6.614468738073757e-07,3.378448761467533e-08,4.1906961249598504e-07,2.674095181658524e-10
2500,0.9999918885880621,4.5508751276437865e-06,1.6039136810886668e-06,7.869104172841905e-07,7.068884081762247e-07,3.68525425969953e-08,4.423357093878676e-07,3.0271503738785135e-10
2600,0.999991671020899,4.617173112098941e-06,1.6563796971287756e-06,8.118343857518337e-07,7.537091398708578e-07,4.0079187702778804e-08,4.6612907417299847e-07,3.4116764288404307e-10
2700,0.9999914498619692,4.68485221089161e-06,1.7091545992013277e-06,8.365898779210056e-07,8.018999658751216e-07,4.346739862449302e-08,4.90457714280295e-07,3.829274347318793e-10
2800,0.9999912250562755,4.753921616925719e-06,1.7622570688855702e-06,8.61200689434753e-07,8.514529285882839e-07,4.702016216223407e-08,5.153297645332205e-07,4.28157505562919e-10
2900,0.9999909965478614,4.824391524780818e-06,1.8157054378294072e-06,8.85689156889277e-07,9.023617542243773e-07,5.074045404905273e-08,5.407534505386199e-07,4.770237958448286e-10
3000,0.9999907642794901,4.896272450993771e-06,1.8695182983188183e-06,9.100779319050367e-07,9.546203017212596e-07,5.4631303035253196e-08,5.667371919947389e-07,5.296954756242513e-10
3100,0.9999905281930058,4.969576009341713e-06,1.923713808093862e-06,9.34387961671166e-07,1.0082243305282035e-06,5.869571776158503e-08,5.932894859174331e-07,5.863445251561298e-10
3200,0.9999902882291174,5.0443144604642245e-06,1.978310097373717e-06,9.586396673439892e-07,1.0631704702149489e-06,6.293672966721566e-08,6.204189755470859e-07,6.471459899371904e-10
3300,0.9999900443272751,5.120500499287119e-06,2.0333254702754762e-06,9.828535166207708e-07,1.1194557240185292e-06,6.735741439509199e-08,6.481344863245281e-07,7.122781402235379e-10
