milliseconds,Abeta,AbDim,AbP,Nep
0,9.375142036340917e-07,2.165326754824615e-13,-4.440715156238618e-18,1000.0000000105476
100,8.9901177487022e-07,1.9361528478209193e-13,9.087770296992106e-19,999.9999999828657
200,5.7810049645239145e-06,4.76720848462555e-14,5.370348928348674e-18,999.9999999441037
300,3.963519312883578e-06,-5.76749029075756e-14,5.192073704666062e-18,999.9999999328501
400,6.848675915203147e-06,-1.8480421122150183e-13,1.0194750324462388e-18,999.9999999419014
500,6.86884879490491e-06,-2.8896795218144325e-13,5.209660248307731e-18,999.999999925944
600,9.569240035293658e-06,-6.18721320136589e-13,4.381718143603794e-18,999.9999998677293
700,1.4259105764841363e-05,-4.969848820277317e-13,5.224591577099305e-18,999.9999998915388
800,1.605113522418896e-05,-3.398195684530869e-13,-2.5295877627357566e-18,999.9999998429138
900,1.6623494174528833e-05,-4.323550878805566e-13,-3.0594499242785855e-18,999.999999821353
1000,1.861267284060605e-05,-9.6462718170223e-13,2.6543389874660537e-18,999.9999998129664
1100,1.8658873784198466e-05,-6.628709533338761e-13,6.2509393230260536e-21,999.999999786299
1200,2.1726804857456458e-05,-9.182477268571287e-13,5.3682191339780935e-18,999.9999998019185
1300,2.1786920195225283e-05,-6.471977327749969e-13,-6.138570923697938e-19,999.9999997687884
1400,2.6054644105311295e-05,-1.3964578628422212e-12,2.6924781341260836e-18,999.9999997445203
1500,2.6158425483447323e-05,-8.582595005595755e-13,3.553329034350155e-18,999.9999997378142
1600,3.186972023419546e-05,-1.515270603953764e-12,1.1107148706119634e-17,999.9999996988637
1700,3.1408215836854894e-05,-1.5390415526868102e-12,1.1619961051759532e-17,999.9999996712659
1800,3.358221309128138e-05,-1.5801827567021251e-12,6.7017000288451246e-18,999.9999996593908
1900,3.808281628260679e-05,-2.2097148922560315e-12,9.145832980728583e-18,999.9999996676999
2000,3.779248874155293e-05,-1.922146779362909e-12,1.6963737599871835e-17,999.9999996239959
2100,4.0448424773631663e-05,-2.40301182149842e-12,1.0987007275717283e-17,999.999999627143
2200,3.861095312892824e-05,-2.8958795977950747e-12,1.459168503158893e-17,999.9999996196183
2300,4.195323020088635e-05,-3.2481854877602335e-12,2.5750516719010764e-17,999.9999995885312
2400,4.273752580253312e-05,-3.4227558960855454e-12,2.2205748024335527e-17,999.999999563978
2500,4.63488409011498e-05,-3.70414976488011e-12,2.4882582238577284e-17,999.9999995626993
2600,4.9723476990667015e-05,-4.04236461080315e-12,2.6407075731640257e-17,999.9999995064885
2700,4.837424052769793e-05,-3.901805169588047e-12,3.0487973202388116e-17,999.9999994985787
2800,5.025615780954854e-05,-3.984720704802435e-12,3.550972419205292e-17,999.9999994951471
2900,5.273298571989957e-05,-5.022403282263148e-12,3.6548522711359926e-17,999.9999994876155
3000,5.354678684080294e-05,-4.978290426624768e-12,4.9338396592502195e-17,999.9999994405366
3100,5.75897271654971e-05,-4.917702331436659e-12,5.3509121356214935e-17,999.9999994584145
3200,5.78194216082355e-05,-5.232729099101604e-12,4.967004297470727e-17,999.999999409873
3300,6.109818097108044e-05,-6.002713438064522e-12,6.144129853441608e-17,999.99999939682
3400,6.476725447383587e-05,-6.702223383976265e-12,6.672887281328973e-17,999.9999994104229
3500,6.605638175261375e-05,-6.617156145689614e-12,6.935673307248001e-17,999.9999993526475
3600,6.600417416489708e-05,-7.281451523089447e-12,7.525991265557603e-17,999.999999350614
3700,6.767559728271384e-05,-7.746716759362782e-12,7.55279942183154e-17,999.999999329028
3800,7.093691468430688e-05,-7.807330869320915e-12,8.647649341512515e-17,999.9999993246122
3900,7.101617696531221e-05,-8.65323270757525e-12,8.947501190251081e-17,999.9999993239451
4000,7.608191948369389e-05,-8.964111804570009e-12,9.379866347865895e-17,999.9999993034046
4100,7.855307532607238e-05,-9.17674283526733e-12,1.0138275857742447e-16,999.9999992429337
4200,8.033528022962482e-05,-9.85927779840931e-12,9.960953564956389e-17,999.9999992515623
4300,8.148093862343284e-05,-9.891240225284352e-12,1.0763949162858472e-16,999.9999992267325
4400,8.182730931163802e-05,-1.080792787376565e-11,1.185712001406785e-16,999.9999992152999
4500,8.173023673455486e-05,-1.1450305833437365e-11,1.2408897539944886e-16,999.9999991894101
4600,8.821242605540221e-05,-1.1527377288864962e-11,1.379458229082741e-16,999.999999198447
4700,8.465110162853775e-05,-1.2105702417942024e-11,1.4984536032090532e-16,999.9999991406297
4800,9.101428826335745e-05,-1.2730255700573608e-11,1.6505281234264318e-16,999.9999991500575
4900,9.332851628217323e-05,-1.299014990018189e-11,1.8558653382699673e-16,999.999999116931
5000,9.245032769726074e-05,-1.3699777152196393e-11,1.9879046485646724e-16,999.9999990877652
