milliseconds,Abeta,AbDim,AbP,Nep
0,-5.093569497065063e-07,2.5495027717815123e-13,-3.6927031009046056e-18,1000.0000000079699
100,1.58004677254658e-06,8.158731159140243e-14,-3.0797167318605828e-18,999.9999999627018
200,6.063935019963555e-06,-1.0771329907281633e-13,1.1902013755204848e-18,999.9999999676535
300,7.54504040475215e-06,-2.1498239180781652e-14,-4.342995490274111e-19,999.9999999632465
400,1.0176783339615293e-05,-4.249908991478767e-14,-2.7505209426646194e-18,999.9999999488184
500,1.1961084088283231e-05,-3.4005455539022184e-14,6.671067197727571e-19,999.9999999191549
600,1.0076584000605826e-05,2.1190757446028443e-13,-4.883408583302451e-18,999.9999998764093
700,1.139497674541286e-05,-4.490941716134526e-13,6.629720365237734e-19,999.999999858505
800,1.2620978346720358e-05,-3.2126861498579983e-13,-1.8901531816269107e-18,999.9999998669698
900,1.630987879592813e-05,-5.945578636346286e-13,-2.6334792143501805e-18,999.9999998464815
1000,1.5918727119967165e-05,-8.9578515420596e-13,4.479998182190034e-18,999.9999998276747
1100,1.9266795983746165e-05,-7.448710284725091e-13,-1.4189128070266837e-18,999.9999997881145
1200,2.4682977564869956e-05,-1.1643009329343355e-12,6.345908474524295e-18,999.9999997629874
1300,2.490566130488796e-05,-1.344206596661227e-12,-7.453785393372289e-19,999.9999997413815
1400,2.6911606816929994e-05,-1.3219640233165e-12,6.3313845218044335e-18,999.9999997689715
1500,2.7944921521970225e-05,-9.403940716528338e-13,3.3389927278525342e-18,999.9999997348742
1600,3.205308051734349e-05,-1.3147850274979094e-12,2.296006805137967e-18,999.9999997177733
1700,3.066423476488542e-05,-1.3421459055834e-12,1.0358894722794713e-17,999.999999694848
1800,3.188817703161514e-05,-2.102048680840811e-12,4.332014440184369e-18,999.999999690157
1900,3.587148803773349e-05,-1.9234548786691666e-12,1.511956314670742e-17,999.9999996428959
2000,3.537641701290888e-05,-1.8392034774855926e-12,1.1395130840585745e-17,999.9999996440265
2100,3.716282297913589e-05,-2.2292108525606455e-12,1.9867657449276305e-17,999.9999996153055
2200,4.35951201982128e-05,-2.7528648148298548e-12,1.9500473466998237e-17,999.9999996173171
2300,4.285191064647753e-05,-3.1426685056178294e-12,1.8497063437446478e-17,999.9999995899507
2400,4.427949360183889e-05,-3.429030144631068e-12,2.0613679151018792e-17,999.9999995547163
2500,4.699506690556639e-05,-3.3424656725639344e-12,2.43003511992219e-17,999.9999995692713
2600,4.6337476568175805e-05,-3.844932688077079e-12,2.867760104161038e-17,999.9999995532027
2700,5.099686801325039e-05,-4.347269651436277e-12,3.308263328555011e-17,999.9999995164316
2800,5.044954298402746e-05,-4.076312104786448e-12,4.0694932004537014e-17,999.9999994938453
2900,5.547981739504743e-05,-4.525476330319003e-12,4.6128543190313906e-17,999.9999994720793
3000,5.3994770602070183e-05,-5.184076937340673e-12,4.8611483075461446e-17,999.9999994542586
3100,5.830051713912857e-05,-5.2709706510798605e-12,4.833957212698151e-17,999.9999994646068
3200,6.186180613603668e-05,-5.234722421163854e-12,4.8780797939513717e-17,999.9999994382623
3300,6.170799439733437e-05,-5.816967376639916e-12,6.29032139461099e-17,999.9999993899413
3400,6.55109372630499e-05,-6.628582175677696e-12,6.386522097340392e-17,999.999999366998
3500,6.654144954909433e-05,-6.854035867730345e-12,6.924975699234396e-17,999.9999993855695
3600,6.686847052997273e-05,-7.29399669328055e-12,7.211289954410439e-17,999.9999993719794
3700,6.998156273022454e-05,-7.1325163290999044e-12,7.820803344698826e-17,999.9999993129896
3800,7.237257520518542e-05,-8.14911370821333e-12,8.040178162913193e-17,999.9999993103619
3900,7.032212801192663e-05,-8.644229738187031e-12,8.571232166356925e-17,999.9999993139138
4000,7.557165223134627e-05,-8.574282924731456e-12,9.549358553081021e-17,999.9999992606778
4100,7.54635783386633e-05,-8.878016491477942e-12,1.0088899822748991e-16,999.9999992762508
4200,8.031664356890153e-05,-9.787777228249303e-12,1.0411786744749357e-16,999.9999992374411
4300,8.041085232572013e-05,-1.050111041848657e-11,1.0638495787736713e-16,999.9999992129744
4400,8.368407711051515e-05,-1.0946672939002768e-11,1.187866281859163e-16,999.9999992193772
4500,8.537039207449607e-05,-1.1297189212817527e-11,1.2030950890291188e-16,999.9999991994076
4600,8.393044632166987e-05,-1.1993958708976192e-11,1.356298385409786e-16,999.9999991498149
4700,8.663220988668226e-05,-1.2003451365472563e-11,1.5272644621127262e-16,999.9999991479484
4800,9.064774058168205e-05,-1.233746654740521e-11,1.6962362469761448e-16,999.999999135264
4900,9.21931312463303e-05,-1.329822497162467e-11,1.7841997881235e-16,999.9999991233286
5000,9.346392074097554e-05,-1.3808604025180747e-11,1.9763844994887087e-16,999.9999991121329
