milliseconds,Abeta,AbDim,AbP,Nep
0,1.5702325443400032e-06,3.940887151346891e-13,2.5066558829200815e-18,999.9999999820283
100,1.4195283955796627e-06,-2.7704983914133964e-14,3.1512517102633918e-18,999.999999961509
200,1.3784271726303752e-06,-9.342048896817854e-14,7.90448138165528e-19,999.9999999893902
300,5.5875225015066465e-06,-1.935885889990571e-13,-5.222145431101932e-19,999.9999999555879
400,5.71922904032176e-06,1.8984450135091286e-15,-2.6880511297595527e-18,999.9999999224877
500,7.874493307362749e-06,-1.705865048993842e-14,-4.600877508887787e-20,999.9999998959358
600,1.3156124576306125e-05,1.0828317581254325e-13,-4.399940628545891e-18,999.999999895518
700,1.4983322397160475e-05,-6.435217140009393e-13,-1.81151949038522e-18,999.9999998869653
800,1.5419162848669892e-05,-4.578349528527625e-13,5.3661753242499674e-18,999.9999998443853
900,1.7500222491537298e-05,-1.1213239405266754e-13,-8.384869204718876e-19,999.9999998217951
1000,1.739630984373759e-05,-3.592406145747764e-13,3.1045775164380438e-18,999.9999998045397
1100,2.0654259029099442e-05,-3.5040070461119184e-13,7.131401840829895e-18,999.9999997792356
1200,2.2609904786603468e-05,-4.0565283277481043e-13,7.946704331252499e-19,999.9999998099918
1300,2.197505195764904e-05,-8.471838720391132e-13,6.2693419035513194e-18,999.9999997570748
1400,2.3480275913476317e-05,-8.030856165024177e-13,3.675392736335778e-18,999.9999997573856
1500,3.0298348521652358e-05,-1.6503678111829151e-12,5.531197585138584e-18,999.9999997370819
1600,2.983439430942852e-05,-1.4421280224770607e-12,6.286465591862141e-18,999.9999997218598
1700,3.361940579205748e-05,-1.855065585809825e-12,1.1487374547874255e-17,999.9999996797281
1800,3.5270907781182526e-05,-1.70468786777245e-12,6.591102914111512e-18,999.9999996776965
1900,3.4219652778525237e-05,-1.5946375531757038e-12,9.625777532932206e-18,999.99999965206
2000,3.535952518778001e-05,-1.8346511860115e-12,7.318406750198012e-18,999.9999996624001
2100,4.153276608617185e-05,-2.5753093803225186e-12,1.976658049194358e-17,999.9999996374777
2200,4.101313312572102e-05,-2.80278030341832e-12,1.3482791074652849e-17,999.9999996237783
2300,4.030294602046646e-05,-2.860108115284558e-12,2.3801893357964145e-17,999.9999995604976
2400,4.5019260852006896e-05,-2.916288470166056e-12,2.3219237558740077e-17,999.999999552329
2500,4.5457768556635666e-05,-3.4214558586386327e-12,2.2414896556917234e-17,999.9999995737265
2600,4.958959585622151e-05,-3.883792854474563e-12,2.9514950513593834e-17,999.9999995357445
2700,5.289074326482993e-05,-4.333486825556397e-12,3.7349850812823845e-17,999.9999994952751
2800,5.248944426877492e-05,-4.441813584276827e-12,3.7703314715098215e-17,999.9999994720021
2900,5.250077519152647e-05,-4.707487395511285e-12,3.941353339807885e-17,999.9999994698283
3000,5.679013450588878e-05,-5.024764687750831e-12,4.968174906292722e-17,999.9999994340232
3100,6.0366099866689575e-05,-5.354547703812785e-12,5.028730889916386e-17,999.9999994486724
3200,5.910706405063814e-05,-5.56476439563724e-12,5.804766405402313e-17,999.9999994165354
3300,6.320188980776829e-05,-6.074576222869417e-12,5.934780626012499e-17,999.9999993959174
3400,6.599688469951454e-05,-6.309699843049125e-12,6.1084703171904e-17,999.9999994120227
3500,6.295204362285574e-05,-6.807606307909108e-12,6.46036144519295e-17,999.9999993644954
3600,6.842600696205909e-05,-7.400195256004046e-12,6.996511211405429e-17,999.9999993636662
3700,7.051112542669762e-05,-7.479803141583929e-12,7.258055695079308e-17,999.9999993515804
3800,7.334473655296992e-05,-8.179943653001429e-12,8.536923619315749e-17,999.9999993249845
3900,7.443535867635934e-05,-8.453142573834765e-12,8.421273241423257e-17,999.9999993076559
4000,7.328697577088257e-05,-9.170734487170844e-12,8.771923625405451e-17,999.9999992548903
4100,7.842482616536021e-05,-9.189601487961047e-12,9.733935709901697e-17,999.9999992623694
4200,7.9478305538597e-05,-1.0067844555673605e-11,1.0747127252147641e-16,999.9999992592551
4300,8.109347597035222e-05,-9.734498848739537e-12,1.0824411938178138e-16,999.999999249381
4400,8.422941379087291e-05,-1.0811992109235419e-11,1.110274687959618e-16,999.9999992022908
4500,8.243830939011387e-05,-1.0874016096038831e-11,1.2446201865867447e-16,999.9999991997048
4600,8.3320173372159e-05,-1.1757844724687121e-11,1.33558379277654e-16,999.9999991618919
4700,8.723883106290681e-05,-1.201439441228516e-11,1.4712976912391167e-16,999.9999991734763
4800,8.715393787749558e-05,-1.2376104364189658e-11,1.6855033202160242e-16,999.9999991456946
4900,9.30593831030461e-05,-1.3318090571686425e-11,1.8504122490700806e-16,999.9999990981574
5000,9.082603890396596e-05,-1.3630312590114977e-11,1.964186064278878e-16,999.9999990816511
