milliseconds,Abeta,AbDim,AbP,Nep
0,4.917482809857293e-07,1.9696802401125837e-13,-7.750013131552569e-19,999.9999999856772
100,1.1722330877317808e-06,1.2021585408949332e-13,-4.0497079407228184e-18,999.9999999854697
200,4.6968047802653005e-06,-3.9832254194671973e-13,-1.0090258154799405e-19,999.9999999885896
300,4.642914672752816e-06,-6.645259078175371e-14,5.055237095509066e-18,999.9999999468486
400,7.2429843750387015e-06,-3.651340795582239e-13,1.343083213642339e-18,999.9999999107249
500,1.1469720799683605e-05,-2.1089971411814145e-15,2.307532964142126e-18,999.9999998926428
600,1.0274063005019984e-05,-5.33028068995609e-13,-2.3849044876058766e-18,999.9999998905821
700,1.256733579853061e-05,-2.1731779551428534e-13,-2.5580888497358295e-18,999.999999892709
800,1.398249334512415e-05,-9.032781805139643e-14,2.4436818755128117e-18,999.9999998717008
900,1.5785756231821347e-05,-6.375409808837877e-13,6.055799327518336e-19,999.9999998234146
1000,2.1101502905960653e-05,-7.870768801421847e-13,-2.605385576936055e-18,999.9999998322579
1100,2.222175318649958e-05,-9.080348700645293e-13,4.412949963397553e-18,999.9999997910435
1200,2.2713804855904913e-05,-6.681346057826396e-13,1.2679505378214211e-18,999.9999997728527
1300,2.1811542617441168e-05,-7.213499127439669e-13,4.900699966976656e-18,999.9999997848695
1400,2.4152573153821894e-05,-7.54554321446284e-13,7.770258330474706e-18,999.999999738383
1500,2.925815643802951e-05,-1.1950325619174618e-12,2.618904321186199e-18,999.9999997304386
1600,2.925987929259059e-05,-1.3833718837722824e-12,2.8971342662399644e-18,999.9999997148681
1700,3.0050815536399617e-05,-1.892865231297641e-12,8.120012126728605e-18,999.9999996912272
1800,3.52173483824119e-05,-1.5945345870620534e-12,4.922499282557466e-18,999.9999996501314
1900,3.751473645509296e-05,-1.6027191734585528e-12,1.2944796790233791e-17,999.9999996363384
2000,3.483653638098122e-05,-2.4232296034358616e-12,1.6326790333951504e-17,999.9999996378831
2100,4.156675088842807e-05,-2.608212866753164e-12,9.731731732164305e-18,999.9999996397697
2200,4.2891247558996035e-05,-2.43724195127576e-12,1.5155696393756244e-17,999.9999995783534
2300,4.3327552017712025e-05,-2.8759900138429594e-12,1.842949803517203e-17,999.9999995596054
2400,4.683771258389451e-05,-2.7812921665214377e-12,2.3000330269650564e-17,999.9999995852721
2500,4.3810233757582595e-05,-3.284981934606933e-12,2.4918634431496264e-17,999.9999995436092
2600,5.057196627653872e-05,-3.868262201099601e-12,3.531025022157142e-17,999.9999995469905
2700,5.05948407684048e-05,-4.258764318070702e-12,2.953966079198335e-17,999.999999520766
2800,5.051207077142245e-05,-4.448701681506523e-12,4.0905021167754026e-17,999.9999995043858
2900,5.2031797368354094e-05,-4.806133633627658e-12,4.586098824374286e-17,999.9999994975037
3000,5.7936180395677524e-05,-5.270621287560789e-12,4.049593122486389e-17,999.9999994609803
3100,5.925372021392512e-05,-5.35115573535582e-12,4.477842552075202e-17,999.9999994339903
3200,5.69611109365239e-05,-5.305948660941287e-12,5.4937269060023116e-17,999.999999418796
3300,6.092233595825506e-05,-6.249244191954438e-12,5.40296150711599e-17,999.999999401297
3400,6.10847328101688e-05,-5.999276929448107e-12,6.062639674257171e-17,999.9999993714946
3500,6.607949274852219e-05,-6.499237280567317e-12,6.901329686108699e-17,999.9999993803259
3600,6.686937142218046e-05,-7.114690007708129e-12,6.922717262233064e-17,999.9999993428477
3700,6.666967745178257e-05,-7.922460935824938e-12,7.30453434339484e-17,999.9999993155518
3800,7.049579806652145e-05,-8.052659128756875e-12,8.561350803285241e-17,999.9999993240104
3900,7.352823904789445e-05,-8.746238311735811e-12,8.664632533803488e-17,999.9999993156282
4000,7.44273225273183e-05,-8.608740241396609e-12,9.492850262323852e-17,999.9999992537998
4100,7.650268982673774e-05,-9.101969259993231e-12,1.0174966209083522e-16,999.9999992635568
4200,7.554205805154061e-05,-9.745192912848672e-12,1.0329084078405189e-16,999.9999992415496
4300,8.080144316278517e-05,-1.039791009651713e-11,1.1018889134784186e-16,999.9999992324915
4400,8.227485243905986e-05,-1.0862004918948455e-11,1.1634146621485905e-16,999.999999198521
4500,8.213406559254996e-05,-1.12809133936347e-11,1.248384858502668e-16,999.9999992101518
4600,8.760909060528267e-05,-1.1726946157944744e-11,1.360173691068423e-16,999.9999991736732
4700,8.972937419088125e-05,-1.2473115785904182e-11,1.439365701906825e-16,999.9999991353728
4800,8.664556130827702e-05,-1.253729660067285e-11,1.6534317568476712e-16,999.9999991565286
4900,9.068520835298453e-05,-1.3311505247735138e-11,1.8254237968297748e-16,999.99999909877
5000,9.082198843186368e-05,-1.3501255681035928e-11,1.9679323997163712e-16,999.9999990790516
