milliseconds,C,E,B,P
0,100011.59219039981,0.0,7713.675448937453,3.6351503487775814
100,99992.85721851976,0.0,102352.4687396173,901.0401952690328
200,100065.42122993644,0.0,146832.42375870128,903.3971682685976
300,100111.59621069145,0.0,116808.1765032164,924.4137065578643
400,100113.88195173591,0.0,212021.36379763062,902.9695518854809
500,100133.89241300846,0.0,275015.73033617507,919.3511520096843
600,100246.28261508816,0.0,340036.6284403749,921.8502963515299
700,100185.89446568057,0.0,499350.04627174593,914.8972096035376
800,100262.78988904806,0.0,483402.9481502885,903.2798450614248
900,100281.67401598276,0.0,612178.1524914495,912.6793289678267
1000,100297.59816957655,0.0,561204.1340335412,912.1422171357051
1100,100410.43859706217,0.0,627883.5424606464,921.8629780902027
1200,100368.12421403703,0.0,757301.278670114,923.8006672672343
1300,100386.91573531246,0.0,720719.8498692663,921.769039727979
1400,100483.1924768428,0.0,865207.3075034763,903.1417428659323
1500,100478.10765781913,0.0,973398.2131108476,916.9581338102357
1600,100572.27611507836,0.0,1031273.4179133135,921.3154925739076
1700,100553.46282425008,0.0,1003168.1658239962,916.8605236214496
1800,100554.01334187262,0.0,1052177.7273229524,925.5226699887105
1900,100648.75244785107,0.0,1052583.7296666708,910.002251011295
2000,100673.49678542992,0.0,1210998.4950676942,908.2924791059716
2100,100717.6569300487,0.0,1178906.6803585882,901.8523736493123
2200,100758.73020722027,0.0,1358969.5541065044,901.0917653982433
2300,100759.52234872451,0.0,1262395.443381601,925.7754040319224
2400,100825.98448072294,0.0,1420046.3995870024,911.5482338002024
2500,100824.57988915319,0.0,1380313.3004745252,919.467806927663
2600,100839.96951650416,0.0,1555753.726510005,921.9479991057002
2700,100920.38970376187,0.0,1567489.8060276366,925.3061179174322
2800,100950.51246040073,0.0,1600483.1311139676,917.7673362968136
2900,101005.10924028516,0.0,1663281.257120799,919.7099990957291
3000,100958.45110604739,0.0,1626800.664193895,909.1170310083044
3100,101012.91711275424,0.0,1734447.460185216,906.8024571914141
3200,101035.23899157389,0.0,1724944.8158298077,924.9644227849833
3300,101054.28238814155,0.0,1850102.3274070655,917.1473289212483
3400,101177.34706602551,0.0,1933639.2669658896,921.9415044851199
3500,101120.96934091732,0.0,1907239.6136126022,905.2848404593209
3600,101238.8293650615,0.0,1912371.3426267584,922.4506234224212
3700,101243.90131640826,0.0,1936121.3280472648,902.7225564113139
3800,101254.58695316964,0.0,2128692.6299766693,904.4392969191254
3900,101334.6953139988,0.0,2162193.7478227178,907.6539837286838
4000,101281.29202240602,0.0,2116153.110245802,916.8171309150806
4100,101391.39981580085,0.0,2180902.1846699896,911.4987730413977
4200,101398.54634488662,0.0,2267332.167816388,914.421436972179
4300,101391.19971056956,0.0,2196376.959905079,924.635607921358
4400,101480.90005981184,0.0,2326705.6083378103,906.0881545607645
4500,101472.68009140377,0.0,2367634.8437305456,903.9781706877576
4600,101523.26763469022,0.0,2372760.7292045187,916.0818565982514
4700,101549.10515525567,0.0,2469651.0042882003,903.9245644750939
4800,101578.54383159505,0.0,2441822.0499212495,914.8740383859977
4900,101651.9797726848,0.0,2586755.5224845666,913.358029111068
5000,101679.04512491926,0.0,2492751.3795094346,910.1367264592038
