milliseconds,C,E,B,P
0,100021.40701595382,0.0,71300.90019006521,8.610509485975227
100,100037.47607020073,0.0,107508.47099004553,924.5188894475629
200,100050.99944488483,0.0,61729.402344859045,919.9116077132633
300,100098.05387896117,0.0,251807.68181420024,906.3284130595003
400,100125.45828921546,0.0,199193.62295795605,903.7756762804152
500,100147.73648610218,0.0,321321.4656234228,914.4295110453804
600,100232.22560111416,0.0,331101.90617004817,914.516839569369
700,100223.60934776769,0.0,472414.8728702077,909.033179502686
800,100229.27361898143,0.0,455693.00551334594,909.2756918386771
900,100343.74085334764,0.0,557041.0959391744,918.0955414347034
1000,100297.24877479507,0.0,672215.8625689058,925.181062451715
1100,100347.72080304987,0.0,752133.4426696919,924.8166406962108
1200,100372.71487525049,0.0,781212.3142414169,913.8023241108432
1300,100420.65387074766,0.0,799207.6975816501,901.0100804122379
1400,100482.96290241007,0.0,914048.7908976021,907.926942105651
1500,100518.20468013686,0.0,954723.1084463627,916.7850786432712
1600,100495.95431156455,0.0,994691.1504364521,902.5515288783823
1700,100532.32461733217,0.0,962125.2291208565,918.5863088429879
1800,100632.68594257931,0.0,1033828.3356434993,917.881195361277
1900,100623.75162651968,0.0,1082361.4050042792,918.0349229451873
2000,100631.16656269837,0.0,1143998.4335866922,912.3484054514541
2100,100677.21779723806,0.0,1298002.989708632,911.1313938304141
2200,100735.85773504415,0.0,1339271.4653104956,915.7045469628988
2300,100798.71295080263,0.0,1393407.3827241696,905.7433952059748
2400,100836.85750145231,0.0,1343951.532113187,923.4560145058264
2500,100853.89177606047,0.0,1469728.8767609063,908.6098010719385
2600,100866.56995078918,0.0,1435513.1337958972,920.0488096797753
2700,100893.98975064498,0.0,1484783.9618324442,924.1912638647462
2800,100901.02482925214,0.0,1566218.13979639,924.609019776501
2900,100927.82427312944,0.0,1578384.058368717,920.1450420046696
3000,101011.71208642647,0.0,1648666.3124310027,925.8678523513167
3100,101014.44143148465,0.0,1693714.2053719095,910.9172455074545
3200,101028.01751802395,0.0,1784835.843380202,915.62340196774
3300,101098.84901527378,0.0,1806957.5088411202,922.2089049711088
3400,101105.4117219838,0.0,1810334.8798355416,913.7925287901891
3500,101206.86943241325,0.0,1940561.1220026063,912.6820404463533
3600,101153.57543252905,0.0,1938314.7109079123,921.8210214075665
3700,101196.50551944165,0.0,2029800.4568242424,910.2809891720451
3800,101245.38062706185,0.0,2052735.9431497944,907.2679080954244
3900,101247.02719557603,0.0,2028705.5602262984,909.9367034836736
4000,101343.83956868152,0.0,2089716.2761496534,907.0551641792105
4100,101350.1158605985,0.0,2120799.8555883877,912.6974587158807
4200,101422.9644966416,0.0,2245788.48887854,911.1176799115786
4300,101446.44913669709,0.0,2239319.6434348263,919.6061583701635
4400,101507.015072459,0.0,2381891.189772632,909.7298710577434
4500,101539.07697900277,0.0,2387750.1910746256,907.4312344505236
4600,101547.43196008404,0.0,2469367.1040814626,908.3816958861133
4700,101603.60491448334,0.0,2420597.2147936053,914.3482350902336
4800,101589.77432351504,0.0,2493027.948714875,911.5997333456218
4900,101582.86378507802,0.0,2469583.494673113,911.3645355390025
5000,101649.91025839439,0.0,2502347.681094924,916.3191140141679
