milliseconds,C,E,B,P
0,99952.54415601419,0.0,7810.136644149539,-1.821781958604653
100,100046.9390750351,0.0,85398.40265923011,909.9256549004227
200,100071.8917658511,0.0,136444.99262944696,903.1069812809866
300,100112.48390536052,0.0,257499.92277456576,901.307867375354
400,100095.51880084905,0.0,276347.66872368386,915.2492243337657
500,100149.68703231581,0.0,361934.69664711616,905.6561408312343
600,100157.31397714667,0.0,334760.90069494507,914.9860817124481
700,100222.63460014497,0.0,420204.2688808365,908.4689081195019
800,100219.0832902571,0.0,469770.89052659814,911.5431438836644
900,100286.74824162007,0.0,559290.7942403753,913.4124594434898
1000,100341.61412115874,0.0,612889.8662170576,901.7598968127655
1100,100351.84886376643,0.0,653535.1214879922,912.1544087169342
1200,100444.5591394788,0.0,705578.7000439449,900.8038560579007
1300,100421.59666385718,0.0,834081.9355645975,916.0243449679725
1400,100488.23994821777,0.0,913954.7605660729,917.8910091029514
1500,100468.47963554745,0.0,882809.4429425575,918.9671327670269
1600,100565.6970378993,0.0,916553.0412418868,904.913877956007
1700,100538.74851355888,0.0,943152.5013825588,920.5197435796211
1800,100573.74473794531,0.0,1130809.1074423897,916.8832347233765
1900,100631.69627756774,0.0,1098216.2913442317,923.6269469973934
2000,100628.5229287919,0.0,1126702.562442672,905.5232122775152
2100,100677.00143451351,0.0,1252788.844783459,919.2029682360978
2200,100763.59984961242,0.0,1304474.171937796,900.96069454707
2300,100796.563594339,0.0,1343906.2662877725,917.2020846303224
2400,100794.75892953474,0.0,1456516.2571208172,923.3192944766581
2500,100813.0956860067,0.0,1387380.3154499028,917.7825107919717
2600,100831.85726324876,0.0,1523605.2325363157,913.07554828093
2700,100934.41075635834,0.0,1600636.2423930287,924.1521188579303
2800,100927.365345894,0.0,1635179.9174344735,902.3608986736169
2900,100960.8049603465,0.0,1561405.544867219,912.3473872907109
3000,100995.28731262953,0.0,1752212.9140250012,900.7969249821647
3100,100992.5199367234,0.0,1666928.0735381779,919.022115334365
3200,101042.87985771104,0.0,1851118.5798228304,904.2634645733757
3300,101132.4269948099,0.0,1782520.5028988065,910.9690081560935
3400,101099.9231593694,0.0,1807264.9987507032,905.8440970538794
3500,101123.32356164943,0.0,1916764.17680444,913.3903201837744
3600,101196.48757429274,0.0,1926187.5664570103,919.7103109350749
3700,101205.28318712175,0.0,1998665.8512979841,913.091939793646
3800,101241.31045162785,0.0,2105899.681954769,923.6803526083711
3900,101255.10163176237,0.0,2064198.193109319,901.2431376442713
4000,101366.81340730516,0.0,2156141.328218784,917.3585049122612
4100,101335.77757900248,0.0,2149859.597281046,910.6456287889031
4200,101364.31050849358,0.0,2217850.83680058,925.4934511066858
4300,101464.14267869528,0.0,2289860.0950131966,908.2183213212384
4400,101425.6871374029,0.0,2271942.1628011223,905.7617059029316
4500,101476.60742243231,0.0,2420294.696985483,918.5893961666417
4600,101531.20902792709,0.0,2454901.0148125915,903.2236089708139
4700,101611.28045659659,0.0,2457220.458322133,915.8800594084145
4800,101580.07359821253,0.0,2517257.1391121517,926.1111081149934
4900,101608.33057600902,0.0,2464253.421460883,922.2705056967575
5000,101654.83746093456,0.0,2613595.112585481,916.7116131576734
