milliseconds,C,E,B,P
0,100040.4879824017,0.0,52199.34824508625,-7.031238387042302
100,100036.64206890852,0.0,37217.14541322927,905.1370283828513
200,100040.67964149182,0.0,164269.66467811633,923.2813879834666
300,100105.93567092871,0.0,144064.9453616343,904.0816761548779
400,100154.24785718099,0.0,242845.10006003611,904.6440176217789
500,100131.60419315995,0.0,256701.20383763348,910.7662246319296
600,100232.15153224661,0.0,338030.40054593043,905.66034184657
700,100195.68464907068,0.0,367000.93710459466,918.8941713058664
800,100307.88477615661,0.0,473071.623518458,921.997945014908
900,100338.79161944173,0.0,621377.8897059854,902.7125845481378
1000,100340.37722990438,0.0,676943.0697060787,919.891878870126
1100,100353.58499170818,0.0,662461.4495324447,902.6729554068647
1200,100406.55339993857,0.0,753006.1866915177,917.2753288706992
1300,100400.0829057122,0.0,837079.239543663,922.2870996785542
1400,100441.39180801692,0.0,792962.9948946836,916.3876751365871
1500,100508.01770623738,0.0,846653.0958019977,916.3446382980334
1600,100499.87604258607,0.0,927198.1097172663,902.7696701332723
1700,100521.21178984633,0.0,1027850.7713455561,908.99583470785
1800,100611.022505106,0.0,1126318.31344801,911.1655383197093
1900,100581.05243093685,0.0,1107372.8537998875,904.2949880973807
2000,100670.9773815647,0.0,1203834.9069169173,920.5440447169782
2100,100647.21110702744,0.0,1303876.6055192193,901.3933899574845
2200,100704.88568850317,0.0,1270942.6335370573,925.2204655266233
2300,100732.06535162342,0.0,1283971.3950482812,902.9630294168935
2400,100817.30837792685,0.0,1446106.9531011204,913.6837417821342
2500,100786.65640073168,0.0,1436859.951962125,905.9010018604904
2600,100815.06250966048,0.0,1441857.1412866912,921.9498925285085
2700,100896.38235907332,0.0,1512275.330491231,911.0818281532453
2800,100966.30180172894,0.0,1591800.7633186372,911.7894334721537
2900,100971.02597278284,0.0,1630172.15469749,914.6921048371983
3000,101021.92053511732,0.0,1737112.8738979385,914.2471503432153
3100,101060.20899644351,0.0,1669573.325255402,901.9240544843504
3200,101018.28764668437,0.0,1741581.1558685107,905.3000254813613
3300,101081.0719866557,0.0,1781022.3778242033,924.5640239910865
3400,101082.71252431127,0.0,1927318.683872948,902.2688314294769
3500,101209.86046660472,0.0,1981614.305306521,925.4542355400072
3600,101181.88988413104,0.0,1914507.2851597352,917.6749055728185
3700,101273.62113957058,0.0,2082549.0187265459,906.5889588720626
3800,101294.34744872012,0.0,2077325.238051862,919.7393839584295
3900,101288.68480184187,0.0,2081614.1844311254,915.3222896578267
4000,101336.5446451171,0.0,2109002.006363266,912.9648106152492
4100,101352.07802339544,0.0,2212867.5417537936,917.7418575802373
4200,101427.50662972845,0.0,2206017.4207939054,914.1532536298631
4300,101432.23372219119,0.0,2274755.0946445935,916.0622852712988
4400,101486.98590668448,0.0,2375304.7900019633,911.0271070155087
4500,101484.75511261016,0.0,2340554.0792631186,902.7103710679369
4600,101519.70843274442,0.0,2407951.082068677,910.8468551775155
4700,101579.6154954146,0.0,2500357.7969093295,905.6532536994252
4800,101617.93248947835,0.0,2405084.394453707,917.2613595475989
4900,101583.73743220017,0.0,2499147.712387853,921.1139036524957
5000,101709.42995782054,0.0,2552755.7351282462,906.4194537841362
