milliseconds,C,E,B,P
0,100030.64602630322,0.0,-52328.09459416206,-4.697296128203658
100,100047.9324569249,0.0,-10131.515901604937,921.5754914413698
200,100054.23004901843,0.0,112724.37230387323,909.0641639713225
300,100080.19069240474,0.0,160658.77820794357,913.3994247918661
400,100161.91281081735,0.0,236611.85222110874,912.7270730846691
500,100122.79244514185,0.0,290243.0407591881,920.6790527284389
600,100212.1108174375,0.0,303937.859438286,915.3891252728861
700,100202.26312038826,0.0,423330.8309002565,920.0828829341822
800,100311.60793027615,0.0,543784.4579547016,908.1092984957373
900,100305.6402716922,0.0,549803.209964649,913.9152934467977
1000,100317.7283034784,0.0,549029.8441407522,913.4822380279318
1100,100354.07022704794,0.0,701291.9284728009,919.4617062717626
1200,100417.31693932768,0.0,773003.4906752122,916.6791424131737
1300,100405.31441654365,0.0,723675.7617002595,901.3348222758783
1400,100478.79953008993,0.0,872981.6134761621,913.1413570080072
1500,100454.83826430798,0.0,878582.7952342677,913.8834331403826
1600,100491.79881256004,0.0,960405.1925250662,922.0187784723176
1700,100601.20598034152,0.0,1063257.1101694247,907.292213660309
1800,100561.39924833368,0.0,1059461.4415700075,925.0748543999221
1900,100601.48142645376,0.0,1107389.1108135958,925.7538816210299
2000,100640.288310435,0.0,1216488.7511747943,919.6238417170622
2100,100649.98508577747,0.0,1257549.3522846138,910.3975522159934
2200,100712.16783618463,0.0,1310155.3593255964,923.405889243112
2300,100803.18583748573,0.0,1406062.84615417,908.2378322672665
2400,100765.51339928288,0.0,1352065.16100055,908.17152592112
2500,100828.83770901938,0.0,1473990.4163173765,911.1139929644161
2600,100817.71455849543,0.0,1470897.46203233,924.3351099762057
2700,100852.40926959418,0.0,1577768.5187609633,921.5569298082061
2800,100954.55747601022,0.0,1574812.743707215,907.3690370895023
2900,100990.09535218144,0.0,1583122.7305785362,906.5244740142853
3000,100984.98839381067,0.0,1695341.6676048147,919.9356564478627
3100,101030.97779477225,0.0,1758383.563191193,913.6081345013549
3200,101062.16380283346,0.0,1766147.6399416951,915.0088968988084
3300,101104.6618691284,0.0,1756599.017107438,911.5784982659497
3400,101154.2373053611,0.0,1943341.7996440271,924.6083679690106
3500,101157.40618980363,0.0,1913429.6901430676,904.2410215418539
3600,101223.49661519151,0.0,1960438.7165286886,913.2311644600725
3700,101275.8294945535,0.0,2064132.2173892048,907.813993334379
3800,101219.41710735936,0.0,2112919.642745396,916.2649547541167
3900,101258.84811244179,0.0,2043669.5188837063,924.3974379870676
4000,101359.91690097358,0.0,2084291.3390746713,908.3158111959553
4100,101324.20656209144,0.0,2219138.9520681296,906.4197417184178
4200,101392.87272018348,0.0,2289617.8893883894,904.428611537289
4300,101454.66814670304,0.0,2330712.486207777,910.890514467882
4400,101459.52599470025,0.0,2345966.114022097,918.9359055269031
4500,101543.76331265493,0.0,2349559.191043145,924.4965982417352
4600,101482.81100786214,0.0,2421059.7465437297,910.6501349539876
4700,101547.85446072229,0.0,2429579.4670667034,901.0476981263666
4800,101575.4844717756,0.0,2417083.9478679327,915.4934412411217
4900,101643.18387793197,0.0,2484618.257433729,913.749859079869
5000,101688.40822495321,0.0,2531109.7691284404,924.5775966654774
