milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,damDNA,p53deg,p53syn,mdm2deg,mdm2syn,Mdm2mRNAdeg,Mdm2mRNAsyn,totp53,totMdm2
0,4.992775458849436,5.0002478236233285,94.9932989849135,9.999986357811578,10.0,0.0,200.0,0.0,0.0,0.0,0.008554411100133472,0.005659076256320633,0.0002615745199500034,-0.0001824667526867025,0.00013078312152074075,-1.9768501197429653e-05,100.00030509177746,99.99971982234494
100,5.008521706907315,4.999182689217546,94.99848078123975,9.999938337218609,10.0,0.0,200.0,0.0,0.0,0.0,-0.001442684651304437,0.012716665462338536,-0.00011087574645785063,0.0005587324930582898,0.00013264872665404016,-1.7932208854646228e-05,99.9997185634311,100.00066319517221
200,5.007754868847395,5.004481181588528,94.99175302151097,9.999840412400783,10.0,0.0,200.0,0.0,0.0,0.0,0.014423739204575334,0.015237920114591371,0.000255020106229332,0.001617010252694723,6.573836477827375e-05,0.00016786713696130372,99.99664734527873,100.0008389911381
300,5.014141479693256,5.010503925968382,94.99141787110946,9.999908581363567,10.0,0.0,200.0,0.0,0.0,0.0,0.012816337721950526,0.021690859603750303,0.0003895220992850149,0.0020154263123847885,0.0004036921665690577,0.00017401858859857744,99.99623171722696,100.0007650479589
400,5.014715915810801,5.014531006767415,94.97981316635325,9.99976691288996,10.0,0.0,200.0,0.0,0.0,0.0,0.019936143172631267,0.028625321845137927,0.0007446967807348546,0.0014551595419475074,0.0004773230498950076,0.0001583733135256674,99.99400307381535,100.00074077812592
500,5.03020626122857,5.011892803131376,94.97397760842026,9.999770866350087,10.0,0.0,200.0,0.0,0.0,0.0,0.032806478314284085,0.026492706152898757,0.0011196352680058128,0.0020900979614564973,0.0004739729613988541,0.00023107531510299864,99.99351862624063,100.00176861003249
600,5.029508952534208,5.0203942213754855,94.9674451449419,9.99968928199796,10.0,0.0,200.0,0.0,0.0,0.0,0.054233315716958774,0.04211717958528954,0.0013919727746456703,0.002459653128736569,0.0006289533449863181,0.00037547107215580433,99.99022353466589,100.00149224789324
700,5.0345217582437565,5.024896979693618,94.96434842286703,9.99968551188638,10.0,0.0,200.0,0.0,0.0,0.0,0.05261191633631584,0.049618192042406674,0.0012001069751320153,0.0034781990392176447,0.0006631145639761185,0.0003931604457676459,99.98485809623718,100.00208947922474
800,5.048443966164074,5.023203307725738,94.95437903802092,9.999598572471792,10.0,0.0,200.0,0.0,0.0,0.0,0.06445913455824037,0.04596424269842455,0.0016588281096874768,0.003558234486794458,0.0008464049469449809,0.00037882143924822535,99.98283289626063,100.00210695725114
900,5.04144405876336,5.027212492097315,94.95508642641231,9.99948454043263,10.0,0.0,200.0,0.0,0.0,0.0,0.07229150820954024,0.06150062611861674,0.0017965109607775602,0.0044349522352184366,0.0009988570600831558,0.00048670678659785824,99.98142349099626,100.00224628842368
1000,5.05120359346048,5.027791288974904,94.95035234268616,9.999566824544587,10.0,0.0,200.0,0.0,0.0,0.0,0.07256010687335884,0.06160020788215193,0.002329492234252029,0.005658438700821745,0.0011391430106132572,0.0005622356355927291,99.98256328252577,100.00311511596118
1100,5.059290675107765,5.0329429869359155,94.94866287250228,9.999487671301265,10.0,0.0,200.0,0.0,0.0,0.0,0.09459144106466677,0.06155732088133163,0.002353869538861574,0.00540520364070659,0.001245257929952503,0.0005181858033011876,99.98071506204482,100.00288263819266
1200,5.06973603178356,5.038492710595871,94.93952498686686,9.999371131669022,10.0,0.0,200.0,0.0,0.0,0.0,0.09498377601520312,0.06389534227123395,0.002444538583261798,0.006039823919438734,0.001160832744675417,0.0006560588147785377,99.97671842974775,100.00348950768117
1300,5.0691801242833145,5.041288359786077,94.92980600074527,9.999357015667899,10.0,0.0,200.0,0.0,0.0,0.0,0.10790882271217349,0.07679287444697044,0.0025881034743290535,0.0059189508874874066,0.001411592762546122,0.0006080148578914228,99.9742679456484,100.00341434202846
1400,5.069783427992633,5.048820176737373,94.92437347035532,9.999353564959694,10.0,0.0,200.0,0.0,0.0,0.0,0.09896593469555622,0.08266333438856024,0.0027262487414238985,0.007626989186536401,0.0013299820665094045,0.0006372265277710321,99.97611280299719,100.00402569735517
1500,5.085041078004483,5.0490502094187155,94.91973099140262,9.999257581252595,10.0,0.0,200.0,0.0,0.0,0.0,0.11605601063638515,0.09113847909822914,0.003321062612504583,0.00778235658493308,0.0014700569633528393,0.0006887256679264106,99.97167335015843,100.00408537690988
1600,5.0782317619941,5.052706712986539,94.91401583994099,9.999237055824628,10.0,0.0,200.0,0.0,0.0,0.0,0.1209794205541759,0.10148456748528427,0.0031988275529165307,0.0075057148572923015,0.0015741468964736345,0.000785826597123047,99.97083425972366,100.00481211197729
1700,5.0930064988482515,5.056427556335259,94.9138474094542,9.999111340350035,10.0,0.0,200.0,0.0,0.0,0.0,0.12851724744272464,0.10727963537591922,0.0040354251847576775,0.008357171605557965,0.0016191450085964673,0.0008574066769585374,99.97104412051262,100.00437002115125
1800,5.08811262264778,5.060790869646687,94.9088506487179,9.999108222355854,10.0,0.0,200.0,0.0,0.0,0.0,0.13499763620036612,0.11317366464338763,0.003668883154701162,0.008484855622129802,0.0017101737531345883,0.0009226866555866619,99.96903950983919,100.0049032733293
1900,5.092776816179102,5.059703774981078,94.9079910588058,9.99904878936211,10.0,0.0,200.0,0.0,0.0,0.0,0.14392810376937398,0.1222623286255764,0.0042855478287109556,0.010060481621515684,0.0020037512138540037,0.0009739818210903104,99.96473549395806,100.00542246885549
2000,5.098281268568043,5.061805524636862,94.90573311758132,9.998961630062997,10.0,0.0,200.0,0.0,0.0,0.0,0.1508530760982105,0.11211924987449676,0.004086541927290267,0.010073381884579248,0.002089825472076403,0.0009974036043850594,99.9637289399857,100.00521167208403
2100,5.115622515210877,5.066066248962889,94.89816011953309,9.99902061618239,10.0,0.0,200.0,0.0,0.0,0.0,0.17359791949772102,0.12397779075924852,0.0045981124961901034,0.010682470017826459,0.0021532359634906903,0.0011125956245161234,99.96212545309704,100.00557152089488
