milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.99999999,1e-08,0.0
100,0.9999999900099874,9.995003083250718e-09,9.976431917712811e-18
200,0.9999999900199649,9.990008713469251e-09,1.994168542959022e-17
300,0.9999999900299358,9.985016008173641e-09,2.9899633667306294e-17
400,0.9999999900398965,9.980025809145662e-09,3.984663016372617e-17
500,0.999999990049838,9.975040518041128e-09,4.977227132113758e-17
600,0.9999999900597706,9.970057439103328e-09,5.96882347363967e-17
700,0.9999999900696943,9.965076572332261e-09,6.959452040950354e-17
800,0.9999999900796094,9.960097917727926e-09,7.949112834045803e-17
900,0.9999999900895155,9.955121475290325e-09,8.937805852926028e-17
1000,0.9999999900994129,9.950147245019457e-09,9.925531097591023e-17
1100,0.9999999901093014,9.945175226915321e-09,1.0912288568040791e-16
1200,0.9999999901191812,9.94020542097792e-09,1.189807826427533e-16
1300,0.9999999901290522,9.93523782720725e-09,1.288290018629464e-16
1400,0.9999999901389143,9.930272445603315e-09,1.3866754334098717e-16
1500,0.9999999901487676,9.925309276166111e-09,1.484964070768757e-16
1600,0.9999999901586121,9.920348318895641e-09,1.583155930706119e-16
1700,0.9999999901684478,9.915389573791905e-09,1.6812510132219584e-16
1800,0.9999999901782678,9.910435013158553e-09,1.7791735961598174e-16
1900,0.9999999901880762,9.905483448369269e-09,1.8769693141499212e-16
2000,0.9999999901978752,9.900534260209953e-09,1.9746619405229917e-16
2100,0.9999999902076648,9.895587448680607e-09,2.072251475279029e-16
2200,0.9999999902174451,9.890643013781229e-09,2.1697379184180331e-16
2300,0.999999990227216,9.88570095551182e-09,2.2671212699400046e-16
2400,0.9999999902369775,9.88076127387238e-09,2.364401529844943e-16
2500,0.9999999902467296,9.875823968862907e-09,2.461578698132848e-16
2600,0.9999999902564722,9.870889040483404e-09,2.5586527748037197e-16
2700,0.9999999902662056,9.86595648873387e-09,2.6556237598575584e-16
2800,0.9999999902759296,9.861026313614304e-09,2.7524916532943644e-16
2900,0.9999999902856441,9.856098515124707e-09,2.849256455114137e-16
3000,0.9999999902953493,9.851173093265078e-09,2.945918165316877e-16
3100,0.999999990305045,9.846250048035418e-09,3.042476783902583e-16
3200,0.9999999903147314,9.841329379435727e-09,3.1389323108712563e-16
3300,0.9999999903244084,9.836411087466005e-09,3.235284746222897e-16
3400,0.999999990334076,9.831495172126251e-09,3.3315340899575046e-16
3500,0.9999999903437343,9.826581633416465e-09,3.4276803420750783e-16
3600,0.9999999903533832,9.82167047133665e-09,3.523723502575619e-16
3700,0.9999999903630226,9.816761685886801e-09,3.6196635714591274e-16
3800,0.9999999903726526,9.811855277066923e-09,3.7155005487256024e-16
3900,0.9999999903822734,9.806951244877012e-09,3.8112344343750443e-16
4000,0.9999999903918847,9.80204958931707e-09,3.906865228407453e-16
4100,0.9999999904014866,9.797150310387097e-09,4.0023929308228284e-16
4200,0.9999999904110791,9.792253408087092e-09,4.097817541621171e-16
4300,0.9999999904206622,9.787358882417057e-09,4.1931390608024807e-16
4400,0.999999990430236,9.78246673337699e-09,4.2883574883667566e-16
4500,0.9999999904398004,9.777576960966891e-09,4.3834728243140007e-16
4600,0.9999999904493554,9.772689565186762e-09,4.47848506864421e-16
4700,0.999999990458901,9.7678045460366e-09,4.573394221357388e-16
4800,0.9999999904684372,9.762921903516407e-09,4.668200282453532e-16
4900,0.9999999904779662,9.758042053629726e-09,4.762928935280387e-16
5000,0.9999999904874867,9.753164734063227e-09,4.857563985061303e-16
