miliseconds,acc,toc1_mrna,toc1_1,toc1_2,cca1_mrna,cca1_c,cca1_n,toc1luc_mrna,toc1luc_1,toc1luc_2,cca1luc_mrna,cca1luc,luc_mrna,luc
0,0.2727284350415808,0.0388063175424033,0.20647463971917845,0.3096181768207916,0.10172146297969079,0.0522332731041165,3.0689310992382257,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.2778002698894622,0.037872010399694345,0.20671533056964242,0.29873962724923553,0.1355445887925857,0.05526873162952227,2.974597479768593,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.28211071206666627,0.037243521248353666,0.20672419989282165,0.2902822066581514,0.16512886244700378,0.06794003994326905,2.9134664760129882,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.2866140099491533,0.03663754690861555,0.20669106959868272,0.28304525823305315,0.1893250890561654,0.077025169729583,2.901120659860252,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.2946089988825607,0.03642765104377084,0.2066528644484034,0.2728259468728092,0.2060267772230637,0.08671093655450039,2.8598962894355466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,0.30381648352779733,0.03593259188240169,0.20682955484425372,0.26383785844421487,0.21688243216435496,0.09750790853743076,2.802131018310298,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.3094986841853797,0.0353639838448326,0.2067041332805402,0.2508464568150561,0.22583519850519096,0.1026017477276312,2.776090063344108,0.0,0.0,0.0,0.0,0.0,0.0,0.0
700,0.3162380894449767,0.0350575502747077,0.2066546254759812,0.243488089142724,0.23256468146402504,0.10706729320062433,2.784878918442461,0.0,0.0,0.0,0.0,0.0,0.0,0.0
800,0.31522335052209943,0.03463634550955362,0.20640081347208097,0.23301501757495138,0.23822299313180303,0.10915248136992681,2.771611583206114,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.3234387169504871,0.03419055422056237,0.2061777345124013,0.22813398086664383,0.2421615852486151,0.11150688747288347,2.7802234626278457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.3294385500228048,0.034155701667731235,0.20602270868167052,0.21662369852811073,0.23760207534240807,0.11301810696145723,2.7625307275347746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100,0.33619774534928454,0.03362576743268637,0.20594962088089866,0.2124003460226429,0.23663246667196142,0.11312576331827724,2.7414664962885014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.34112007612112033,0.03372896609493674,0.20556663741238523,0.2038229953573466,0.23103859288662285,0.11072796134780076,2.7669780308233936,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,0.3435848942947672,0.033209043136636855,0.20550246999797783,0.19805395887539945,0.22783766139755032,0.10923319522172721,2.7299608595981315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,0.3520367705833185,0.03324732382722589,0.20526673643699422,0.18992533640041734,0.22459581680503543,0.10850185447083459,2.749456312633358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500,0.3598639589465001,0.03264124848308542,0.2048215366282728,0.18654180314972582,0.2163017373147639,0.1055282237911101,2.72060543171731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600,0.35860841066838695,0.03266753138462711,0.20461706213043648,0.18182537709773222,0.2126577717272856,0.10289547015598498,2.696569937105698,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700,0.3662947092008689,0.032408089237696815,0.2043135875799632,0.1781381715987023,0.2065808932852708,0.09772438394854195,2.704374088999547,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.3735678908607717,0.03255113010869366,0.20399609598869353,0.16772608914819515,0.196583543926807,0.09487044870720995,2.6982840858937993,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1900,0.37685049163173634,0.03254926477329587,0.20382100584560792,0.16436284551779495,0.18846697821119096,0.09279037926996367,2.665848559640569,0.0,0.0,0.0,0.0,0.0,0.0,0.0
