milliseconds,u,v,w
0,0.1,0.55,0.2
100,0.0984932773626414,0.5573506545130397,0.1998648303040812
200,0.09700621151995865,0.5646656058089582,0.1997293863920473
300,0.0955387815154818,0.5719416090769023,0.19959367491796473
400,0.094090817650935,0.5791757096335547,0.19945770458160722
500,0.0926621357598413,0.5863648107571428,0.1993214846307799
600,0.09125255050934315,0.5935058651086319,0.1991850242740434
700,0.08986188800029511,0.6005961803537574,0.1990483319395323
800,0.08848996261522094,0.6076327114157576,0.19891141684104352
900,0.08713659668919753,0.6146127071700761,0.19877428760094734
1000,0.08580162627878189,0.6215339253299216,0.19863695181942628
1100,0.08448486538482908,0.6283933057102877,0.19849941873971227
1200,0.08318614863400807,0.6351887491016781,0.19836169585325464
1300,0.08190530944549347,0.6419180934170563,0.19822379076132274
1400,0.08064217089813742,0.6485786381204696,0.19808571200562522
1500,0.07939657489029621,0.6551690045019323,0.1979474660124293
1600,0.07816835092455204,0.6616868718162814,0.19780906068571127
1700,0.0769573307510982,0.6681301426839553,0.1976705036013198
1800,0.075763355536677,0.6744978549516109,0.19753180073200394
1900,0.07458625645669768,0.6807877849322785,0.19739295981675947
2000,0.07342586976030996,0.6869985126441147,0.19725398750558665
2100,0.07228203415470928,0.6931291344133762,0.197114889771399
2200,0.07115458389979076,0.6991778124188636,0.19697567381215156
2300,0.07004335696002925,0.705143783336906,0.1968363454459235
2400,0.06894819071730283,0.7110260808881534,0.19669691074900458
2500,0.06786892129008555,0.7168232986689177,0.19655737635763398
2600,0.06680538731141819,0.7225353749069098,0.19641774720841673
2700,0.06575742558451517,0.7281611602632536,0.19627802961097843
2800,0.06472487342754625,0.733699883979971,0.19613822939524297
2900,0.06370756907234794,0.7391517182123807,0.19599835119105868
3000,0.06270534970672732,0.7445157146573317,0.1958584010549162
3100,0.06171805306919607,0.7497916848228948,0.19571838406395173
3200,0.06074551708783751,0.7549797899397221,0.19557830483968863
3300,0.05978757928592123,0.760079444436439,0.19543816897657187
3400,0.058844077676521306,0.7650909942236975,0.19529798082286745
3500,0.057914850125528584,0.7700145017251797,0.19515774511017264
3600,0.05699973435699899,0.7748497561788307,0.19501746693948677
3700,0.05609856900399374,0.7795976158394654,0.19487714990023983
3800,0.05521119183214688,0.7842579806696353,0.19473679894667734
3900,0.05433744110276133,0.7888311596864956,0.19459641843615838
4000,0.053477156105065586,0.7933180468260633,0.19445601183613156
4100,0.052630174786928545,0.7977187789013844,0.19431558376718427
4200,0.05179633649463171,0.8020340359446085,0.1941751379831115
4300,0.0509754810971622,0.8062646596577514,0.19403467797010313
4400,0.0501674470231564,0.8104110462505433,0.19389420795175322
4500,0.04937207564185959,0.8144741976687505,0.19375373107192462
4600,0.0485892069612315,0.8184548672047902,0.19361325092980727
4700,0.04781868045894828,0.8223537053156004,0.19347277131057597
4800,0.047060340559415624,0.826171954589821,0.19333229479390684
4900,0.046314026755590536,0.8299102972618178,0.19319182511806526
5000,0.045579581276074935,0.8335696755071254,0.19305136545429588
