milliseconds,Susceptible,Exposed,Infected,Recovered,Total_population
0,315295836.8154047,14403973.284098774,338623.8684685579,-14939.16685470219,330052960.0
100,315281509.1793197,14175868.122730687,520391.40047175414,-15117.055801476232,330052960.0
200,315319064.5972367,13900553.1658679,757828.3826480394,-7190.83409779848,330052960.0
300,315230037.28582305,13594810.816687167,1062940.4606142489,-4722.36938174289,330052960.0
400,315227524.13272786,13435212.470851284,1425250.6731843546,17769.640444106135,330052960.0
500,315202256.9426969,13249184.505248614,1561891.8920936515,49239.67049665594,330052960.0
600,315229032.3653718,13040765.220445672,1788113.887428491,43784.994838907165,330052960.0
700,315204053.8787798,12814020.932063406,2131243.8123931563,67335.55840447158,330052960.0
800,315075496.7985545,12548538.606793992,2358544.0362642463,53062.49521320008,330052960.0
900,315019186.5592424,12278909.036434287,2638732.903586394,60100.68926834606,330052960.0
1000,315044720.8334734,12232906.100496128,2754318.915738539,78805.5042664624,330052960.0
1100,314928691.5624479,11980234.35966472,2968719.4047467536,106351.96433692744,330052960.0
1200,314982879.19541276,11804828.559452694,3264900.412555476,115188.17412857259,330052960.0
1300,314849266.02446985,11677603.084378,3493605.7706186096,124099.39133829651,330052960.0
1400,314830978.6366307,11456531.119050533,3673756.166534786,159264.734535531,330052960.0
1500,314781733.3787336,11305043.809264418,3814616.494005351,198276.97562940945,330052960.0
1600,314705513.69757044,11182498.328070404,4119623.115611515,208758.8766372354,330052960.0
1700,314580405.5092923,11036066.566695439,4205074.126120218,214565.34670979477,330052960.0
1800,314602531.74751246,10862774.791687828,4452837.054595754,242889.22687416937,330052960.0
1900,314474182.2123907,10694310.31443699,4583739.45807647,289431.93467960577,330052960.0
2000,314438275.6470529,10657016.8791847,4644968.059241719,303857.2403024595,330052960.0
2100,314354790.04406613,10522823.068066245,5028270.322058372,317596.80391127215,330052960.0
2200,314334778.05391127,10345028.599874327,5047155.020075821,366128.6731198312,330052960.0
2300,314131572.65693736,10286993.328598544,5302438.156114284,390164.0367878275,330052960.0
2400,314097538.22647554,10120297.158110633,5401415.308295584,402361.4698604912,330052960.0
2500,313991956.903551,10087732.767748728,5634884.908273287,430775.31094307144,330052960.0
2600,313966122.72067726,9927303.160868688,5768237.3242615815,487945.53321530984,330052960.0
2700,313840408.13632256,9882479.229141535,5881554.364435845,503134.1712396799,330052960.0
2800,313743255.3914687,9665234.52562481,5983918.958794104,542961.6421064989,330052960.0
2900,313690223.3340782,9604991.02994808,6218458.171616527,559832.8083458653,330052960.0
3000,313528907.4072227,9557220.017383616,6322928.952745619,584506.3022486515,330052960.0
3100,313385729.3444317,9437904.150310261,6576293.840951229,649907.8028417258,330052960.0
3200,313376839.52987844,9422940.18024385,6586431.808195958,673044.7840670181,330052960.0
3300,313244290.8746255,9231608.210849447,6707438.137940765,718064.2086346868,330052960.0
3400,313124635.21037674,9231251.058191705,7030172.642846994,744037.2043702041,330052960.0
3500,313064569.69952744,9095082.898306219,6989544.821306412,769902.8421746974,330052960.0
3600,312864652.0261911,9114881.053818854,7109554.96226623,827569.5569659538,330052960.0
3700,312860484.1014856,9074304.842569739,7326066.765003049,836169.0876203565,330052960.0
3800,312683656.4786055,9059235.599285748,7393058.510403069,908530.9337236048,330052960.0
3900,312542379.8770684,8921764.043007657,7488627.094452775,945765.1826348536,330052960.0
4000,312469070.37284094,8930052.903000942,7638430.759879487,983180.8657076403,330052960.0
4100,312366362.77927065,8781167.836821953,7957099.328068389,1011770.0698825734,330052960.0
4200,312147043.2061275,8776909.804148113,7900444.358516272,1068431.9937663435,330052960.0
4300,312028894.95486104,8809771.607073901,8095628.872876327,1109810.1262240326,330052960.0
4400,311924170.3053993,8799548.332789456,8139444.665795951,1143786.1330283305,330052960.0
4500,311805342.6820486,8616472.569612052,8468881.322531974,1209253.4739279924,330052960.0
4600,311683871.4383712,8603730.30647627,8366365.99905749,1238671.2902390081,330052960.0
4700,311529932.6557225,8605141.082983114,8619572.602153411,1272022.7861730007,330052960.0
4800,311485788.5519514,8573752.132227441,8596554.927240726,1313182.750110404,330052960.0
4900,311244118.8111507,8555464.337491877,8911334.13232932,1387513.086508249,330052960.0
5000,311097358.9733093,8527140.238427455,8990272.408853272,1413695.0572557393,330052960.0
