milliseconds,Susceptible,Exposed,Infected,Recovered,Total_population
0,315243644.41061836,14417254.568418883,249195.56441070954,19725.77128984902,330052960.0
100,315332311.5534362,14222244.240937669,525770.9445832792,12315.943952493604,330052960.0
200,315252208.50898,13971034.671043193,751116.2167181373,15976.397394963751,330052960.0
300,315277182.8005595,13665156.604993686,1095375.7832190718,17396.073918872175,330052960.0
400,315186537.6002916,13347010.624443375,1474889.4725950914,7144.621223327918,330052960.0
500,315223209.7954386,13157074.722294474,1601174.3287569971,29464.462440031417,330052960.0
600,315177048.8704164,13013895.660766684,1876341.8160497462,36112.169700091334,330052960.0
700,315193784.8430447,12734272.69676424,2187623.421910002,55643.41223658759,330052960.0
800,315130322.17714864,12563251.646222705,2341941.657435913,66814.80898944067,330052960.0
900,315071760.2124952,12326651.358498085,2665158.145102301,69179.02358415884,330052960.0
1000,315045216.8312075,12202023.78581017,2735722.937799683,77556.20549103197,330052960.0
1100,315035305.18954116,11943598.34241077,3065731.105542021,104483.53954331003,330052960.0
1200,314990736.67013633,11735496.391775995,3177451.8717244193,137554.3329998491,330052960.0
1300,314917377.354643,11684368.185772873,3431134.503649266,143738.49132242324,330052960.0
1400,314775091.8151263,11398597.350115392,3575761.9033361115,167151.80526197806,330052960.0
1500,314825169.2219731,11296465.679485388,3838980.0736333416,173824.21179623052,330052960.0
1600,314767691.3691063,11176335.661914194,4074792.6451669927,215525.38728653136,330052960.0
1700,314665122.12457424,10965733.549238142,4076554.7912685527,217939.8411153967,330052960.0
1800,314509318.04828,10883550.693593418,4507152.151873576,258514.73985647538,330052960.0
1900,314521604.5254829,10756246.382041117,4486434.541349279,259536.91657146506,330052960.0
2000,314424533.2326625,10548857.600273775,4768469.443103528,301211.69800420443,330052960.0
2100,314314810.0630654,10441870.5891999,4969548.607916633,320560.68734269904,330052960.0
2200,314214811.4299696,10346112.210375197,5001451.768881876,358098.79619510414,330052960.0
2300,314137192.9250135,10267697.10685015,5363181.205850599,394828.5990521478,330052960.0
2400,314085558.066868,10096439.10696812,5457787.727211784,390287.98641808063,330052960.0
2500,314010669.0659788,9974327.57455385,5477126.367604939,457658.1478231007,330052960.0
2600,313886483.1469296,9918865.643655125,5680571.802488391,464856.7100391044,330052960.0
2700,313886600.0883624,9857655.421392877,5906783.318207826,511930.2389845626,330052960.0
2800,313751066.10269356,9630036.891628616,6055465.390773656,544460.4348616137,330052960.0
2900,313622329.98724663,9580383.132323561,6275399.7839731,561755.0717587984,330052960.0
3000,313525944.13441914,9596831.859111242,6407639.483401189,582385.7699475535,330052960.0
3100,313462416.8921828,9411986.451475296,6483685.370980337,612487.572419311,330052960.0
3200,313295601.3660186,9431875.189365909,6751179.526069281,668906.4970476532,330052960.0
3300,313176171.7624726,9320866.906615162,6801556.948826335,697518.6147600878,330052960.0
3400,313172894.6374378,9255585.620836256,7030099.639807961,749961.5302337821,330052960.0
3500,313084227.39775795,9182713.572220879,7063170.774649233,773078.7047223287,330052960.0
3600,312901224.8137183,9115072.660826495,7185778.826661635,828785.76842667,330052960.0
3700,312766411.97116375,8981327.709591152,7297561.945662627,872941.7871554401,330052960.0
3800,312665680.4515734,9071808.5212075,7405774.7365923375,892117.3826087036,330052960.0
3900,312568862.62426984,8853352.867951129,7565201.862129304,922542.003124438,330052960.0
4000,312381681.76459813,8932585.371021796,7786056.312964318,994179.1216483135,330052960.0
4100,312353207.9152945,8865064.91250002,7926592.006101393,1039034.7268256713,330052960.0
4200,312191921.50906754,8711398.147470701,7997161.913367989,1055122.9087683803,330052960.0
4300,312102115.221627,8792765.514076633,8038653.274071608,1095598.2159001315,330052960.0
4400,311892874.1812875,8796386.141105475,8167470.60665449,1141365.5149018953,330052960.0
4500,311776145.34475577,8660348.961219355,8430670.013940163,1190811.903185981,330052960.0
4600,311727097.89837587,8694974.518739639,8366496.645297261,1259310.4525354991,330052960.0
4700,311581351.71948916,8627076.624575606,8677514.095440365,1290775.0423566613,330052960.0
4800,311477608.3418704,8523806.588978648,8629185.60671608,1336289.8473801771,330052960.0
4900,311297188.6629928,8583282.213078659,8935444.136368385,1395552.8554226074,330052960.0
5000,311125331.3835578,8462178.254876154,8905579.805549078,1444843.3551757112,330052960.0
