milliseconds,C,B,T
0,1.144046102678547,208.00838230519034,10.0
100,1.1419873238684737,208.0494906966166,10.0
200,1.1399657232795368,208.0897385551823,10.0
300,1.137981970060478,208.12911081282687,10.0
400,1.136034867404839,208.16763588117973,10.0
500,1.1341248171217493,208.20530420798195,10.0
600,1.1322501009896198,208.2421565341157,10.0
700,1.1304112344726827,208.2781806373696,10.0
800,1.1286064509940215,208.31341837626132,10.0
900,1.1268362102462575,208.34785885838883,10.0
1000,1.1250988454567197,208.38154156353664,10.0
1100,1.1233947193820955,208.4144578992022,10.0
1200,1.1217222877706112,208.44664443089195,10.0
1300,1.1200814412356517,208.47810374876516,10.0
1400,1.1184719940267236,208.50884025119706,10.0
1500,1.1168930087340259,208.5388761247839,10.0
1600,1.115343795830892,208.56822769051124,10.0
1700,1.1138240575541483,208.59690199914084,10.0
1800,1.1123331908798748,208.62491331803773,10.0
1900,1.1108705053252543,208.65227797780403,10.0
2000,1.1094355188140377,208.67900739253625,10.0
2100,1.1080276840121415,208.70511451131642,10.0
2200,1.1066465403816574,208.73061020989675,10.0
2300,1.105291506123084,208.7555082606465,10.0
2400,1.1039620408593833,208.77982144646234,10.0
2500,1.1026578007767607,208.8035578754636,10.0
2600,1.1013782255422557,208.82673080514996,10.0
2700,1.1001228072081528,208.8493522471658,10.0
2800,1.0988911686769436,208.87143110189314,10.0
2900,1.097682866160238,208.89297785541922,10.0
3000,1.09649740341581,208.9140042410232,10.0
3100,1.0953343984339845,208.9345192753718,10.0
3200,1.0941935142064165,208.95453090485347,10.0
3300,1.0930742676316751,208.9740505504263,10.0
3400,1.0919762333152883,208.99308826058888,10.0
3500,1.0908989851607152,209.01165410053724,10.0
3600,1.0898420963693465,209.0297581521649,10.0
3700,1.0888053376649434,209.0474057995703,10.0
3800,1.0877883084182438,209.06460650224486,10.0
3900,1.0867905724256688,209.08137056576555,10.0
4000,1.0858117501315419,209.09770694841743,10.0
4100,1.0848514654891372,209.11362452502982,10.0
4200,1.0839093459606806,209.12913208697628,10.0
4300,1.082985212871363,209.14423381599053,10.0
4400,1.0820786289134199,209.15894004348678,10.0
4500,1.0811892618563201,209.17325860236159,10.0
4600,1.0803167865310257,209.18719715758436,10.0
4700,1.0794608842809512,209.20076321925234,10.0
4800,1.0786212485692606,209.21396400987626,10.0
4900,1.077797593153618,209.22680627089923,10.0
5000,1.0769896114592477,209.2392972242609,10.0
