milliseconds,c,cer,cAMP,h,inh,V,n
0,0.29999875067245335,259.99987246811247,1.0,0.0014988158830732685,1.0,-60.13557463177495,-1.444326125648135e-07
100,0.2999933370486378,259.99996316368686,1.0,0.0026843371494498763,1.0,-59.754011900299425,-3.255823089143079e-07
200,0.29998691014264406,259.9998214066528,1.0,0.0015925732765668765,1.0,-59.63162292677825,1.0099916270962175e-06
300,0.29997875560011483,259.9995626945696,1.0,0.004699395326571142,1.0,-59.552720108612924,1.5129758397720374e-06
400,0.29996947063802837,259.99958770176556,1.0,0.005438700875124737,1.0,-59.485613723691344,3.0126921852663354e-06
500,0.29995885533521494,259.99960721332144,1.0,0.007228132536262223,1.0,-59.56417096092923,5.86016191557229e-06
600,0.29995090794158635,259.99934816052195,1.0,0.008266353485629627,1.0,-59.37902724920434,7.99618149789772e-06
700,0.29994168424366807,259.9993354533762,1.0,0.01065224535573083,1.0,-59.08002754782593,5.700455135607828e-06
800,0.299937150282465,259.99924264886295,1.0,0.015812116571224506,1.0,-59.28051988627738,6.049827859678514e-06
900,0.29993302185334003,259.999192207235,1.0,0.015024860679501349,1.0,-58.99607294011515,7.609139271880715e-06
1000,0.2999233502585177,259.9991390685498,1.0,0.01892614392869597,1.0,-58.809497812708365,1.0241556038984371e-05
1100,0.2999114290701786,259.9989448844489,1.0,0.01731869972546186,1.0,-58.70387965904561,9.45405514274108e-06
1200,0.29990937527978667,259.998815749558,1.0,0.019244781299688034,1.0,-58.72262080965738,1.4261660640275449e-05
1300,0.29990035238972557,259.99879098712756,1.0,0.021637378115703217,1.0,-58.373606638442965,1.3051974129410888e-05
1400,0.299893685338434,259.99855543760833,1.0,0.026940703953585467,1.0,-58.51043877833391,1.4332485003176852e-05
1500,0.2998937095516277,259.99839148666865,1.0,0.028443776138296767,1.0,-58.352149479259744,1.5809444932139896e-05
1600,0.29988244250232865,259.9983855814457,1.0,0.02802275381604546,1.0,-58.111254832066315,1.6987227145538888e-05
1700,0.29988013167232747,259.99841250957763,1.0,0.02821035615320783,1.0,-57.95127990259583,1.7871642873588685e-05
1800,0.2998776083942388,259.9982294601292,1.0,0.032167776224608896,1.0,-58.01305102174024,1.823594962592663e-05
1900,0.2998708001312663,259.99800536824927,1.0,0.030848407215475045,1.0,-57.76596087666435,2.1394707164459053e-05
2000,0.29986722968162277,259.998091985648,1.0,0.034700742405322935,1.0,-57.578069186688175,2.1683424911433434e-05
2100,0.2998631597649763,259.9980617952805,1.0,0.037087235645148584,1.0,-57.59889508746988,2.392787798523273e-05
2200,0.2998585081586356,259.9978924003967,1.0,0.037670403753430594,1.0,-57.32061283956589,2.6090339701852035e-05
2300,0.299854323392067,259.99760350831986,1.0,0.04197371240091757,1.0,-57.38964364875621,2.769251866009074e-05
2400,0.2998569368139846,259.9976355050923,1.0,0.04165848191670612,1.0,-57.095842165788476,2.583486020678028e-05
2500,0.29984971658584986,259.9974944845913,1.0,0.044701676996510335,1.0,-57.05857293773327,2.940107826702234e-05
2600,0.2998472623717191,259.99757207473465,1.0,0.04676358446809462,1.0,-56.89401750889171,3.302585772127931e-05
2700,0.2998401776015791,259.99742824962755,1.0,0.04779165173797604,1.0,-56.92518310234296,3.124354937519774e-05
2800,0.29984533165268434,259.99729266137103,1.0,0.047527623706957005,1.0,-56.806458228486605,3.399813454375116e-05
2900,0.29983752609997744,259.99711755159547,1.0,0.04951084857177497,1.0,-56.787179507383186,3.40512967529499e-05
3000,0.29984048854036477,259.99700677806027,1.0,0.053159847548107875,1.0,-56.52107078930988,3.543544883436034e-05
3100,0.29983463628384854,259.99706956262867,1.0,0.05370030907576705,1.0,-56.239982268573684,4.016738206132884e-05
3200,0.29983093666052973,259.9968665196738,1.0,0.055451021064306744,1.0,-56.2719553724066,4.296796042816911e-05
3300,0.2998302635452295,259.99675541022185,1.0,0.05505285637361352,1.0,-56.07699279929,4.3971510130364806e-05
3400,0.2998304340097298,259.99654964519783,1.0,0.05907463478140254,1.0,-56.0909790914208,4.246720858363077e-05
3500,0.29982862077211053,259.9964324730844,1.0,0.06147054018388255,1.0,-55.769659854476124,4.8204759191384334e-05
3600,0.2998308107382302,259.9963705165856,1.0,0.06163272255081853,1.0,-55.91974099215221,4.955289977734632e-05
3700,0.2998307644163301,259.9964619052518,1.0,0.06012525867308777,1.0,-55.77650388448513,5.188129949788094e-05
3800,0.29983222702870055,259.99612267491875,1.0,0.06235160125270835,1.0,-55.565975387299844,5.133500374228758e-05
3900,0.2998389339933371,259.9962380317558,1.0,0.066364897419406,1.0,-55.36064299310047,5.1978564532922304e-05
4000,0.2998337147134888,259.99600622932996,1.0,0.06823759891558691,1.0,-55.3353037132276,5.5815960227062495e-05
4100,0.2998365558517533,259.99583150374093,1.0,0.06613119472168645,1.0,-55.068637369074075,5.758599723144289e-05
4200,0.29983432218717637,259.99576113531054,1.0,0.07128866474790041,1.0,-55.005290057441144,5.9361942540403436e-05
4300,0.29984062348323576,259.99587090270137,1.0,0.06973505138710842,1.0,-54.921189838758856,6.0904534711106866e-05
4400,0.29984045840025486,259.9956596154905,1.0,0.07359526542126972,1.0,-54.770489345222074,6.604104910531426e-05
4500,0.2998421271631708,259.995534524085,1.0,0.07530654772995693,1.0,-54.78123288706948,6.697515822802667e-05
4600,0.29985285704355896,259.99555351350466,1.0,0.07570544190797948,1.0,-54.44270883647895,6.899382486237476e-05
4700,0.2998496870717225,259.99528275858466,1.0,0.07548119699925637,1.0,-54.41073072667172,7.317766618644968e-05
4800,0.29985907698987735,259.995360978393,1.0,0.07694686742866645,1.0,-54.35712631271935,7.433215669905216e-05
4900,0.2998635247472773,259.99514935571915,1.0,0.08000296362577031,1.0,-54.228922730219985,7.627499317992179e-05
5000,0.2998673974076707,259.99517096360387,1.0,0.08003825722871667,1.0,-54.052018688602026,8.116785614007792e-05
