milliseconds,c,cer,cAMP,h,inh,V,n
0,0.2999998781961029,260.0000586559946,1.0,0.0021489635432512116,1.0,-60.176305301722145,1.4262541552418587e-06
100,0.2999891157308311,259.9998394565493,1.0,0.0029795414179951477,1.0,-59.95502054373603,1.3562365681931526e-06
200,0.299981140688847,259.99985547479145,1.0,0.0022223981243805883,1.0,-59.71092774480697,6.219581162968472e-07
300,0.2999738076602848,259.9995701380129,1.0,0.004318764696457233,1.0,-59.769307779480314,5.179594567919472e-06
400,0.2999683529936901,259.9997236066106,1.0,0.009223623216507014,1.0,-59.40650623268208,5.489334890122655e-06
500,0.2999555419659255,259.999557248422,1.0,0.01051899400518025,1.0,-59.37909182029674,4.1073248095311084e-06
600,0.2999468422270585,259.99941060860186,1.0,0.009795393387226453,1.0,-59.47577074973112,3.946425428044958e-06
700,0.29993966628671326,259.99917952084803,1.0,0.013289234850613401,1.0,-59.22813152847068,8.74205958794751e-06
800,0.2999344836134862,259.99920853960964,1.0,0.01627303958002808,1.0,-59.048370543377395,6.7540498135563975e-06
900,0.29992654403367663,259.9991995003894,1.0,0.01744024617945998,1.0,-58.86377375288516,8.030424293206481e-06
1000,0.2999213117694991,259.9990768715409,1.0,0.01673358756265774,1.0,-58.81027034403919,1.1105600709557424e-05
1100,0.29991671277997045,259.99886248187954,1.0,0.0208953531506829,1.0,-58.68538391201086,1.0859502629229584e-05
1200,0.2999109151191036,259.9987858183407,1.0,0.02055909799866777,1.0,-58.78755923439736,1.2720391208747582e-05
1300,0.29990049837657035,259.9987445073574,1.0,0.024683238798128553,1.0,-58.70923399559959,1.544219556620938e-05
1400,0.29989694068878914,259.9985188135484,1.0,0.023377466581886316,1.0,-58.35513601628196,1.2769145537572124e-05
1500,0.299891995688792,259.9985172509477,1.0,0.027834497825813126,1.0,-58.284018629644805,1.3968779120927289e-05
1600,0.29988374464912215,259.99854557701667,1.0,0.026152133429739665,1.0,-58.29115152192122,1.6151611101087358e-05
1700,0.2998768473907698,259.99833940338465,1.0,0.0281961026862068,1.0,-58.01108877732996,1.8069069096432026e-05
1800,0.29987703268471333,259.99820518034744,1.0,0.033547173173286364,1.0,-57.93445726041789,2.127783469406608e-05
1900,0.2998737627311417,259.9981496793219,1.0,0.034484511371940925,1.0,-57.671918930569674,2.087388775126527e-05
2000,0.29986878977635195,259.9980909918552,1.0,0.03519444725689008,1.0,-57.55247249131365,2.2969849227757594e-05
2100,0.29986045039503545,259.99791705641707,1.0,0.037565485190415485,1.0,-57.61597877532345,2.1732000501981257e-05
2200,0.29986390035530636,259.99774362584793,1.0,0.039708529659766616,1.0,-57.4449502679145,2.3704111448931276e-05
2300,0.2998540315549345,259.997616286253,1.0,0.038081756955673854,1.0,-57.353483997990146,2.8523110106086776e-05
2400,0.29985677292549623,259.99765520503945,1.0,0.042422586015341664,1.0,-57.2598235091427,2.8520714553872833e-05
2500,0.29985082422903764,259.9974489966938,1.0,0.043870800324754856,1.0,-57.21995878169009,2.9761798477345314e-05
2600,0.29984181874632887,259.9973656506434,1.0,0.04274201033381081,1.0,-57.16682793868975,3.3180860112816396e-05
2700,0.2998471550764289,259.99735273393605,1.0,0.044486543486794344,1.0,-56.71088655583469,3.316225895452137e-05
2800,0.29983851581307336,259.99736832444665,1.0,0.0455384050339638,1.0,-56.72661461547303,3.540053445152324e-05
2900,0.2998384079578186,259.99698652723544,1.0,0.05005195037373391,1.0,-56.5149075973303,3.609257504087499e-05
3000,0.2998368468085262,259.9970352301477,1.0,0.05019580068805229,1.0,-56.61587554395282,3.764445134745036e-05
3100,0.2998396828651815,259.9968639398698,1.0,0.05141373164378448,1.0,-56.25873161749324,3.750308690089042e-05
3200,0.299835792833394,259.9969024177157,1.0,0.05359982097987973,1.0,-56.18132453873035,4.152156577262804e-05
3300,0.2998305640447143,259.99669330765727,1.0,0.0563587672615096,1.0,-56.06256423979309,4.033051376612878e-05
3400,0.2998348544472746,259.9966117963298,1.0,0.05969830645893969,1.0,-55.86794303831746,4.28070522038821e-05
3500,0.299828642197499,259.9966699452787,1.0,0.06101827243366459,1.0,-55.84212392471059,4.393096306696193e-05
3600,0.29983392077944543,259.99633905014105,1.0,0.06220271581030412,1.0,-55.72681301986374,4.76765807324349e-05
3700,0.2998352784348468,259.9963849938453,1.0,0.06196349448319607,1.0,-55.47831076553771,5.044703161894656e-05
3800,0.2998326068967268,259.99619026813843,1.0,0.06387565781214317,1.0,-55.66294115135891,5.0455218746365237e-05
3900,0.2998377961837514,259.99612946959826,1.0,0.06565264794821772,1.0,-55.46552091223559,5.47466247291325e-05
4000,0.29983368753351075,259.9960812381229,1.0,0.06443153438790251,1.0,-55.25988145437372,5.41154798625773e-05
4100,0.2998412357893469,259.9959521304263,1.0,0.06882163204574411,1.0,-55.185567427404564,5.958788330049742e-05
4200,0.2998369049060307,259.9958180326438,1.0,0.06957491970623064,1.0,-54.86690655891131,5.842261626817958e-05
4300,0.29983666378603197,259.9956487265351,1.0,0.06968811728328643,1.0,-54.84423954821028,6.391782811003862e-05
4400,0.2998410989808613,259.99559768273167,1.0,0.07291403911089278,1.0,-54.85549888496836,6.252199407724909e-05
4500,0.29984692033553106,259.995503333719,1.0,0.07678438035698863,1.0,-54.52868953403487,6.917722340580761e-05
4600,0.2998462185671623,259.99559130548295,1.0,0.07556710655713895,1.0,-54.4056858999993,6.753933893995061e-05
4700,0.29984806430776567,259.99525481763277,1.0,0.0766090978790375,1.0,-54.49584893314615,6.968180036589906e-05
4800,0.2998563735142024,259.9953583125736,1.0,0.077446310993369,1.0,-54.37774187363941,7.504371107913071e-05
4900,0.2998635655855191,259.9951448800606,1.0,0.08253717031844138,1.0,-54.04130704763524,7.526592985469448e-05
5000,0.2998595642848064,259.9950200224053,1.0,0.08058468385782294,1.0,-54.13273304397955,7.905621607083056e-05
