miliseconds,alpha2_macroglobulin,alpha1_antitrypsin,alpha2_antiplasmin,heparin_cofactor2,ProteinC_Inhibitor,C1_inhibitor,ProteinS_inhibitor,Phospholipid,VIIa_TF,VII_TF,TF,VIIa,VII,IXa,IX,Xa,X,IIa,II,fibrin,fibrinogen,VIIIa,VIII,Va,V,XIa,XI,AT_III,TFPI,Xa_TFPI,APC,PC
0,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3205190741218957e-05,0.003805961676345015,9.897622690504278e-05,0.10026645592472923,9.994832790980064,0.0011589458957990875,89.99884447717682,0.0014378740714525438,169.94431126633236,0.007274016101723921,1399.8145043679344,474.7239005235382,7125.7909670078025,0.002581389661526834,0.6766329494887067,0.0,0.0,2.3016185440791555e-07,29.999993786763632,3399.8509101438112,2.494921811345919,0.003998383486786457,4.5478602802385076e-05,59.9998894466498
100,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3204668722097224e-05,0.0038031001741080195,9.881586377145995e-05,0.1002683990200134,9.994830213203608,0.0011623263590613672,89.99883445452424,0.0014373157688777995,169.94418416856826,0.007271083865275621,1399.813257196918,477.3076666758033,7122.9192241195615,0.0025783285130579125,0.6766178331591637,0.0,0.0,2.299803960800719e-07,29.999993754631728,3399.8506479112543,2.49490796201543,0.004009110853899186,4.5447206425989475e-05,59.99988904783264
200,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3187958393188889e-05,0.003800353483143788,9.873726522337592e-05,0.10026903224338574,9.994828346329355,0.0011670664955325458,89.99883632441691,0.0014355780900888976,169.94377542736777,0.007263220205717731,1399.812474645993,477.74656499392444,7119.81110636647,0.0025780261781085927,0.6764838310899393,0.0,0.0,2.29757010137862e-07,29.99999372293812,3399.8497709105086,2.4948873846578223,0.0040108077127165445,4.55362017996857e-05,59.99988857040273
300,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.316446338485962e-05,0.003798641530770692,9.868293826709061e-05,0.10027056042787741,9.994827237034482,0.0011677178778133253,89.99883104710925,0.0014341085569622414,169.9437173972468,0.007264902004217181,1399.8125523382419,481.04620542259124,7118.672524412611,0.002575722880874374,0.6764291877905656,0.0,0.0,2.2967205594084776e-07,29.999993683621515,3399.8488982030353,2.4948743200185803,0.004033213158855156,4.5559799750130035e-05,59.99988765677849
400,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3152576671314657e-05,0.0037960595906614105,9.855951562201819e-05,0.10027149676752804,9.994825378695078,0.0011740331569298913,89.99882314680626,0.0014337802039770151,169.94343701652843,0.007251789827708526,1399.811593703122,483.72919362612254,7118.393795352379,0.0025708134645977534,0.6763056099899131,0.0,0.0,2.29443646508103e-07,29.999993687667395,3399.8481964614666,2.494860575001462,0.004036761868273358,4.554294166521414e-05,59.9998874980135
500,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3136239774647617e-05,0.003791531414462956,9.847785271152927e-05,0.10027374340712866,9.994823544063852,0.001176715574072288,89.99882212389252,0.0014326288026035845,169.9432878062458,0.007251650773584027,1399.811144560496,484.82059647122634,7114.855237890168,0.0025682409002676988,0.6761809622417472,0.0,0.0,2.290976047594326e-07,29.999993661185435,3399.8477593207135,2.494843163821268,0.004046322182928539,4.5627939443937554e-05,59.99988684688689
600,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3131243892149568e-05,0.0037839664118609253,9.836569458134268e-05,0.10027568013106396,9.994821945216854,0.0011797769397061334,89.9988147772543,0.0014303964023931247,169.9429841866343,0.007242274268077263,1399.8099377213846,485.24137077837355,7115.128838325646,0.0025664954069266224,0.676153690893154,0.0,0.0,2.291841322801047e-07,29.999993622404336,3399.847267500153,2.494830537890384,0.00405738733906001,4.562637235080185e-05,59.999886975299496
700,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3111066184094921e-05,0.0037827296375595853,9.826627082733286e-05,0.10027617267448168,9.994822245689582,0.0011872954458177303,89.99881360094858,0.001429538025764434,169.94299052775264,0.007237755585887508,1399.8093700302102,487.290281822676,7111.876069620688,0.0025639297711865924,0.6761064346919821,0.0,0.0,2.2893633564953668e-07,29.999993610399603,3399.8470875115636,2.494829715751005,0.004067055736392549,4.5638018505983874e-05,59.99988613921215
800,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.310779856863572e-05,0.0037809893986408922,9.826426499771724e-05,0.10027842197516493,9.9948209994484,0.0011882920949500364,89.99880782908896,0.0014289895378264842,169.94264364935742,0.007234543972917634,1399.8092472656717,488.77862190468977,7109.971486971824,0.002561907894688168,0.6759040550715717,0.0,0.0,2.2869175143700875e-07,29.999993572909375,3399.846726540579,2.4948188761585794,0.004086082463284239,4.565489464616207e-05,59.99988567138472
900,3000.0,40000.0,1100.0,1400.0,88.0,1700.0,346.0,7.5e-05,1.3095665596219238e-05,0.0037753790641923274,9.813316130360501e-05,0.10027996936120379,9.99481770107666,0.0011938990679986278,89.9988042396996,0.001427675348756979,169.94256083317325,0.007228294391024614,1399.807619042711,491.045623066854,7109.098908384344,0.002559828694258192,0.6758569723584279,0.0,0.0,2.2859340042069719e-07,29.9999935513559,3399.845678992823,2.4947997800929036,0.004083024942993325,4.571234155046152e-05,59.99988513314767
