milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60410707627185.52,420721505505.1794,975045503076.8417,-642589845.3154315,-15536800647.191742,14624679290.652983,739596136787.9387,538527761786.63995,4455853445828.578,10984745521.434351,-39888343189.44223,107196704100.20126,2596807599693.1787,969110485.2681744,355938833.51776135,-2760780853285.7114,347313543.141863,-6406149333.031235,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
100,52529659912993.414,29719110611538.125,6765638543356.551,8058923644.658158,-3351784622.212597,47721370179.71386,7512419332561.618,521870467738.41064,-5291819971597.414,2990252279.363124,30460087301.343494,-59389307906.22685,-176502136529.08533,1332268862.7922122,-6584907141.187064,1959912030098.649,3237349725.896371,-268544264.4572589,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
200,46968457392262.37,53408181046000.05,5870798108112.072,9310657705.399881,3875381022.615615,8673722337.306091,13237303270770.307,5950238329469.09,-11285530628425.973,-3080643060.7645683,27192094247.122345,68049914692.829346,760215920148.5674,1816677703.726418,-251766135.53582925,1224438195720.6487,1550726077.8507495,1746045965.816703,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
300,41009294267828.45,71886359245487.11,7459698985908.734,12901418726.736443,43156667516.29164,47055393576.02858,16547833278424.36,15937264218517.389,-3523569605553.915,13673273174.514801,42430349970.57744,-72160865316.59424,2238726308363.4507,95871454.66450095,-4928787725.273375,3043526421235.986,1992430829.098549,-1287778588.3835092,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
400,35269132820730.33,81706689670722.8,25021183012488.72,14654332959.22318,19148754865.213833,-14447678001.70217,20702985169141.168,22879399602065.727,19278217761023.258,12050878350.1326,36586238695.743515,51660826390.722015,4236213213876.1924,1558857140.529982,1435428651.5044758,4358307369131.045,4786052790.492216,6598155165.608736,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
500,33197573826478.85,92081471045542.28,24973646891831.52,14027209327.033285,52280926634.72795,-3239035452.3520374,23463983292939.688,32022538238561.184,21586078527658.086,36523836448.274605,16278146343.329004,88210803294.05418,2399294296192.688,1406767646.4971368,3893222759.953505,4505151368961.973,931481431.8423009,-5162063772.464716,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
600,29752293578490.945,97094372273269.03,38188265367756.01,15666471315.64944,69267877574.21269,-21727100843.28635,26676038251204.754,42161838625041.48,10168022553801.602,44229686555.12297,69673311831.99243,153162497793.70096,1491601182063.29,5957404328.313213,-1413340976.365024,4194260933744.2876,1996969323.1360009,996682084.6742318,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
700,27092126092066.676,101771735802132.38,46875209660841.51,21934808617.34982,56721590839.04224,12155379193.656197,28063908895809.977,53870825784905.734,17455762087774.965,54823501471.94468,23891602953.550926,10318558058.721115,3519818907260.7056,5502963365.896896,5872590404.749169,3937112205048.984,3328772674.0752373,4965921787.991801,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
800,23764478469838.04,104359789501288.55,57323357706771.414,21645668828.28254,73974223164.10092,96108899866.37337,31328177920862.51,62109781312911.46,25682269628943.72,46635484144.00197,64931128858.542496,142571502348.4771,4856871695206.281,5092454903.095316,-354585804.1382568,5393072183324.106,6333324032.478859,8219634790.504084,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.59,0.0
900,22660932635872.4,105906522341347.4,52724945805750.91,26407933988.905968,88685660590.0182,12633359355.666252,32459706279276.508,68588835055799.49,26042023101037.9,66274387297.3888,79619558567.8573,107012330034.02461,6309897401468.83,7729710834.817772,-434236231.8966274,7711365864321.857,7612614313.625002,9443664400.007177,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1000,21520436251442.047,105009305007053.11,67053252704945.77,29289505631.78732,127841604171.50659,22302794862.952736,32777254799929.2,71687583817643.88,40173283744464.93,74722198516.73705,145203490718.42264,210169388188.05508,8301837420585.498,5763562899.007282,-3595268977.249587,7319760514945.175,7786977252.307877,10862301992.26956,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.1,0.0,0.0,0.0,60606060606060.59,60606060606060.6,0.0
1100,19195981753645.1,104731153266621.05,75163902770397.02,25960118454.97336,132541383800.88496,85688677309.79984,33697158789610.14,76061960529852.83,54449894621474.17,93159399563.43105,120528054964.66086,184149413514.7702,7699055982008.489,9089928852.805065,2141351207.1977234,8173834995986.266,6541677542.799223,11528745170.605183,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
