milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60614731127085.12,-1035622313501.5968,2735006324510.654,3385638806.038586,12269750840.296309,31361037540.210274,185239975298.8242,-3681859505836.544,12394652984737.242,-12515264855.264341,-1496180215.043582,-118327460939.74217,-2499729446149.592,-834845080.4538636,665824013.4205818,-434692697723.9941,-2342093578.7026277,7375701691.368991,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
100,51672740359271.234,31853471286319.95,-2890977371765.1846,4789796357.229071,24269323532.195786,-63310893114.70288,7068433520378.063,2837503071418.069,-10840453714288.582,11248487924.403393,16073196238.295912,120977288552.17455,472897996310.41455,1112561025.065175,3861092175.61473,2449200547110.5864,789048115.0408537,5202496316.940262,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,45780901735108.21,53710733861962.625,4146505432738.087,9021470939.477303,-9121537631.266607,8387373575.325387,12368907410650.717,9063896864275.363,4920127890293.604,-5716266302.499409,500568078.63602257,-51213049176.10965,-482752548001.5149,3221810374.6448016,-5359564859.563746,-197124061155.1582,442117009.8795909,-3806284428.923798,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.59,60606060606060.61,0.0
300,40462224641649.41,72176833173526.05,14175734752512.72,15439099558.680046,-4550068399.29277,-20119545389.584915,16995069104536.088,16357412123452.21,334142235859.3672,22937011063.614357,40122943833.27623,-11312614495.094727,2308794020188.833,128208694.80487728,383704609.41186917,2792944824344.2827,1388772308.8447778,4145043030.0093217,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
400,37169629184195.29,81769362369089.02,27490253606989.855,14978882914.800016,21119638422.10505,54255276329.58787,21127038212745.9,23169869005412.46,3081031832133.4204,25535324592.871563,37506487127.17866,74728851209.22258,4018183876074.165,853027663.1108301,6221294737.984192,1043469226169.3132,2887076692.703296,-1543818681.5826612,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
500,33452215068304.16,92323627418960.53,29832118817751.805,14811366371.096708,26689321126.984837,-9177960620.128489,24612312160936.05,35134202425417.4,23781134922068.46,36527971261.01039,57899732743.50891,106716506158.84576,3215148117444.724,3110987504.510136,5763719519.968704,5613014644504.377,1128356655.659469,-3619435957.395379,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,28842743967703.707,96890842025565.69,40171267000690.49,16073921928.849327,66602913225.61019,74224966521.71846,26497083486776.332,44363055003708.76,18248651040468.41,28150631660.216038,46174054236.53621,-40039334402.638596,3066523254427.8643,4216403701.3822,-5637529912.576023,6410906303435.735,5447766123.300056,-4008832188.4058886,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
700,25773404389705.566,102180106646573.81,49571637539343.72,18637860243.404118,55014108171.07066,41007656636.485054,29594481910196.434,48345492082609.875,29735689075787.4,30833215001.649963,53855898739.92084,171119063730.37476,5498366839775.519,6063557559.628632,4875105100.589116,3438544485982.158,6757660397.817574,3991882314.611625,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.59,60606060606060.6,0.0
800,23740630740064.312,104604992658560.42,58023598508643.16,19904628131.6966,66725062773.35161,33754742102.140556,30104774683389.18,56565440217480.06,32433781826686.2,52772448453.91718,61438525627.02992,135669994953.35852,8609201205801.6875,5596894352.232518,-1376600413.8918502,4417772617991.533,3356016598.038272,-3140398271.0497227,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,21827062018295.176,104579573193671.56,53110425837442.91,27576243217.36001,104621011337.62206,-2088890537.0549393,32219644455648.484,65236001301476.08,31891637785952.426,59001576808.86865,121191192374.9823,28257058666.69789,6471384006155.108,3842266996.9840283,3385471204.6160674,7487854104485.477,3069481677.627072,2578302432.447248,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
