milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,60252639425567.734,-871861689351.1725,6302148949036.262,2571031735.588334,94361934.56909154,17621045030.13939,596726882385.6449,2288368897347.631,1847984774260.7793,-7678199619.983149,-27811996679.62684,-60729338505.04519,852459148234.3549,-1885982396.557519,-3774499080.907928,960318849813.3989,3200009868.0928755,-6866042535.397863,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.6,60606060606060.61,0.0
100,52016628255395.73,29725230795587.26,3636334480933.7715,8480900191.621667,-11651482049.043524,-34704438194.853676,6954087459423.491,3699247442650.3535,-341926042160.0221,2975956519.8466825,-21600819044.38025,-91177562067.22255,2063872357182.1484,-1096498316.8891742,-4971114198.529665,-604600202575.757,1177910162.7631443,2157969106.1474895,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.59,60606060606060.6,0.0
200,45311356393651.89,54321863950110.914,2251283360349.1816,9617003527.016508,-11690259531.90634,-45555111648.85451,13065235872476.482,7538418268584.83,-599402879798.8431,-2737937080.691021,960690277.3510933,102314260306.2703,1902297173213.7827,2992503898.319798,-1016119965.21114,-1435585822703.8105,1241903878.1867733,6734986636.683279,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
300,40150366304433.13,71646474704905.3,10448769640997.535,10140789933.191525,8208390280.733831,14830332914.792427,17644437403652.402,17693689222595.4,-4984602524663.398,14861936175.667559,26189159412.72179,97784673259.4998,3672553504352.028,3438914805.2482114,-6188124534.197309,-511927142609.51636,3437191376.0607777,-2475320095.5363574,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
400,36860229841872.23,81931871231537.1,18610220581480.215,12285229344.531574,31467061594.09012,1193587455.2651033,21298857728792.73,26441653229993.91,9804657436980.736,4435398438.491417,54018241991.49208,35877499700.5005,309004995591.7915,4108155866.218832,744886160.0144743,554750205439.3567,1613028775.7882547,7205543277.284878,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,31433234495146.434,92680390730702.73,35231537558112.33,16329902663.658743,25343919300.66098,31108514954.716553,24212478444096.883,33955176984975.957,24644039805701.188,28848109421.617844,11773254443.963543,136660363042.93088,3133822408807.328,1605947021.903054,1262216352.2816312,4745516390208.718,487427175.3274007,7175564812.485765,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
600,28759409282142.73,96093010959952.31,35576406948039.305,22889851741.13189,52582865601.7886,5821003323.772139,27020308190143.11,38404222338147.125,2301211293245.576,34241787627.816067,11073636317.406498,72700215245.29843,3312832536642.682,6173702932.760832,6227728100.913283,3601507560805.135,3337058697.885349,7897832231.852747,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
700,26556005996814.13,101530508029404.06,47791340868820.19,17456393183.320206,80053792046.96193,-25815703483.56269,29685051939491.414,49026715989166.41,36591025723611.01,41544325698.40547,59481975120.35153,132771929695.21986,6548519770356.977,6957604626.313604,2539050492.730695,4689141215332.85,4080135179.702021,-3543519879.3854303,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
800,24157783938629.89,103407820118781.75,58091036798866.734,25488492361.208675,79746893547.09294,4253037484.151428,31089200296617.316,57462267685144.39,44119976666753.516,46993709295.03922,124683253745.85263,-37651415063.94828,7176126111248.22,6889872528.554032,-1705521079.6011531,4347610165133.073,4939096635.221463,8603829901.020264,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
900,23170666239909.64,103825526494874.25,64699248393198.9,24824766140.8654,110084207911.00732,32965058284.04346,32339474812681.914,62783202311628.85,36223356084741.85,51847545468.73344,119358433831.29192,123226849594.0653,7362828160770.324,4330217065.702831,-1213385895.360137,4090281626156.187,7776894798.939139,7324379829.663082,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
1000,20951314923237.316,104465962946853.6,59967566976844.94,28817375818.518692,141339508603.06665,16249162743.08223,33386226206596.008,76772159880813.8,40305829843496.13,83565053448.32326,166578146038.30124,-30151828535.316925,6641355739630.548,7968932565.623751,240399877.42146158,8411827177794.407,7493169372.009948,7817508450.512391,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1100,19045152633204.06,105795210712356.2,65826671826799.14,27452861549.407986,147092457785.39423,46136336797.505165,34914704980426.676,82777851051623.52,57502936607779.28,82390880863.62793,191734121789.51678,172651906549.41095,8670670963824.856,5840065694.292101,5393610056.194777,8495151054189.831,8312310731.786147,6577058445.086219,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1200,19771804938008.848,105473432376385.77,80879210046933.06,30594520007.389393,121474526515.17601,91775223860.77419,35143494761690.027,88217007156067.61,72562640322752.25,99482729428.65651,171532116956.37143,235728880608.07666,9948128071713.037,13089271614.664875,7357849652.85413,11160200219066.695,7634931686.364532,3565793713.2175655,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.59,60606060606060.61,0.0
1300,18641798235778.01,102726044398412.55,83030964449879.48,28924366152.948692,163112401414.82095,87509967316.74982,34807823165086.707,88684626087124.16,77105663362547.02,93636790141.22823,182278183103.27585,181930108922.60178,9333352469540.807,9809712846.323076,1838247853.3154945,9064967923690.611,12529732632.424297,10691488224.639381,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.1,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1400,16597988342024.0,104447854922413.94,93711386111465.64,35112113784.15948,207140067687.90393,86376612588.89117,35438602437739.984,97068282642798.25,80217462643484.97,115501999066.8637,206173068897.3007,211249152048.7384,13560170303837.611,9516431064.177933,2855182935.838131,10276899366411.691,10678186026.207838,1453273964.8668728,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
1500,17101427625087.736,103967304014590.73,93046332488768.48,34146260074.22188,193367108655.91873,117957858583.98563,35884609520659.875,96652452643498.48,102085630069622.55,132215023009.17616,255174389463.19165,251980289619.53915,15116203835109.762,14152433366.02207,4288075879.0580025,13276438694581.432,14879760195.58064,9245919025.57481,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.1,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1600,16738008660526.885,101310191167540.3,94071884635076.97,41657671352.015396,186118340753.88315,209265295678.66733,37308458469140.74,102311543496090.4,117450278359551.12,117713009663.54549,284723570526.9264,370087334348.55945,15040722691034.857,17470430017.79562,10591204936.476395,18726990794628.355,13983048440.291187,5108490354.853301,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
1700,16182931833236.191,100403383172610.48,98603510307309.78,40814891336.83068,233612773549.8102,199950355822.61115,37338036236705.44,102223373802528.03,119162842663832.12,126835415604.80307,338728735153.12396,476627319136.50946,15393589948292.23,16721752588.82653,18600859740.464542,17354195090437.686,15944425682.355747,12584108701.475819,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.59,60606060606060.6,0.0
1800,15708601924624.086,99320147303619.75,102104679690867.5,43200322902.98724,231302825218.4008,252611804951.41098,37401710153288.414,105386753283642.7,124764318565889.7,140055422897.36737,344341101109.24243,372945221032.9321,18195185550275.785,16972452382.852362,10192546846.285046,17760664595748.613,19687005106.771595,20154633861.47664,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.6,0.0
