milliseconds,cytoplasm_Foxo1_Pa0_pUb0,nucleus_Foxo1_Pa0_pUb0,dnabound_Foxo1_Pa0_pUb0,cytoplasm_Foxo1_Pa0_pUb1,nucleus_Foxo1_Pa0_pUb1,dnabound_Foxo1_Pa0_pUb1,cytoplasm_Foxo1_Pa1_pUb0,nucleus_Foxo1_Pa1_pUb0,dnabound_Foxo1_Pa1_pUb0,cytoplasm_Foxo1_Pa1_pUb1,nucleus_Foxo1_Pa1_pUb1,dnabound_Foxo1_Pa1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,59566022932939.46,-1309479674995.4473,-5046718767333.262,-992803822.491276,14409947969.615343,-12796522815.116684,787909150343.3893,3390521895522.1494,12697378827209.7,-10155658336.849993,18756266966.75409,134750426135.39545,900420063418.5398,179842778.5596876,-4211248765.832602,-1009683856156.357,1708503298.7913704,5547990810.911278,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
100,52296360504727.51,29796093418102.555,-4627230913334.687,5244973459.094886,18670522565.441658,-2133068029.2619853,6300105765312.126,4239855121226.255,-4824972515310.8955,-9780318570.378572,-27019597198.38632,96461560039.72795,-1691971191302.4775,-504441030.6876612,-438998134.0233582,240035157366.79254,460411425.30241394,-4156406912.481208,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.1,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
200,46172906948301.805,54619431094943.836,1352811563569.4326,11518492179.724102,12000588298.273222,-53318017498.20708,12054962861832.686,7035881655549.799,5278591636165.26,6283350255.429899,5097531745.573307,-134058137777.61562,-824290958960.9768,1603699026.5909,5341725396.690222,1025854004849.0673,210374327.74762923,2204610606.4540496,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060605.9,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
300,40327118828061.03,71374390127505.17,14324969321311.947,16416124779.866907,29618632189.32666,62017446706.90937,16812866407574.484,15854083935316.057,-398362394561.4302,3339809629.739464,-16595735872.155167,121511426700.25722,1317424280797.9536,2964907530.1358747,-491367167.0192305,-870727690941.6243,-1532970155.0459394,3142902923.6006083,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.1,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
400,36122698175868.914,84475212184277.38,21840172234693.71,10907980935.392218,26519327999.76044,-23368047499.55278,20326493214530.934,24339189111168.375,-5779692756180.708,14268726532.025974,57771785884.22689,145038070166.71606,4012715235685.8047,368200932.81641865,-5588130471.094829,5377633859404.967,1778212391.3203123,-6619343885.819916,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
500,32659368081727.57,92067265013881.95,24032220749997.875,14595876133.333004,59751974403.40603,26343879498.237404,23987218056673.297,31060671498668.246,7828630532551.45,36287591417.567245,6493416865.127708,-1440728864.7067242,2140875625451.9395,134600385.33399963,-1078195192.3667226,4176838173841.4785,3703331643.2586937,-4267206387.650119,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.59,0.0
600,28999178928024.637,95685126721695.94,42133713499009.484,17154778071.550335,60931017111.07869,-10190085175.732475,26133752968751.8,44773476416069.125,26327579134207.65,43695960136.1635,21157632197.4415,96183920416.90819,5669097666550.727,4093067064.031395,8078854535.401677,4510525864772.141,4832314832.308107,-5526875981.886519,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
700,26340986938614.914,102417647112430.03,40106658794214.13,16984006163.910564,67293815650.74899,91715945436.74484,28253049845440.168,49503652026841.945,27749241485482.746,48286017626.206,83351217899.10431,-65246112162.00116,2420337628301.2163,1767168166.4323974,-3022963265.211095,6629092868970.98,994989331.115829,5909779558.010039,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
800,24835588825183.547,101590318527551.67,53298848177978.664,22672704623.83243,77397211516.45642,96697211459.11194,29905404906208.29,59385587822899.586,28338840148193.023,52460910193.28627,73753133148.95193,71623110294.26651,7921230829348.623,4971635205.202312,7744072960.333566,8131672965983.148,8141520284.621204,-4912092107.081587,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
900,21743291992610.84,103579532469971.45,63650635165702.65,24624905878.943245,91363428538.36365,97475708172.21185,31411063965390.312,62506166817125.06,51719892365592.984,71892753373.9405,123806714307.97267,16167350110.437332,7936752062549.1045,3121806536.0908933,424020327.64076996,8769054515674.921,7342312097.712935,6820616601.661165,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.61,60606060606060.59,0.0
1000,20292312761529.71,106549828273114.36,69918759088417.58,25302857802.74822,133762802689.69193,25053672122.029854,33412477301226.98,75448156930516.88,35908795914505.03,68135100827.05745,153466933733.2197,13856337910.48851,5864462699108.752,8327368475.07078,6188471217.436993,5485221226222.426,7715051012.041193,4341329222.355051,6060606060606.06,1515151515151520.0,0.0,0.0,0.0,0.0,0.0,606060606060606.0,0.0,0.0,0.0,60606060606060.6,60606060606060.6,0.0
