milliseconds,T,N
0,1.0,1.0
100,1.0303520733806024,1.0437128586772801
200,1.0616229386342002,1.089295503298583
300,1.0938413499336566,1.1368289936359215
400,1.1270361542945426,1.186396280775934
500,1.1612370299356487,1.2380837708745458
600,1.1964742204247074,1.2919801261645254
700,1.2327789549353425,1.3481781204504466
800,1.2701835191453863,1.4067748512633984
900,1.3087213124618444,1.4678720503609046
1000,1.3484264204330771,1.5315743595737357
1100,1.3893340820954885,1.5979912941197476
1200,1.4314806855953965,1.667237311484968
1300,1.474903838061534,1.7394321931165635
1400,1.5196419722480925,1.8146993804875864
1500,1.5657347393875596,1.8931677085975718
1600,1.613223113398702,1.974971957203198
1700,1.6621494250021183,2.060253098585269
1800,1.7125569988906129,2.1491567083542633
1900,1.764490449166833,2.241834332233497
2000,1.8179959133871508,2.3384446661442078
2100,1.8731210359268267,2.4391535932798565
2200,1.9299146575325794,2.5441327851866786
2300,1.9884269720271346,2.6535604676761753
2400,2.0487099283865033,2.7676234691633677
2500,2.110817146780448,2.886516948584758
2600,2.1748036870048386,3.0104433410690308
2700,2.2407260149731223,3.13961220935019
2800,2.3086426196671694,3.2742434707084835
2900,2.378613840985704,3.4145666842673554
3000,2.450701750437356,3.5608205512924336
3100,2.524969863545378,3.713251435465581
3200,2.601484028719917,3.8721181686967894
3300,2.680312141292809,4.037690725629218
3400,2.761524178238159,4.210250560611932
3500,2.845191577673972,4.390087248365306
3600,2.9313884689660488,4.5775053825269785
3700,3.0201912416064296,4.772822413402252
3800,3.1116787858099486,4.9763701961146625
3900,3.205931442354801,5.188489035368025
4000,3.3030326578167992,5.409537333471058
4100,3.403068370118924,5.639888301767461
4200,3.50612751909432,5.879933212631963
4300,3.612300448347347,6.130071919182108
4400,3.7216810869059387,6.390726088783059
4500,3.8343661663308466,6.662334798133173
4600,3.950455773808796,6.94535822046675
4700,4.070051674334287,7.240267245514573
4800,4.193259528376158,7.547557535311723
4900,4.320188210639892,7.867745602722479
5000,4.450950340767895,8.201372562317413
