milliseconds,CArt,CGut,AGutlumen,CLung,CVen,CRest,CLiver,CMetabolized,CKidney,CTubules
0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,5.1223530292016266e-05,0.00020960603847973593,0.007969518300241096,5.242928667966775e-05,5.281237789939025e-05,1.2589594595283457e-05,0.0001098486966873894,8.904224570940796e-05,3.6684024744420214e-05,1.6738342089974467e-06
200,6.919971199681009e-05,0.0002085925160065863,0.00685942796930121,6.971981877573645e-05,6.989321694608504e-05,3.563001119845885e-05,0.00011400917207824912,0.0002237263835928866,5.010818189194013e-05,5.8617061952741395e-06
300,8.004201236679783e-05,0.0002002930177895392,0.005903964367013855,8.043512006084713e-05,8.056709815822328e-05,5.576778771525072e-05,0.00011140236509420854,0.0003576705648995674,5.805893779148592e-05,1.0983669103996315e-05
400,8.856456149104027e-05,0.000192158579156002,0.005081589224541261,8.887851128097432e-05,8.898392173768127e-05,7.248070375186602e-05,0.00010843522466215605,0.0004881988145767115,6.429792899323553e-05,1.6768798402840503e-05
500,9.534863176454386e-05,0.0001845920295998807,0.004373764418888191,9.559697036593013e-05,9.568029467487876e-05,8.620394717137906e-05,0.00010551655722019388,0.0006152260119150342,6.926541907956608e-05,2.308091703731579e-05
600,0.00010066715851195568,0.00017755630665597394,0.003764533936441078,0.00010085968953196782,0.00010092422591258527,9.736802528564785e-05,0.00010267221598206659,0.0007388307889689423,7.316185277057331e-05,2.980994708191491e-05
700,0.00010473874250787795,0.00017099220924769932,0.0032401644069679574,0.00010488384841540685,0.00010493241884414562,0.00010634694620486868,9.990130384237357e-05,0.0008591015582936806,7.614697161980257e-05,3.6862559194263506e-05
800,0.00010775100492012326,0.00016484816470853608,0.0027888354108943137,0.00010785586698777807,0.00010789088938635224,0.0001134621764360875,9.720262711140716e-05,0.0009761250540972034,7.835786852599821e-05,4.415938638333944e-05
900,0.00010986509028769279,0.00015907942417625652,0.0024003731347259235,0.00010993584473449376,0.00010995938693805096,0.00011898993156248948,9.457491257716121e-05,0.001089986192090013,7.991229808282713e-05,5.163304974443898e-05
1000,0.00011121913204684912,0.00015364681457348095,0.0020660202993464777,0.00011126105211416345,0.00011127489002506694,0.0001231675610564783,9.201661737658099e-05,0.0012007681536034189,8.091118119892961e-05,5.922646349142553e-05
1100,0.00011193148482501566,0.0001485159222581076,0.0017782402172868091,0.00011194911042939933,0.00011195477292020305,0.00012619893966620322,8.952586740377318e-05,0.001308552378213495,8.144098672421139e-05,6.689138683107067e-05
1200,0.00011210405168606181,0.00014365744611484683,0.0015305457487965336,0.00011210125638939851,0.00011210004820243739,0.0001282590249838917,8.710141651899817e-05,0.0014134181681618953,8.157618071894252e-05,7.458714469845532e-05
1300,0.00011182374427931731,0.00013904502233792713,0.001317353466809849,0.00011180387438247853,0.00011179692213825108,0.00012949810203980757,8.474127328427029e-05,0.0015154432730499873,8.138025429654795e-05,8.227957641287737e-05
1400,0.00011116536383677323,0.00013465618624010074,0.0011338571008435744,0.00011113128229904822,0.00011111954969918648,0.0001300450512170532,8.244400412936925e-05,0.0016147033527828183,8.09078656935995e-05,8.994007910171972e-05
