milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.00039947151479910914,-1.2620421714460057e-10,2.514477903218609e-06,8.158084117125651e-08,1.556272733414703e-11,1.007612675889795e-05
100,0.0005496529766849897,4.626704364435735e-09,2.2285460049740993e-06,3.504774362536228e-07,1.5276963864105892e-10,8.194095075812123e-06
200,0.0005046671869288989,8.321917607384199e-09,2.051307291348726e-06,7.41756946271136e-07,3.600292315986173e-10,6.654680199160442e-06
300,0.0006974859128736033,1.151323753033184e-08,1.8343719049463189e-06,9.222698920081208e-07,5.599133244763853e-10,5.540114523941428e-06
400,0.0005702413690068298,1.4075051014722824e-08,1.615605729291867e-06,9.484040619501327e-07,7.779595057097635e-10,4.541927573197939e-06
500,0.0006126148900616749,1.5958192041481074e-08,1.4688687681211084e-06,1.1606909413862024e-06,9.706509316302073e-10,3.6944195352129068e-06
600,0.0005885294093044304,1.7926224584523676e-08,1.319784307199171e-06,1.3153314682387082e-06,1.1244233924933514e-09,3.016533629523394e-06
700,0.0007858454369887414,1.923029111826521e-08,1.1837037080532198e-06,1.6901654651251435e-06,1.2642227498831703e-09,2.5762612106602994e-06
800,0.0008661903872336954,1.99805983128876e-08,1.0445560820522304e-06,1.944903587914144e-06,1.4024701860234144e-09,2.047866179003947e-06
900,0.0008287386578756275,2.1053646541159315e-08,9.194571824251707e-07,1.879941525311697e-06,1.4964017129196664e-09,1.8118316923944363e-06
1000,0.0008196045580608102,2.1336632491605035e-08,8.292773496609431e-07,2.0388546274204e-06,1.5643402457274766e-09,1.474808903862459e-06
1100,0.0010893486906667547,2.1770145379118744e-08,7.0003431099543e-07,2.3493795881851715e-06,1.6533717830846383e-09,1.112811108834791e-06
1200,0.0011260897664680436,2.2164942767159707e-08,6.360482642868679e-07,2.4865873983687506e-06,1.7022572902751149e-09,9.705635320159004e-07
1300,0.001082163651247338,2.212619986579371e-08,5.72380198755002e-07,2.7433259485125593e-06,1.7284942997646105e-09,8.23486482117656e-07
1400,0.001314720457455296,2.2215661173453564e-08,4.846110385414258e-07,2.782299561511042e-06,1.7149435837466584e-09,7.795497033023727e-07
1500,0.0013452284307688678,2.184720800102837e-08,4.711844125233008e-07,2.8871109161490783e-06,1.7352709045437689e-09,5.06020879010933e-07
1600,0.0013675874113791764,2.1947868830705907e-08,3.7256951842398145e-07,3.2943690052160598e-06,1.7413666643099782e-09,5.19302825120162e-07
1700,0.0013845664152587777,2.165317996753256e-08,3.6265764454503227e-07,3.146163072635688e-06,1.7081401806396485e-09,4.3893860845665824e-07
1800,0.001546411411739504,2.1477324658637254e-08,3.25749561455896e-07,3.6823045004669685e-06,1.69326243858656e-09,4.334350929013321e-07
1900,0.001589017660806453,2.085461305837539e-08,3.12146305586788e-07,3.651445602629824e-06,1.6763152394944898e-09,3.1376579489371455e-07
2000,0.001577217385694658,2.0844004500500766e-08,2.4581768236782736e-07,3.8578583474070406e-06,1.6451376751642454e-09,2.3478224431775803e-07
2100,0.0016847100600038754,2.0264115221683695e-08,2.347341459991328e-07,3.964631819102504e-06,1.592280658729813e-09,2.7892475663249364e-07
2200,0.0018031644556422155,1.9879572962745542e-08,2.039278472004826e-07,4.326239671050216e-06,1.5704551411812832e-09,1.355571607188661e-07
2300,0.002013927652330867,1.9441088137520895e-08,1.95592344833441e-07,4.572631719163891e-06,1.5621399665552583e-09,2.520925735140207e-07
2400,0.002327433161001688,1.928962442479428e-08,1.3594026487868076e-07,4.751019152744536e-06,1.5228527134975354e-09,2.4580916059179463e-07
2500,0.002469117627218344,1.893953538970189e-08,1.5424960731785933e-07,4.808029867124917e-06,1.4958888992389255e-09,1.5416591605618726e-07
2600,0.002480899281797147,1.8410531396477228e-08,1.2357266293320945e-07,5.340330712781349e-06,1.4597586908131732e-09,1.641251444222923e-07
2700,0.002655587508058001,1.8050312806495846e-08,8.345015862098144e-08,5.663621495527273e-06,1.416837423299157e-09,9.589723091413037e-08
2800,0.0029087954796457195,1.7813743620909793e-08,1.0512239348524586e-07,5.745525405553001e-06,1.3693378309306652e-09,2.1270616827839628e-07
2900,0.0031030736236206833,1.748224606509446e-08,7.994063000537341e-08,5.8664682898702e-06,1.3375769438002006e-09,2.3475715286206917e-07
3000,0.003291825221055918,1.743923537664854e-08,7.270835383383882e-08,6.369564850112254e-06,1.2973122504517256e-09,2.3329630115442748e-08
3100,0.0033556309417156435,1.698531854110528e-08,4.9485236451864415e-08,6.777260038169238e-06,1.2899245788377806e-09,8.791686826179144e-08
3200,0.0037308638673554735,1.6800611951034956e-08,4.922812749981927e-08,6.787005361124802e-06,1.2420567122352728e-09,1.8808017551900867e-07
3300,0.003967137761913178,1.6218349558729576e-08,2.764586161631362e-08,7.285263182996795e-06,1.2237668330522025e-09,2.0132034966310824e-07
3400,0.004069388869600888,1.6354757534991543e-08,7.8977687045576e-08,7.675704730564183e-06,1.1883691152000755e-09,7.372658266548033e-08
3500,0.0044879275494006995,1.5909308318645284e-08,5.5670776926362795e-08,7.970309903760184e-06,1.1803391458043652e-09,1.6679484220221767e-07
3600,0.004676684681381041,1.5716401121446577e-08,3.721562606350087e-08,8.297279432154609e-06,1.1734679492082054e-09,1.317080460163743e-07
3700,0.004896337406030873,1.5617615160843832e-08,6.695682875637381e-08,8.465766555203906e-06,1.1364523631541494e-09,4.26969971555294e-08
3800,0.0052637367099099275,1.5612295287296588e-08,3.23885899364904e-08,9.015920545317564e-06,1.1296415556755467e-09,1.6054030466516457e-07
