miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.00047616939696558267,1.0319216808366572e-10,2.524149592689159e-06,9.950623076271604e-08,-3.719949001950723e-12,9.990252683285536e-06
100,0.000622867351304703,4.7304382827937325e-09,2.257641074980339e-06,2.8231617749324545e-07,1.6138834891070755e-10,8.171754289987104e-06
200,0.0005905605471680076,8.199604514131453e-09,2.051903202991432e-06,6.74036813827673e-07,3.6026103401401225e-10,6.767069739040859e-06
300,0.000706940639978954,1.1603725133424242e-08,1.8194056614276237e-06,6.795519617647436e-07,5.537962064460922e-10,5.4282758828685465e-06
400,0.0006403593094391101,1.4174307827521284e-08,1.596279523054502e-06,1.0774797996762414e-06,7.672817154235552e-10,4.570759005945317e-06
500,0.000533408233307592,1.6309257330472402e-08,1.4824222606312528e-06,1.2758984068633162e-06,9.444346125849624e-10,3.7898996824336443e-06
600,0.0006394204105474371,1.7921200562862783e-08,1.322521685329499e-06,1.305461498285609e-06,1.1381337410221254e-09,3.1061135170191468e-06
700,0.0006717880020613754,1.9266803191430673e-08,1.169902125895683e-06,1.6789436590791108e-06,1.2672381772239376e-09,2.490120067720192e-06
800,0.0009330451883874454,1.9944164165074194e-08,1.0224375129183104e-06,1.5873767971642054e-06,1.4123702717242775e-09,2.0163958517460295e-06
900,0.0007583112682663352,2.0749024782727675e-08,9.309525344938363e-07,1.882035077650345e-06,1.5200861037149242e-09,1.813044783298023e-06
1000,0.0010153999554826682,2.1320997963994726e-08,8.080249692800538e-07,1.9956092034987817e-06,1.582156079018306e-09,1.440093029264096e-06
1100,0.0011004272314387032,2.1908769358897588e-08,7.060754241553229e-07,2.4655848042612623e-06,1.6560406535699602e-09,1.2332788632303049e-06
1200,0.0010152541577828364,2.2033346041689903e-08,6.601895639593436e-07,2.587875737472643e-06,1.69289673111172e-09,1.0123843083040589e-06
1300,0.0012280256223454074,2.2079966242434675e-08,5.608431091120795e-07,2.752318588195265e-06,1.7257207111377855e-09,8.728354647912375e-07
1400,0.0013221400815046826,2.2012962680804926e-08,4.987825645559449e-07,2.916633159599787e-06,1.7093984089271261e-09,6.721139231430585e-07
1500,0.0012158660454367524,2.2001649004156528e-08,4.827248127733142e-07,2.8358552912538223e-06,1.7449311709841583e-09,5.716306496290716e-07
1600,0.0013615326153582441,2.177193455488321e-08,4.1769000378584703e-07,3.0712315201877e-06,1.715984559052237e-09,5.669046500152742e-07
1700,0.0014154354937484428,2.13834577859869e-08,3.600104097268816e-07,3.46156342086127e-06,1.7156748853415512e-09,5.317882702905193e-07
