miliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.000568007847617735,1.8446819324685566e-10,2.5279453859543433e-06,1.6873630818227002e-07,-3.839687244958173e-12,9.911781409232192e-06
100,0.0006570946250140698,4.641385639643177e-09,2.2400716970964077e-06,3.4425519190653057e-07,1.576148602849007e-10,8.29329695662267e-06
200,0.0005251462920851707,8.527277900528195e-09,2.0465167961911603e-06,7.145504061775713e-07,3.723442372873338e-10,6.761250405998058e-06
300,0.0004902056122719192,1.1294964164876849e-08,1.78725112423735e-06,8.796089815263986e-07,5.551805425353593e-10,5.4579427207110645e-06
400,0.0005181184713569339,1.3888600936455957e-08,1.6213776566873296e-06,9.118591480924227e-07,7.792171077340132e-10,4.459842758242201e-06
500,0.0006878176265754699,1.6337878631400982e-08,1.4266015514577523e-06,1.1994269572605892e-06,9.690903246655013e-10,3.669681016007112e-06
600,0.0005814591410636906,1.7638271983407905e-08,1.3026657559162394e-06,1.3197662408766886e-06,1.1247220767606608e-09,3.0225620749485972e-06
700,0.000912878448914777,1.9037754343356286e-08,1.164684140712587e-06,1.4702317433048001e-06,1.2677241755201412e-09,2.6170252634487906e-06
800,0.0008565238436604243,1.9972951257478525e-08,1.0471334824284678e-06,1.7577325433250503e-06,1.3896160274611417e-09,2.0555807468336707e-06
900,0.0008983309768314366,2.095423530268128e-08,8.971822149920837e-07,2.0325706937715468e-06,1.5005756329224994e-09,1.655041917231274e-06
1000,0.00101287200734323,2.1600181379599234e-08,8.00725840520465e-07,1.9818698452384955e-06,1.59767496953642e-09,1.476749526018768e-06
1100,0.0010899763034533986,2.1654846140252898e-08,7.509513652017962e-07,2.263358445892142e-06,1.6254790621222224e-09,1.1331893051142796e-06
1200,0.0010724025164878012,2.1929919943353493e-08,6.577328546458639e-07,2.649409408606511e-06,1.7007159291893621e-09,1.0836800972097425e-06
1300,0.0009639572177207759,2.189056137527627e-08,5.594653064121864e-07,2.4227802715235066e-06,1.7033260051692894e-09,8.504683440904245e-07
1400,0.00129415702587168,2.2161624030941408e-08,5.207666388045736e-07,2.7835063214225518e-06,1.7286026065770392e-09,6.572235259207622e-07
1500,0.00120683515434729,2.177295845610139e-08,4.727149595477114e-07,3.1286023407548355e-06,1.7404800455357002e-09,6.374106695488709e-07
1600,0.0013853716051437836,2.1944226982720886e-08,3.7831034932659674e-07,3.2375786540914656e-06,1.7079303911599843e-09,5.822300478291029e-07
1700,0.0013136202974720628,2.1499885692670623e-08,3.725497965887412e-07,3.298719166497339e-06,1.712591630619163e-09,4.615966713845091e-07
1800,0.0015420294868725667,2.1168235517407975e-08,3.124566062026791e-07,3.714409101452431e-06,1.6899174843377958e-09,4.3274684545030976e-07
1900,0.0017156562445276684,2.1193357495458494e-08,2.548368212035289e-07,3.859880132352669e-06,1.66719001325769e-09,3.9565027042413407e-07
2000,0.001657432072453888,2.0614225032080695e-08,2.2597842220777722e-07,4.084716251560408e-06,1.65174560997467e-09,3.7690560544397586e-07
2100,0.0017678603501021415,2.05044913789838e-08,2.1446236128365166e-07,4.199800745825145e-06,1.6114938128267756e-09,1.9015261928683168e-07
2200,0.002045688243617263,2.0218867165889005e-08,1.8647026800625517e-07,4.300899037294308e-06,1.593381829364579e-09,2.3557288546924333e-07
2300,0.0021308593877562222,1.955960221203849e-08,1.445651655155536e-07,4.352359718341854e-06,1.5358334817151268e-09,1.17664966750226e-07
2400,0.0021470398159462822,1.9413966582961105e-08,1.7645109918813844e-07,4.7903104774632155e-06,1.5277586735984972e-09,1.6384722642292106e-07
2500,0.00239608028048161,1.8994787527122775e-08,1.1225074808288526e-07,4.954170193642578e-06,1.4641513653254039e-09,1.528355387379351e-07
2600,0.0024753848813982436,1.8629679288249043e-08,1.457446904149671e-07,5.355055784670976e-06,1.425216655498165e-09,8.695964385021326e-08
2700,0.0026589814189589265,1.8433781646261503e-08,1.3417522669476726e-07,5.6062802225645894e-06,1.3944557444735388e-09,2.23447764782395e-07
2800,0.002937117555596109,1.7843565062492712e-08,8.261416392537812e-08,5.627018612245691e-06,1.3721187990464149e-09,1.688032697826256e-07
2900,0.0030581593392213363,1.755386688663087e-08,1.063066539961239e-07,6.1803038581566945e-06,1.3557719082835785e-09,2.1698501185336584e-07
3000,0.003222529923376204,1.72219770228478e-08,8.858098177810249e-08,6.355169612424555e-06,1.3004807372316987e-09,1.0154556686738131e-07
3100,0.0034989691009268947,1.6946318357593084e-08,8.153480517734099e-08,6.719657528911935e-06,1.29882663029085e-09,2.2606800299393378e-08
3200,0.0037655389622203825,1.6759621813144315e-08,4.32728133210516e-08,6.838760095909759e-06,1.248733943947868e-09,1.1345742075704383e-07
3300,0.003906962860759981,1.6302395662733976e-08,7.061182100526109e-08,7.407225456965035e-06,1.2205837564530927e-09,6.770086019094696e-08
3400,0.004252416333805776,1.6375318140364753e-08,3.4281714795121835e-08,7.462079247734462e-06,1.2108681527913464e-09,1.9318023571991092e-07
